table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_hierarchy_depth,field_naics_code,field_active_reporting_unitsa,field_reporting_units_that_met_the_response_criteria_
5561,r001,All industries,All industries,,,1,"11, 21–23, 31–33, 42–81",267000,71.8
5561,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,2,31–33,48000,71.9
5561,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,3,311,4800,67.0
5561,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,3,312,2400,72.7
5561,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",3,313–16,2600,68.8
5561,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,3,321,2200,70.4
5561,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,3,322,500,67.8
5561,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,3,323,4300,71.8
5561,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,3,324,150,70.0
5561,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,3,325,2900,71.0
5561,r011,"All industries -> Manufacturing industries -> Pesticide, fertilizer, and other agricultural chemical",All industries,Manufacturing industries,"Pesticide, fertilizer, and other agricultural chemical",3,3253,200,66.7
5561,r012,All industries -> Manufacturing industries -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Pharmaceuticals and medicines,3,3254,850,67.9
5561,r013,"All industries -> Manufacturing industries -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,"Soap, cleaning compound, and toilet preparation",3,3256,600,73.4
5561,r014,All industries -> Manufacturing industries -> Other chemicals,All industries,Manufacturing industries,Other chemicals,3,other 325,1300,72.6
5561,r015,All industries -> Manufacturing industries -> Plastic and rubber products,All industries,Manufacturing industries,Plastic and rubber products,3,326,2100,74.3
5561,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,3,327,2100,70.3
5561,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,3,331,1100,69.5
5561,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,3,332,5700,76.1
5561,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,3,333,2900,73.6
5561,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,3,334,3400,74.0
5561,r021,All industries -> Manufacturing industries -> Communications equipment,All industries,Manufacturing industries,Communications equipment,3,3342,400,73.7
5561,r022,All industries -> Manufacturing industries -> Semiconductor and other electronic components,All industries,Manufacturing industries,Semiconductor and other electronic components,3,3344,1000,73.2
5561,r023,"All industries -> Manufacturing industries -> Navigational, measuring, and control instruments",All industries,Manufacturing industries,"Navigational, measuring, and control instruments",3,3345,1400,76.1
5561,r024,All industries -> Manufacturing industries -> Other computer and electronic products,All industries,Manufacturing industries,Other computer and electronic products,3,other 334,600,70.7
5561,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",3,335,1400,72.9
5561,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,3,336,2600,70.1
5561,r027,"All industries -> Manufacturing industries -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,"Automobiles, bodies, trailers, and parts",3,3361–63,1400,71.8
5561,r028,All industries -> Manufacturing industries -> Aerospace products and parts,All industries,Manufacturing industries,Aerospace products and parts,3,3364,600,68.9
5561,r029,All industries -> Manufacturing industries -> Other transportation,All industries,Manufacturing industries,Other transportation,3,other 336,550,66.9
5561,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,3,337,2700,73.1
5561,r031,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,3,339,3900,73.4
5561,r032,All industries -> Manufacturing industries -> Medical equipment and supplies,All industries,Manufacturing industries,Medical equipment and supplies,3,3391,1500,73.3
