table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_five_years_or_fewer,field_more_than_five_years_through_ten_years,field_more_than_ten_years
1479,r001,All states,All states,,1,4843494,1874421,1112334,1856739
1479,r002,All states -> Alabama,All states,Alabama,2,14155,5029,3261,5866
1479,r003,All states -> Alaska,All states,Alaska,2,1154,652,245,256
1479,r004,All states -> Arizona,All states,Arizona,2,70950,12000,13094,45856
1479,r005,All states -> Arkansas,All states,Arkansas,2,14411,s,2191,7525
1479,r006,All states -> California,All states,California,2,1194408,575237,229059,390113
1479,r007,All states -> Colorado,All states,Colorado,2,114389,32322,38353,43714
1479,r008,All states -> Connecticut,All states,Connecticut,2,71880,33105,20790,17985
1479,r009,All states -> Delaware,All states,Delaware,2,7971,2222,2429,3320
1479,r010,All states -> District of Columbia,All states,District of Columbia,2,11965,4939,4343,2684
1479,r011,All states -> Florida,All states,Florida,2,237130,72227,66680,98223
1479,r012,All states -> Georgia,All states,Georgia,2,93933,30267,24500,39166
1479,r013,All states -> Hawaii,All states,Hawaii,2,s,s,s,668
1479,r014,All states -> Idaho,All states,Idaho,2,s,s,s,5474
1479,r015,All states -> Illinois,All states,Illinois,2,162022,46926,36330,78767
1479,r016,All states -> Indiana,All states,Indiana,2,50643,12525,10014,28104
1479,r017,All states -> Iowa,All states,Iowa,2,30624,8018,s,17779
1479,r018,All states -> Kansas,All states,Kansas,2,12771,3512,2734,6525
1479,r019,All states -> Kentucky,All states,Kentucky,2,19640,7970,5688,5981
1479,r020,All states -> Louisiana,All states,Louisiana,2,11229,3676,1657,5897
1479,r021,All states -> Maine,All states,Maine,2,21035,s,1138,s
1479,r022,All states -> Maryland,All states,Maryland,2,150978,41913,40101,68964
1479,r023,All states -> Massachusetts,All states,Massachusetts,2,267037,137178,66294,63565
1479,r024,All states -> Michigan,All states,Michigan,2,67411,20582,19501,27328
1479,r025,All states -> Minnesota,All states,Minnesota,2,121090,44052,35870,41167
1479,r026,All states -> Mississippi,All states,Mississippi,2,3395,1325,618,1452
1479,r027,All states -> Missouri,All states,Missouri,2,23465,10266,5744,7455
1479,r028,All states -> Montana,All states,Montana,2,9629,1355,1821,6453
1479,r029,All states -> Nebraska,All states,Nebraska,2,19053,s,1784,s
1479,r030,All states -> Nevada,All states,Nevada,2,48748,11005,11869,25874
1479,r031,All states -> New Hampshire,All states,New Hampshire,2,21715,4850,1890,14975
1479,r032,All states -> New Jersey,All states,New Jersey,2,150029,57595,42211,50223
1479,r033,All states -> New Mexico,All states,New Mexico,2,20260,2543,s,9612
1479,r034,All states -> New York,All states,New York,2,390061,s,52295,s
1479,r035,All states -> North Carolina,All states,North Carolina,2,165762,28146,40009,97606
1479,r036,All states -> North Dakota,All states,North Dakota,2,s,s,s,669
1479,r037,All states -> Ohio,All states,Ohio,2,89044,23931,23058,42055
1479,r038,All states -> Oklahoma,All states,Oklahoma,2,45354,s,s,7874
1479,r039,All states -> Oregon,All states,Oregon,2,43417,13767,10121,19529
1479,r040,All states -> Pennsylvania,All states,Pennsylvania,2,194601,76659,41474,76468
1479,r041,All states -> Rhode Island,All states,Rhode Island,2,15570,1917,1462,12192
1479,r042,All states -> South Carolina,All states,South Carolina,2,38267,7276,5386,25605
1479,r043,All states -> South Dakota,All states,South Dakota,2,5823,1018,319,4486
1479,r044,All states -> Tennessee,All states,Tennessee,2,32301,14311,5993,11997
1479,r045,All states -> Texas,All states,Texas,2,302041,96796,90424,114821
1479,r046,All states -> Utah,All states,Utah,2,43950,22823,11027,10100
1479,r047,All states -> Vermont,All states,Vermont,2,11893,s,s,2994
1479,r048,All states -> Virginia,All states,Virginia,2,149361,50597,49660,49105
1479,r049,All states -> Washington,All states,Washington,2,131326,57053,35807,38467
1479,r050,All states -> West Virginia,All states,West Virginia,2,1396,621,79,696
1479,r051,All states -> Wisconsin,All states,Wisconsin,2,41767,19594,10551,11622
1479,r052,All states -> Wyoming,All states,Wyoming,2,s,s,256,s
1479,r053,All states -> Undistributed,All states,Undistributed,2,101,0,0,101
