table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_master_s_students_rank,field_all_master_s_students_total,field_all_master_s_students_science,field_all_master_s_students_engineering,field_all_master_s_students_health,field_full_time_master_s_students_rank,field_full_time_master_s_students_total,field_full_time_master_s_students_science,field_full_time_master_s_students_engineering,field_full_time_master_s_students_health,field_part_time_master_s_students_rank,field_part_time_master_s_students_total,field_part_time_master_s_students_science,field_part_time_master_s_students_engineering,field_part_time_master_s_students_health
10646,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,501311,331983,103020,66308,-,319618,208749,66427,44442,-,181693,123234,36593,21866
10646,r002,All institutions<sup>a</sup> -> Georgia Institute of Technology,All institutions<sup>a</sup>,Georgia Institute of Technology,2,1,13259,11155,2061,43,16,2843,1447,1376,20,1,10416,9708,685,23
10646,r003,All institutions<sup>a</sup> -> Johns Hopkins U.,All institutions<sup>a</sup>,Johns Hopkins U.,2,2,11172,6121,3141,1910,10,3492,1883,658,951,2,7680,4238,2483,959
10646,r004,All institutions<sup>a</sup> -> Arizona State U.,All institutions<sup>a</sup>,Arizona State U.,2,3,10063,6554,3417,92,5,5896,3555,2250,91,3,4167,2999,1167,1
10646,r005,All institutions<sup>a</sup> -> Columbia U. in the City of New York,All institutions<sup>a</sup>,Columbia U. in the City of New York,2,4,9547,6484,2254,809,4,6429,4458,1264,707,5,3118,2026,990,102
10646,r006,All institutions<sup>a</sup> -> New York U.,All institutions<sup>a</sup>,New York U.,2,5,9489,6907,1965,617,2,7001,4852,1710,439,9,2488,2055,255,178
10646,r007,All institutions<sup>a</sup> -> U. Southern California,All institutions<sup>a</sup>,U. Southern California,2,6,8744,5396,2554,794,3,6925,4571,1753,601,15,1819,825,801,193
10646,r008,All institutions<sup>a</sup> -> Northeastern U.<sup>b</sup>,All institutions<sup>a</sup>,Northeastern U.<sup>b</sup>,2,7,7571,3199,4298,74,1,7159,2925,4162,72,114,412,274,136,2
10646,r009,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,8,7030,3479,3065,486,6,5503,2799,2230,474,20,1527,680,835,12
10646,r010,"All institutions<sup>a</sup> -> U. Illinois, Urbana-Champaign",All institutions<sup>a</sup>,"U. Illinois, Urbana-Champaign",2,9,5816,4423,1272,121,8,4301,3162,1020,119,22,1515,1261,252,2
