table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs_,field_nasa,field_nsf,field_usda
10290,r001,All locations,All locations,,,1,4282202,19831,428949,168901,2667997,12865,36907,5810,398710,52056,432751,57426
10290,r002,All locations -> Alabama,All locations,Alabama,,2,7174,0,0,2142,0,0,700,0,3330,0,1001,0
10290,r003,All locations -> Alaska,All locations,Alaska,,2,8646,0,7952,0,0,0,0.05,0,0,0.05,679,0
10290,r004,All locations -> Arizona,All locations,Arizona,,2,11455,0,0,0,0,0,0,0,0,0,10737,718
10290,r005,All locations -> Arkansas,All locations,Arkansas,,2,2714,0,0,0,0,0,0,0,0,0,2714,0
10290,r006,All locations -> California,All locations,California,,2,656330,837,3859,22220,541337,0,3376,0,1997,10071,68134,4499
10290,r007,All locations -> Colorado,All locations,Colorado,,2,137025,0,77928,0,41696,700,0,0,10049,0.05,2891,3756
10290,r008,All locations -> Connecticut,All locations,Connecticut,,2,20080,0,0,0,0,0,0.05,0,0,0,20068,0
10290,r009,All locations -> Delaware,All locations,Delaware,,2,1012,0,0,0,0,0,0,0,0,0,1012,0
10290,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,134294,0,0,0,53451,870,9196,1161,6749,224,62643,0
10290,r011,All locations -> Florida,All locations,Florida,,2,73563,0,45951,9067,0,0,200,201,0,2086,11555,4503
10290,r012,All locations -> Georgia,All locations,Georgia,,2,22429,0,0,0,0,0,0,155,0,3893,10282,8099
10290,r013,All locations -> Hawaii,All locations,Hawaii,,2,5963,0,3865,0,0,0,0,0,0,0,2097,0
10290,r014,All locations -> Idaho,All locations,Idaho,,2,321918,0,0,0,312820,0,0,0,0,0,9097,0
10290,r015,All locations -> Illinois,All locations,Illinois,,2,532836,0,0,11312,503830,0,705,0,10049,0,6940,0
10290,r016,All locations -> Indiana,All locations,Indiana,,2,2396,0,0,0,0,0,0,0,0,0,2396,0
10290,r017,All locations -> Iowa,All locations,Iowa,,2,4544,0,0,0,4250,0,0,0,0,0,294,0
10290,r018,All locations -> Kansas,All locations,Kansas,,2,12688,0,0,8569,0,0,0,0,3431,0,687,0
10290,r019,All locations -> Kentucky,All locations,Kentucky,,2,5981,0,0,0,0,0,0,0,3333,0,2647,0
10290,r020,All locations -> Louisiana,All locations,Louisiana,,2,29836,0,0,14282,0,0,0,0,8089,4779,2686,0
10290,r021,All locations -> Maryland,All locations,Maryland,,2,425711,10880,235029,31679,0,0,558,0,140183,0,5733,1650
