table_id,row_id,metropolitan_area_full_path,metropolitan_area_level_1,metropolitan_area_level_2,metropolitan_area_hierarchy_depth,field_workers_employed_all_occupations,field_workers_employed_s_e_occupations,field_metropolitan_workforce_in_s_e_occupations_as_a_percentage_of_national_total_in_s_e_occupations_
4381,r001,U.S. total,U.S. total,,1,146875,7317,100.0
4381,r002,"U.S. total -> New York-Newark-Jersey City, NY-NJ-PA",U.S. total,"New York-Newark-Jersey City, NY-NJ-PA",2,9655,440,6.0
4381,r003,"U.S. total -> Washington-Arlington-Alexandria, DC-VA-MD-WV",U.S. total,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,3179,345,4.7
4381,r004,"U.S. total -> Los Angeles-Long Beach-Anaheim, CA",U.S. total,"Los Angeles-Long Beach-Anaheim, CA",2,6240,291,4.0
4381,r005,"U.S. total -> Boston-Cambridge-Nashua, MA-NH",U.S. total,"Boston-Cambridge-Nashua, MA-NH",2,2798,233,3.2
4381,r006,"U.S. total -> San Francisco-Oakland-Hayward, CA",U.S. total,"San Francisco-Oakland-Hayward, CA",2,2472,229,3.1
4381,r007,"U.S. total -> Chicago-Naperville-Elgin, IL-IN-WI",U.S. total,"Chicago-Naperville-Elgin, IL-IN-WI",2,4676,214,2.9
4381,r008,"U.S. total -> Dallas-Fort Worth-Arlington, TX",U.S. total,"Dallas-Fort Worth-Arlington, TX",2,3657,210,2.9
4381,r009,"U.S. total -> Seattle-Tacoma-Bellevue, WA",U.S. total,"Seattle-Tacoma-Bellevue, WA",2,2021,202,2.8
4381,r010,"U.S. total -> San Jose-Sunnyvale-Santa Clara, CA",U.S. total,"San Jose-Sunnyvale-Santa Clara, CA",2,1141,194,2.6
4381,r011,"U.S. total -> Atlanta-Sandy Springs-Roswell, GA",U.S. total,"Atlanta-Sandy Springs-Roswell, GA",2,2744,171,2.3
4381,r012,"U.S. total -> Houston-The Woodlands-Sugar Land, TX",U.S. total,"Houston-The Woodlands-Sugar Land, TX",2,3052,162,2.2
4381,r013,"U.S. total -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",U.S. total,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,2876,160,2.2
4381,r014,"U.S. total -> Detroit-Warren-Dearborn, MI",U.S. total,"Detroit-Warren-Dearborn, MI",2,1981,153,2.1
4381,r015,"U.S. total -> Minneapolis-St. Paul-Bloomington, MN-WI",U.S. total,"Minneapolis-St. Paul-Bloomington, MN-WI",2,1971,130,1.8
4381,r016,"U.S. total -> Denver-Aurora-Lakewood, CO",U.S. total,"Denver-Aurora-Lakewood, CO",2,1513,119,1.6
4381,r017,"U.S. total -> Phoenix-Mesa-Scottsdale, AZ",U.S. total,"Phoenix-Mesa-Scottsdale, AZ",2,2121,111,1.5
4381,r018,"U.S. total -> San Diego-Carlsbad, CA",U.S. total,"San Diego-Carlsbad, CA",2,1495,109,1.5
4381,r019,"U.S. total -> Baltimore-Columbia-Towson, MD",U.S. total,"Baltimore-Columbia-Towson, MD",2,1376,100,1.4
4381,r020,"U.S. total -> Austin-Round Rock, TX",U.S. total,"Austin-Round Rock, TX",2,1073,95,1.3
