table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_male,field_female,field_researchers_including_r_d_scientists_engineers_and_their_managers_,field_r_d_technicians_and_equivalent_staff,field_r_d_support_staff_clerical_and_other_,field_researchers_with_phd_excluding_md_jd_and_edd_
12487,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['36,324', '&nbsp;']","['28,469', '&nbsp;']","['7,855', '&nbsp;']","['25,769', '&nbsp;']","['7,962', '&nbsp;']","['2,593', '&nbsp;']","['7,290', '&nbsp;']"
12487,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['3,934', '&nbsp;']","['3,162', '&nbsp;']","['772', '&nbsp;']","['2,651', '&nbsp;']","['1,039', '&nbsp;']","['244', '&nbsp;']","['710', '&nbsp;']"
12487,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['74', '&nbsp;']","['63', '&nbsp;']","['10', 'r']","['74', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['46', '&nbsp;']"
12487,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['43', 'r']","['43', 'r']","['0', '&nbsp;']","['36', 'r']","['7', 'r']","['0', '&nbsp;']","['16', 'r']"
12487,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12487,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['13', 'r']","['11', 'r']","['3', 'r']","['3', 'r']","['8', 'r']","['3', 'r']","['3', 'r']"
12487,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12487,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['2', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']"
12487,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['690', '&nbsp;']","['483', '&nbsp;']","['207', '&nbsp;']","['519', '&nbsp;']","['136', '&nbsp;']","['35', '&nbsp;']","['236', '&nbsp;']"
12487,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['438', '&nbsp;']","['298', '&nbsp;']","['141', '&nbsp;']","['333', '&nbsp;']","['85', '&nbsp;']","['20', '&nbsp;']","['175', '&nbsp;']"
12487,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['251', '&nbsp;']","['185', '&nbsp;']","['66', '&nbsp;']","['185', '&nbsp;']","['52', '&nbsp;']","['14', '&nbsp;']","['61', '&nbsp;']"
12487,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['138', '&nbsp;']","['112', '&nbsp;']","['26', 'r']","['60', '&nbsp;']","['78', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12487,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['20', '&nbsp;']","['20', '&nbsp;']","['0', '&nbsp;']","['16', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12487,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['16', '&nbsp;']","['14', '&nbsp;']","['2', '&nbsp;']","['7', '&nbsp;']","['5', '&nbsp;']","['3', '&nbsp;']","['4', 'r']"
12487,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['166', '&nbsp;']","['166', '&nbsp;']","['0', '&nbsp;']","['116', '&nbsp;']","['27', 'r']","['23', 'r']","['23', 'r']"
12487,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['284', '&nbsp;']","['210', '&nbsp;']","['74', '&nbsp;']","['194', '&nbsp;']","['65', '&nbsp;']","['25', '&nbsp;']","['41', '&nbsp;']"
