table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_no_contracted_out_manufacturing,field_any_contracted_out_manufacturing,field_contracted_out_manufacturing_performed_by_u_s_located_unaffiliated_companies,field_contracted_out_manufacturing_performed_by_foreign_affiliated_companies,field_contracted_out_manufacturing_performed_by_foreign_unaffiliated_companies
7482,r001,All companies,All companies,,,1,"['4,857,473', '&nbsp;']","['96.1', '&nbsp;']","['3.9', '&nbsp;']","['3.0', '&nbsp;']","['0.4', '&nbsp;']","['1.2', '&nbsp;']"
7482,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7482,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,701,088', '&nbsp;']","['96.8', '&nbsp;']","['3.2', '&nbsp;']","['2.5', '&nbsp;']","['0.3', '&nbsp;']","['1.0', '&nbsp;']"
7482,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,725', '&nbsp;']","['95.9', '&nbsp;']","['4.1', '&nbsp;']","['3.3', '&nbsp;']","['0.3', '&nbsp;']","['1.1', '&nbsp;']"
7482,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7482,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['590,193', '&nbsp;']","['95.2', '&nbsp;']","['4.8', '&nbsp;']","['3.8', '&nbsp;']","['0.5', '&nbsp;']","['1.5', '&nbsp;']"
7482,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['401,365', '&nbsp;']","['95.2', '&nbsp;']","['4.8', '&nbsp;']","['3.8', '&nbsp;']","['0.5', '&nbsp;']","['1.6', '&nbsp;']"
7482,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7482,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['118,677', '&nbsp;']","['93.4', '&nbsp;']","['6.6', '&nbsp;']","['5.0', '&nbsp;']","['1.0', '&nbsp;']","['2.0', '&nbsp;']"
7482,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,454', '&nbsp;']","['93.7', '&nbsp;']","['6.3', '&nbsp;']","['5.0', '&nbsp;']","['1.7', '&nbsp;']","['2.2', '&nbsp;']"
7482,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7482,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['19,208', '&nbsp;']","['92.3', '&nbsp;']","['7.7', '&nbsp;']","['6.5', '&nbsp;']","['1.6', '&nbsp;']","['3.1', '&nbsp;']"
7482,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['8,130', '&nbsp;']","['91.8', '&nbsp;']","['8.2', '&nbsp;']","['6.0', '&nbsp;']","['2.7', '&nbsp;']","['2.8', '&nbsp;']"
7482,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,023', '&nbsp;']","['90.2', '&nbsp;']","['9.7', '&nbsp;']","['7.0', '&nbsp;']","['4.3', '&nbsp;']","['3.4', '&nbsp;']"
7482,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['775', '&nbsp;']","['83.5', '&nbsp;']","['16.6', '&nbsp;']","['11.6', '&nbsp;']","['10.1', '&nbsp;']","['7.5', '&nbsp;']"
7482,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['496', '&nbsp;']","['79.1', '&nbsp;']","['20.9', '&nbsp;']","['17.1', '&nbsp;']","['10.7', '&nbsp;']","['9.1', '&nbsp;']"
7482,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['335', '&nbsp;']","['76.6', '&nbsp;']","['23.4', '&nbsp;']","['16.7', '&nbsp;']","['14.0', '&nbsp;']","['10.7', '&nbsp;']"
