table_id,row_id,institution,rank,total,male,female
2799,r001,"U. California, Berkeley",1,864,492,372
2799,r002,Walden U.,2,820,263,557
2799,r003,"U. Michigan, Ann Arbor",3,801,465,336
2799,r004,"U. Texas, Austin",3,801,473,327
2799,r005,U. Wisconsin-Madison,5,780,441,339
2799,r006,Stanford U.,6,770,490,279
2799,r007,"U. Illinois, Urbana-Champaign",7,759,461,298
2799,r008,"Texas A&M U., College Station and Health Science Center",8,744,466,278
2799,r009,Harvard U.,9,738,391,347
2799,r010,"Purdue U., West Lafayette",10,730,447,283
2799,r011,"Ohio State U., Columbus",11,726,392,334
2799,r012,"U. Minnesota, Twin Cities",12,719,395,324
2799,r013,U. Florida,13,718,381,337
2799,r014,"U. Washington, Seattle",14,708,359,349
2799,r015,"U. California, Los Angeles",15,701,390,311
2799,r016,Massachusetts Institute of Technology,16,685,472,213
2799,r017,"Pennsylvania State U., University Park and Hershey Medical Center",17,659,372,286
2799,r018,"U. Maryland, College Park",18,575,325,250
2799,r019,Columbia U. in the City of New York,19,573,298,275
2799,r020,North Carolina State U.,20,533,302,231
2799,r021,Cornell U.,21,527,309,218
2799,r022,"U. California, Davis",22,521,281,240
2799,r023,Michigan State U.,23,518,263,255
2799,r024,Georgia Institute of Technology,24,503,385,118
2799,r025,U. Southern California,25,494,288,206
2799,r026,"U. California, San Diego",26,492,301,191
2799,r027,"U. North Carolina, Chapel Hill",27,489,212,277
2799,r028,Northwestern U.,28,484,283,200
2799,r029,Johns Hopkins U.,29,455,248,207
2799,r030,U. Pennsylvania,30,450,245,205
2799,r031,"Rutgers, State U. New Jersey, New Brunswick",31,441,226,215
2799,r032,"Indiana U., Bloomington",32,428,225,202
2799,r033,U. Georgia,32,428,194,234
2799,r034,New York U.,34,426,239,187
2799,r035,Yale U.,35,415,234,181
2799,r036,U. Chicago,36,409,263,146
2799,r037,"U. California, Irvine",37,407,244,163
2799,r038,U. Arizona,38,406,212,194
2799,r039,Virginia Polytechnic Institute and State U.,39,405,240,164
2799,r040,Princeton U.,40,398,262,136
2799,r041,"CUNY, Graduate Center",41,394,177,217
2799,r042,Arizona State U.,42,392,223,168
2799,r043,Iowa State U.,43,389,233,156
2799,r044,U. Colorado Boulder,44,388,241,147
2799,r045,Duke U.,45,382,211,171
2799,r046,"SUNY, U. Buffalo",45,382,219,163
2799,r047,Florida State U.,47,381,209,172
2799,r048,"U. Pittsburgh, Pittsburgh",48,375,194,181
2799,r049,U. Utah,49,361,220,141
2799,r050,"U. Tennessee, Knoxville",50,359,207,152
