table_id,row_id,primary_work_activity_full_path,primary_work_activity_level_1,primary_work_activity_level_2,primary_work_activity_level_3,primary_work_activity_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_4_year_educational_institutiona_number,field_4_year_educational_institutiona_se,field_other_educational_institutionb_number,field_other_educational_institutionb_se,field_private_for_profitc_number,field_private_for_profitc_se,field_private_nonprofit_number,field_private_nonprofit_se,field_federal_government_number,field_federal_government_se,field_state_or_local_government_number,field_state_or_local_government_se,field_self_employedd_number,field_self_employedd_se,field_othere_number,field_othere_se
3704,r001,Doctorate recipients,Doctorate recipients,,,1,857200,1975,344350,2325,30900,900,306300,2500,55900,1125,50150,1025,18850,750,40750,1100,10050,550
3704,r002,Doctorate recipients -> Any R&D,Doctorate recipients,Any R&D,,2,351000,1975,140200,1550,1750,225,139500,1625,25300,700,24300,750,6650,400,8750,500,4500,325
3704,r003,Doctorate recipients -> Any R&D -> Applied research,Doctorate recipients,Any R&D,Applied research,3,168650,1775,61700,1250,950,175,63450,1200,15150,575,16600,600,4350,325,4200,300,2200,225
3704,r004,Doctorate recipients -> Any R&D -> Basic research,Doctorate recipients,Any R&D,Basic research,3,92700,1700,74100,1475,400,125,4650,425,6350,350,4750,325,1100,200,800,150,600,150
3704,r005,Doctorate recipients -> Any R&D -> Design,Doctorate recipients,Any R&D,Design,3,24050,975,1400,200,100,50,18050,875,1300,200,850,150,700,175,1150,200,500,125
3704,r006,Doctorate recipients -> Any R&D -> Development,Doctorate recipients,Any R&D,Development,3,65600,1400,3050,275,250,75,53350,1225,2500,250,2100,225,550,125,2600,275,1200,200
3704,r007,Doctorate recipients -> Computer applications,Doctorate recipients,Computer applications,,2,44450,950,3450,275,200,50,34250,925,2050,300,1700,225,1100,200,1000,150,650,150
3704,r008,"Doctorate recipients -> Management, sales, or administration<sup>f</sup>",Doctorate recipients,"Management, sales, or administration<sup>f</sup>",,2,165400,2025,45900,850,3450,300,76300,1475,13200,600,13250,475,5600,375,5400,400,2300,250
3704,r009,Doctorate recipients -> Professional services,Doctorate recipients,Professional services,,2,97050,1625,12600,650,2700,250,38150,1125,11200,600,6150,425,3600,325,21250,750,1450,250
3704,r010,Doctorate recipients -> Teaching,Doctorate recipients,Teaching,,2,161000,1700,132800,1575,21550,775,2750,250,1350,200,350,75,350,125,1750,250,150,75
3704,r011,Doctorate recipients -> Other work activities<sup>g</sup>,Doctorate recipients,Other work activities<sup>g</sup>,,2,38300,975,9350,500,1300,175,15350,525,2850,250,4350,325,1600,200,2600,275,1000,225
