table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_all_employed_10_number,field_all_employed_10_se,field_tenured_number,field_tenured_se,field_tenured_10_number,field_tenured_10_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_on_tenure_track_10_number,field_not_tenured_on_tenure_track_10_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_not_tenured_not_on_tenure_track_10_number,field_not_tenured_not_on_tenure_track_10_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se,field_tenure_not_applicable_10_number,field_tenure_not_applicable_10_se
3689,r001,All fields,All fields,,,,1,108100,1200,236250,2075,10300,500,150200,1575,37750,875,13150,550,23550,600,28650,925,36500,775,44300,975
3689,r002,All fields -> Male,All fields,Male,,,2,58550,975,153300,1825,6050,400,104050,1525,21600,675,7650,400,12950,500,16700,775,17900,625,24850,775
3689,r003,All fields -> Female,All fields,Female,,,2,49550,825,82950,1225,4250,275,46150,950,16100,500,5450,325,10600,425,11900,550,18600,575,19450,675
3689,r004,All fields -> Science,All fields,Science,,,2,84150,1075,193700,1850,7600,400,122200,1450,27950,775,10500,525,18500,550,24100,825,30150,700,36850,975
3689,r005,All fields -> Science -> Male,All fields,Science,Male,,3,44400,850,123850,1575,4550,325,83100,1250,15450,550,6450,375,10000,450,13900,625,14400,525,20400,800
3689,r006,All fields -> Science -> Female,All fields,Science,Female,,3,39750,800,69850,1075,3050,225,39150,850,12450,450,4050,300,8500,375,10200,500,15750,550,16450,600
3689,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,31050,675,65200,1025,1100,175,34700,850,6750,325,5950,375,7950,375,9900,500,15250,500,14600,650
3689,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,15500,575,40150,975,650,150,23800,750,3550,250,3650,300,4250,275,5400,400,7050,375,7300,525
3689,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,15550,450,25050,625,400,75,10900,425,3250,225,2350,200,3700,250,4500,300,8200,375,7350,425
3689,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,4250,250,6500,400,550,125,4950,350,2200,225,200,75,600,100,500,100,900,150,850,175
