table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6542,r001,All business activities,All business activities,,1,21100–81000,"['7,796,340', '&nbsp;']","['7,448,495', '&nbsp;']","['8,831,739', '&nbsp;']","['9,059,299', '&nbsp;']","['9,260,168', '&nbsp;']","['9,663,848', '&nbsp;']","['9,785,269', '&nbsp;']","['9,084,789', '  ']","['9,151,764', '  ']","['9,583,098', '  ']","['10,680,515', '&nbsp;']","['11,180,864', '&nbsp;']"
6542,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['127,788', '&nbsp;']","['61,582', '&nbsp;']","['85,797', '&nbsp;']","['178,926', 'i']","['124,569', '&nbsp;']","['120,495', '&nbsp;']","['124,534', '&nbsp;']","['71,385', '  ']","['58,231', '  ']","['51,790', '  ']","['91,319', '&nbsp;']","['76,461', '&nbsp;']"
6542,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '&nbsp;']","['D', '&nbsp;']","['33,072', '&nbsp;']","['38,109', '&nbsp;']","['24,837', '&nbsp;']","['38,270', '&nbsp;']","['22,962', '&nbsp;']","['37,589', 'i ']","['19,449', '  ']","['17,583', '  ']","['25,823', '&nbsp;']","['16,249', '&nbsp;']"
6542,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '&nbsp;']","['23,022', '&nbsp;']","['34,840', '&nbsp;']","['42,645', '&nbsp;']","['51,327', '&nbsp;']","['72,553', '&nbsp;']","['97,302', '&nbsp;']","['47,711', '  ']","['25,825', '  ']","['39,547', '  ']","['54,528', '&nbsp;']","['52,988', '&nbsp;']"
6542,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '&nbsp;']","['D', '&nbsp;']","['301,613', '&nbsp;']","['337,871', '&nbsp;']","['309,573', '&nbsp;']","['316,082', '&nbsp;']","['347,997', '&nbsp;']","['336,457', '  ']","['304,643', '  ']","['400,104', '  ']","['0 - 1,147,536', '&nbsp;']","['299,499', '&nbsp;']"
6542,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '&nbsp;']","['27,180', '&nbsp;']","['81,641', '&nbsp;']","['88,626', '&nbsp;']","['64,402', '&nbsp;']","['60,516', '&nbsp;']","['66,835', '&nbsp;']","['49,892', '  ']","['45,660', '  ']","['64,968', '  ']","['79,414', '&nbsp;']","['86,185', '&nbsp;']"
6542,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['394,404', '&nbsp;']","['503,047', '&nbsp;']","['501,332', '&nbsp;']","['494,683', '&nbsp;']","['503,915', '&nbsp;']","['693,438', '&nbsp;']","['608,765', '&nbsp;']","['541,557', '  ']","['520,546', '  ']","['617,230', '  ']","['527,904', '&nbsp;']","['565,706', '&nbsp;']"
6542,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['83,691', '&nbsp;']","['78,740', '&nbsp;']","['84,764', '&nbsp;']","['95,236', '&nbsp;']","['83,774', '&nbsp;']","['106,580', '&nbsp;']","['109,397', '&nbsp;']","['D', '  ']","['111,431', '  ']","['96,676', '  ']","['92,210', '&nbsp;']","['78,304', '&nbsp;']"
6542,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['28,680', '&nbsp;']","['32,431', '&nbsp;']","['31,357', '&nbsp;']","['29,645', '&nbsp;']","['27,706', '&nbsp;']","['35,864', '&nbsp;']","['36,177', '&nbsp;']","['31,715', '  ']","['34,196', '  ']","['35,945', '  ']","['35,691', '&nbsp;']","['38,302', '&nbsp;']"
6542,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['NA', '&nbsp;']","['45,893', '&nbsp;']","['56,890', '&nbsp;']","['52,532', '&nbsp;']","['68,545', '&nbsp;']","['55,066', '&nbsp;']","['51,532', '&nbsp;']","['70,105', '  ']","['89,019', '  ']","['66,734', '  ']","['59,379', '&nbsp;']","['52,980', '&nbsp;']"
