table_id,row_id,decennial_census_1960,decennial_census_1970,decennial_census_1980_1990,decennial_census_2000,american_community_survey_2010_2017
1642,r001,"Biological, agricultural, and environmental life scientists",,,,"Biological, agricultural, and environmental life scientists"
1642,r002,Agricultural scientists,Agricultural scientists,Agricultural and food scientists,Agricultural and food scientists,Agricultural and food scientists
1642,r003,Biological scientists,Biological scientists,Biological and life scientists,Biological scientists,Biological scientists
1642,r004,Foresters and conservationists,Foresters and conservationists,Forestry and conservation scientists,Conservation scientists and foresters,Conservation scientists and foresters
1642,r005,,Marine scientists,,,
1642,r006,,,Medical scientists,Medical scientists,Medical scientists 
1642,r007,,,,,"Life scientists, all other"
1642,r008,Mathematical scientists,,,,Computer and mathematical scientists
1642,r009,Mathematicians,,,Computer scientists and systems analysts,Computer and information research scientists
1642,r010,Statisticians and actuaries,,,Computer support specialists,Computer network architects
1642,r011,,,,Computer software engineers,Computer support specialists
1642,r012,,Computer systems analysts,Computer systems analysts and scientists,Network and computer systems administrators,Computer systems analysts
1642,r013,,,,Database administrators,Database administrators
1642,r014,,,,,Information security analysts
1642,r015,,,,Network systems and data communication analysts,Network and computer systems administrators
1642,r016,,Operations and systems researchers and analysts,Operations and systems researchers and analysts,Operations research analysts,Operations research analysts
1642,r017,,,,,"Software developers, applications and systems software"
1642,r018,,,,,Web developers
1642,r019,,Computer specialists nec,,,"Computer occupations, all other"
1642,r020,,,,Logisticians,Logisticians
1642,r021,,Mathematicians,,Mathematicians,Mathematicians
1642,r022,,Statisticians,Statisticians,Statisticians,Statisticians
1642,r023,,,Mathematical scientists nec,"Miscellaneous mathematical science occupations, including mathematicians and statisticians",Miscellaneous mathematical science occupations
1642,r024,Physical scientists,,,,Physical scientists
1642,r025,Chemists,Physicists and astronomers,Physicists and astronomers,Astronomers and physicists,Astronomers and physicists
1642,r026,Geologists and geophysicists,Atmospheric and space scientists,Atmospheric and space scientists,Atmospheric and space scientists,Atmospheric and space scientists
1642,r027,Physicists,Chemists,"Chemists, except biochemists",Chemists and materials scientists,Chemists and materials scientists
1642,r028,Miscellaneous natural scientists,Geologists,Geologists and geodesists,Environmental scientists and geoscientists,Environmental scientists and geoscientists
1642,r029,,Life and physical scientists nec,Physical scientists nec,"Physical scientists, all other","Physical scientists, all other"
1642,r030,Social scientists,,,,Social scientists
1642,r031,Economists,Economists,Economists,Economists,Economists
1642,r032,Psychologists,Psychologists,Psychologists,Psychologists,Psychologists
1642,r033,,Sociologists,Sociologists,Sociologists,Sociologists
1642,r034,,Political scientists,,Market and survey researchers,Survey researchers
1642,r035,,Urban and regional planners,Urban planners,Urban and regional planners,Urban and regional planners
1642,r036,Miscellaneous social scientists,Social scientists nec,Social scientists nec,"Miscellaneous social scientists, including sociologists",Miscellaneous social scientists and related workers
1642,r037,Engineers,,,,Engineers
1642,r038,Aeronautical engineers,Aeronautical and astronautical engineers,Aerospace,Aerospace engineers,Aerospace engineers
1642,r039,Chemical engineers,Chemical engineers,Agricultural,Agricultural engineers,Agricultural engineers
1642,r040,Civil engineers,Civil engineers,,Biomedical engineers,Biomedical engineers
1642,r041,Electrical engineers,Electrical end electronic engineers,Chemical,Chemical engineers,Chemical engineers
1642,r042,Industrial engineers,Industrial engineers,Civil,Civil engineers,Civil engineers
1642,r043,Mechanical engineers,Mechanical engineers,,Computer hardware engineers,Computer hardware engineers
1642,r044,Metallurgical engineers and metallurgists,Metallurgical and materials engineers,Electrical and electronic,Electrical and electronics engineers,Electrical engineers
1642,r045,Mining engineers,Mining engineers,,Environmental engineers,Environmental engineers
1642,r046,,,Industrial,"Industrial engineers, including health and safety","Industrial engineers, including health and safety engineers"
1642,r047,,,Marine and naval architects,,
1642,r048,,,Marine engineers,Marine engineers,Marine engineers and naval architects
1642,r049,,,Metallurgical and materials,Materials engineers,Materials engineers
1642,r050,,,Mechanical,Mechanical engineers,Mechanical engineers
1642,r051,,,Mining,"Mining and geological engineers, including mining safety engineers","Mining and geological engineers, including mining safety engineers"
1642,r052,,,Nuclear,Nuclear engineers,Nuclear engineers
1642,r053,,Petroleum engineers,Petroleum,"Petroleum, mining and geological engineers, including mining safety engineers",Petroleum engineers
1642,r054,Sales engineers,Sales engineers,Sales engineers,Sales engineers,Sales engineers
1642,r055,,,,Ship engineers,Ship engineers
1642,r056,Engineers nec,Engineers nec,Engineers nec,"Miscellaneous engineers, including agricultural and biomedical","Engineers, all others"
