table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
9864,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['38,962', '&nbsp;']","['16,374', '&nbsp;']","['22,587', '&nbsp;']"
9864,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['4,686', '&nbsp;']","['1,582', '&nbsp;']","['3,104', '&nbsp;']"
9864,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['89', 'r']","['25', '&nbsp;']","['65', 'r']"
9864,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['25', '&nbsp;']","['25', '&nbsp;']","['0', '&nbsp;']"
9864,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['6', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']"
9864,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9864,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9864,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['9', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']"
9864,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['607', '&nbsp;']","['240', '&nbsp;']","['367', '&nbsp;']"
9864,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['296', '&nbsp;']","['161', '&nbsp;']","['135', '&nbsp;']"
9864,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['311', '&nbsp;']","['79', '&nbsp;']","['232', '&nbsp;']"
9864,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['29', '&nbsp;']","['9', 'r']","['21', '&nbsp;']"
9864,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['24', '&nbsp;']","['17', 'r']","['8', '&nbsp;']"
9864,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['11', 'r']","['1', '&nbsp;']","['9', 'r']"
9864,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['159', 'r']","['35', 'r']","['124', 'r']"
9864,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['512', '&nbsp;']","['223', '&nbsp;']","['289', '&nbsp;']"
9864,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['1,950', '&nbsp;']","['610', '&nbsp;']","['1,340', '&nbsp;']"
9864,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['509', '&nbsp;']","['167', '&nbsp;']","['342', '&nbsp;']"
