table_id,row_id,match_step_,number_of_refid_award_matches_,unique_refids_per_step_,number_of_unique_awards_matched_,filters_
6982,r001,1,29067,6327,28110,None 
6982,r002,2,1601,348,1596,None 
6982,r003,3,385,162,385,Name commonality 
6982,r004,4,421,208,421,Name commonality 
6982,r005,5,115,69,115,Name commonality 
6982,r006,6,84,70,84,Name commonality 
6982,r007,7,134,86,134,Name commonality 
6982,r008,8,133,79,133,Name commonality 
6982,r009,9,65,52,65,Name commonality 
6982,r010,"10, 11 ",46,31,46,Name commonality 
6982,r011,Unmatched ,663142,,,
