table_id,row_id,degree_and_occupation_full_path,degree_and_occupation_level_1,degree_and_occupation_level_2,degree_and_occupation_hierarchy_depth,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017
1599,r001,All scientists and engineers,All scientists and engineers,,1,3.2,2.5,3.1,4.3,3.8,3.3,2.7
1599,r002,Highest degree level,Highest degree level,,1,,,,,,,
1599,r003,Highest degree level -> Bachelor's,Highest degree level,Bachelor's,2,3.4,2.9,3.5,4.9,4.2,4.0,3.1
1599,r004,Highest degree level -> Master's,Highest degree level,Master's,2,3.4,2.3,2.9,4.1,3.7,2.8,2.6
1599,r005,Highest degree level -> Professional,Highest degree level,Professional,2,1.9,1.1,1.8,2.7,2.3,1.1,1.0
1599,r006,Highest degree level -> Doctorate,Highest degree level,Doctorate,2,2.3,1.6,2.0,2.6,2.3,2.6,2.4
1599,r007,Occupation,Occupation,,1,,,,,,,
1599,r008,Occupation -> Computer and mathematical scientists,Occupation,Computer and mathematical scientists,2,3.7,2.5,3.0,3.7,3.1,2.7,2.5
1599,r009,"Occupation -> Biological, agricultural, and environmental life scientists",Occupation,"Biological, agricultural, and environmental life scientists",2,2.4,2.2,2.4,3.7,3.3,4.1,4.2
1599,r010,Occupation -> Physical and related scientists,Occupation,Physical and related scientists,2,2.8,2.3,3.0,3.3,4.5,3.2,2.1
1599,r011,Occupation -> Social and related scientists,Occupation,Social and related scientists,2,1.6,2.5,2.1,2.3,3.3,3.6,3.0
1599,r012,Occupation -> Engineers,Occupation,Engineers,2,3.8,2.4,2.8,4.6,2.8,2.1,2.6
1599,r013,Occupation -> S&E-related occupations,Occupation,S&E-related occupations,2,2.0,1.5,1.9,2.5,2.2,1.8,1.9
1599,r014,Occupation -> Non-S&E occupations,Occupation,Non-S&E occupations,2,3.8,3.0,3.9,5.6,5.0,4.3,3.0
