table_id,row_id,field_and_sex_full_path,field_and_sex_level_1,field_and_sex_level_2,field_and_sex_level_3,field_and_sex_level_4,field_and_sex_level_5,field_and_sex_hierarchy_depth,field_all_sources,field_federal_support_total,field_federal_support_dod,field_federal_support_doe,field_federal_support_hhs_total,field_federal_support_hhs_nih,field_federal_support_hhs_other,field_federal_support_nasa,field_federal_support_nsf,field_federal_support_usda,field_federal_support_other,field_institutional_support,field_other_nonfederal_support_total,field_other_nonfederal_support_united_states,field_other_nonfederal_support_foreign,field_self_support
1133,r001,All S&E graduate students,All S&E graduate students,,,,,1,462973,68854,8136,4465,20029,18798,1231,2015,22579,2441,9189,190439,23230,18723,4507,180450
1133,r002,All S&E graduate students -> Science,All S&E graduate students,Science,,,,2,334770,46316,3631,2224,17167,16144,1023,1187,14077,2193,5837,147536,13629,11082,2547,127289
1133,r003,All S&E graduate students -> Science -> Agricultural sciences,All S&E graduate students,Science,Agricultural sciences,,,3,12806,2300,52,38,79,66,13,37,343,1077,674,6136,1316,1176,140,3054
1133,r004,All S&E graduate students -> Science -> Biological sciences,All S&E graduate students,Science,Biological sciences,,,3,65549,15904,318,127,11451,10865,586,43,2258,740,967,28795,3702,3016,686,17148
1133,r005,All S&E graduate students -> Science -> Biological sciences -> Anatomy,All S&E graduate students,Science,Biological sciences,Anatomy,,4,424,104,2,0,70,64,6,0,11,0,21,204,11,7,4,105
1133,r006,All S&E graduate students -> Science -> Biological sciences -> Biochemistry,All S&E graduate students,Science,Biological sciences,Biochemistry,,4,4060,1381,25,27,1111,1073,38,3,156,12,47,2046,232,198,34,401
1133,r007,All S&E graduate students -> Science -> Biological sciences -> Biology,All S&E graduate students,Science,Biological sciences,Biology,,4,11800,1872,65,22,909,866,43,2,611,41,222,7219,514,420,94,2195
1133,r008,All S&E graduate students -> Science -> Biological sciences -> Biometry and epidemiology,All S&E graduate students,Science,Biological sciences,Biometry and epidemiology,,4,7035,1533,35,6,1315,1192,123,0,109,10,58,2185,293,268,25,3024
1133,r009,All S&E graduate students -> Science -> Biological sciences -> Biophysics,All S&E graduate students,Science,Biological sciences,Biophysics,,4,923,508,3,6,419,393,26,1,62,0,17,287,58,48,10,70
1133,r010,All S&E graduate students -> Science -> Biological sciences -> Botany and plant biology,All S&E graduate students,Science,Biological sciences,Botany and plant biology,,4,1650,369,3,18,16,16,0,3,135,151,43,939,197,164,33,145
1133,r011,All S&E graduate students -> Science -> Biological sciences -> Cell and molecular biology,All S&E graduate students,Science,Biological sciences,Cell and molecular biology,,4,6073,2330,26,13,1969,1897,72,3,254,20,45,2532,471,373,98,740
1133,r012,All S&E graduate students -> Science -> Biological sciences -> Ecology,All S&E graduate students,Science,Biological sciences,Ecology,,4,1048,209,1,4,5,4,1,5,112,44,38,673,38,24,14,128
1133,r013,All S&E graduate students -> Science -> Biological sciences -> Entomology and parasitology,All S&E graduate students,Science,Biological sciences,Entomology and parasitology,,4,1032,219,3,0,14,14,0,2,53,121,26,537,115,108,7,161
