table_id,row_id,core_based_statistical_area_cbsa_full_path,core_based_statistical_area_cbsa_level_1,core_based_statistical_area_cbsa_level_2,core_based_statistical_area_cbsa_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
12274,r001,All locations,All locations,,1,"['&nbsp;', '&nbsp;']","['    691,547 ', '&nbsp;']","['    608,058 ', '&nbsp;']","['    83,489 ', '&nbsp;']"
12274,r002,"All locations -> San Jose-Sunnyvale-Santa Clara, CA",All locations,"San Jose-Sunnyvale-Santa Clara, CA",2,"['41940', '&nbsp;']","['    105,158 ', '&nbsp;']","['    101,098 ', '&nbsp;']","['    4,060 ', '&nbsp;']"
12274,r003,"All locations -> San Francisco-Oakland-Fremont, CA",All locations,"San Francisco-Oakland-Fremont, CA",2,"['41860', '&nbsp;']","['    76,826 ', '&nbsp;']","['    74,443 ', '&nbsp;']","['    2,383 ', '&nbsp;']"
12274,r004,"All locations -> Seattle-Tacoma-Bellevue, WA",All locations,"Seattle-Tacoma-Bellevue, WA",2,"['42660', '&nbsp;']","['    54,976 ', '&nbsp;']","['    53,467 ', '&nbsp;']","['    1,509 ', '&nbsp;']"
12274,r005,"All locations -> Boston-Cambridge-Newton, MA-NH",All locations,"Boston-Cambridge-Newton, MA-NH",2,"['14460', '&nbsp;']","['    46,915 ', '&nbsp;']","['    40,756 ', '&nbsp;']","['    6,159 ', '&nbsp;']"
12274,r006,"All locations -> New York-Newark-Jersey City, NY-NJ",All locations,"New York-Newark-Jersey City, NY-NJ",2,"['35620', '&nbsp;']","['    44,758 ', '&nbsp;']","['    39,196 ', '&nbsp;']","['    5,562 ', '&nbsp;']"
12274,r007,"All locations -> Los Angeles-Long Beach-Anaheim, CA",All locations,"Los Angeles-Long Beach-Anaheim, CA",2,"['31080', '&nbsp;']","['    23,345 ', '&nbsp;']","['    17,860 ', '&nbsp;']","['    5,486 ', '&nbsp;']"
12274,r008,"All locations -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",All locations,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,"['37980', '&nbsp;']","['    20,268 ', '&nbsp;']","['    15,044 ', '&nbsp;']","['    5,223 ', 'i']"
12274,r009,"All locations -> Detroit-Warren-Dearborn, MI",All locations,"Detroit-Warren-Dearborn, MI",2,"['19820', '&nbsp;']","['    19,955 ', '&nbsp;']","['    18,389 ', '&nbsp;']","['    1,566 ', '&nbsp;']"
12274,r010,"All locations -> San Diego-Chula Vista-Carlsbad, CA",All locations,"San Diego-Chula Vista-Carlsbad, CA",2,"['41740', '&nbsp;']","['    19,742 ', '&nbsp;']","['    17,384 ', '&nbsp;']","['    2,358 ', 'i']"
12274,r011,"All locations -> Chicago-Naperville-Elgin, IL-IN",All locations,"Chicago-Naperville-Elgin, IL-IN",2,"['16980', '&nbsp;']","['    15,183 ', '&nbsp;']","['    14,072 ', '&nbsp;']","['    1,111 ', 'i']"
12274,r012,"All locations -> Portland-Vancouver-Hillsboro, OR-WA",All locations,"Portland-Vancouver-Hillsboro, OR-WA",2,"['38900', '&nbsp;']","['    12,671 ', '&nbsp;']","['    12,478 ', '&nbsp;']","['    193 ', '&nbsp;']"
12274,r013,"All locations -> Washington-Arlington-Alexandria, DC-VA-MD-WV",All locations,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,"['47900', '&nbsp;']","['    11,731 ', '&nbsp;']","['    8,529 ', '&nbsp;']","['    3,202 ', '&nbsp;']"
12274,r014,"All locations -> Dallas-Fort Worth-Arlington, TX",All locations,"Dallas-Fort Worth-Arlington, TX",2,"['19100', '&nbsp;']","['    11,147 ', 'i']","['    8,886 ', '&nbsp;']","['    2,261 ', 'i']"
12274,r015,"All locations -> Austin-Round Rock-San Marcos, TX",All locations,"Austin-Round Rock-San Marcos, TX",2,"['12420', '&nbsp;']","['    10,941 ', '&nbsp;']","['    9,730 ', '&nbsp;']","['    1,211 ', '&nbsp;']"
12274,r016,"All locations -> Indianapolis-Carmel-Greenwood, IN",All locations,"Indianapolis-Carmel-Greenwood, IN",2,"['26900', '&nbsp;']","['    8,715 ', '&nbsp;']","['    7,394 ', '&nbsp;']","['    1,321 ', 'i']"
12274,r017,"All locations -> Phoenix-Mesa-Chandler, AZ",All locations,"Phoenix-Mesa-Chandler, AZ",2,"['38060', '&nbsp;']","['    8,635 ', '&nbsp;']","['    7,547 ', '&nbsp;']","['    1,088 ', '&nbsp;']"
12274,r018,"All locations -> Minneapolis-St. Paul-Bloomington, MN-WI",All locations,"Minneapolis-St. Paul-Bloomington, MN-WI",2,"['33460', '&nbsp;']","['    7,643 ', '&nbsp;']","['    7,227 ', '&nbsp;']","['    416 ', '&nbsp;']"
12274,r019,"All locations -> Atlanta-Sandy Springs-Roswell, GA",All locations,"Atlanta-Sandy Springs-Roswell, GA",2,"['12060', '&nbsp;']","['    7,486 ', '&nbsp;']","['    6,591 ', '&nbsp;']","['    894 ', 'i']"
12274,r020,"All locations -> Trenton-Princeton, NJ",All locations,"Trenton-Princeton, NJ",2,"['45940', '&nbsp;']","['    6,559 ', '&nbsp;']","['    5,087 ', '&nbsp;']","['    1,472 ', 'i']"
12274,r021,"All locations -> Durham-Chapel Hill, NC",All locations,"Durham-Chapel Hill, NC",2,"['20500', '&nbsp;']","['    6,421 ', '&nbsp;']","['    3,960 ', '&nbsp;']","['    2,461 ', 'i']"
12274,r022,"All locations -> Denver-Aurora-Centennial, CO",All locations,"Denver-Aurora-Centennial, CO",2,"['19740', '&nbsp;']","['    6,046 ', 'i']","['    4,299 ', '&nbsp;']","['    1,747 ', 'i']"
12274,r023,"All locations -> Houston-Pasadena-The Woodlands, TX",All locations,"Houston-Pasadena-The Woodlands, TX",2,"['26420', '&nbsp;']","['    5,742 ', '&nbsp;']","['    4,469 ', '&nbsp;']","['    1,273 ', 'i']"
12274,r024,"All locations -> Cincinnati, OH-KY-IN",All locations,"Cincinnati, OH-KY-IN",2,"['17140', '&nbsp;']","['    5,225 ', '&nbsp;']","['    2,988 ', '&nbsp;']","['    2,237 ', '&nbsp;']"
12274,r025,"All locations -> Norwich-New London-Willimantic, CT",All locations,"Norwich-New London-Willimantic, CT",2,"['35980', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
12274,r026,"All locations -> St. Louis, MO-IL",All locations,"St. Louis, MO-IL",2,"['41180', '&nbsp;']","['    4,473 ', '&nbsp;']","['    3,933 ', '&nbsp;']","['    540 ', '&nbsp;']"
12274,r027,"All locations -> Raleigh-Cary, NC",All locations,"Raleigh-Cary, NC",2,"['39580', '&nbsp;']","['    4,154 ', 'i']","['    2,667 ', '&nbsp;']","['    1,487 ', 'i']"
12274,r028,"All locations -> Columbus, OH",All locations,"Columbus, OH",2,"['18140', '&nbsp;']","['    3,811 ', '&nbsp;']","['    3,589 ', '&nbsp;']","['    222 ', 'i']"
12274,r029,"All locations -> Miami-Fort Lauderdale-West Palm Beach, FL",All locations,"Miami-Fort Lauderdale-West Palm Beach, FL",2,"['33100', '&nbsp;']","['    3,533 ', '&nbsp;']","['    3,065 ', '&nbsp;']","['    468 ', 'i']"
12274,r030,"All locations -> Pittsburgh, PA",All locations,"Pittsburgh, PA",2,"['38300', '&nbsp;']","['    3,454 ', '&nbsp;']","['    3,241 ', '&nbsp;']","['    213 ', 'i']"
12274,r031,"All locations -> Baltimore-Columbia-Towson, MD",All locations,"Baltimore-Columbia-Towson, MD",2,"['12580', '&nbsp;']","['    3,200 ', 'i']","['    2,120 ', '&nbsp;']","['    1,079 ', 'i']"
12274,r032,"All locations -> Bridgeport-Stamford-Danbury, CT",All locations,"Bridgeport-Stamford-Danbury, CT",2,"['14860', '&nbsp;']","['    3,165 ', '&nbsp;']","['    2,286 ', '&nbsp;']","['    879 ', 'i']"
12274,r033,"All locations -> Madison, WI",All locations,"Madison, WI",2,"['31540', '&nbsp;']","['    3,003 ', '&nbsp;']","['    2,139 ', '&nbsp;']","['    864 ', 'i']"
12274,r034,"All locations -> Sacramento-Roseville-Folsom, CA",All locations,"Sacramento-Roseville-Folsom, CA",2,"['40900', '&nbsp;']","['    2,783 ', 'i']","['    2,597 ', 'i']","['    186 ', 'i']"
12274,r035,"All locations -> Oxnard-Thousand Oaks-Ventura, CA",All locations,"Oxnard-Thousand Oaks-Ventura, CA",2,"['37100', '&nbsp;']","['    2,783 ', '&nbsp;']","['    2,323 ', '&nbsp;']","['    461 ', 'i']"
12274,r036,"All locations -> Kansas City, MO-KS",All locations,"Kansas City, MO-KS",2,"['28140', '&nbsp;']","['    2,581 ', '&nbsp;']","['    1,805 ', '&nbsp;']","['    776 ', 'i']"
12274,r037,"All locations -> Boise City, ID",All locations,"Boise City, ID",2,"['14260', '&nbsp;']","['    2,553 ', '&nbsp;']","['    2,525 ', '&nbsp;']","['    28 ', 'i']"
12274,r038,"All locations -> Tampa-St. Petersburg-Clearwater, FL",All locations,"Tampa-St. Petersburg-Clearwater, FL",2,"['45300', '&nbsp;']","['    2,527 ', '&nbsp;']","['    1,679 ', '&nbsp;']","['    848 ', '&nbsp;']"
12274,r039,"All locations -> Huntsville, AL",All locations,"Huntsville, AL",2,"['26620', '&nbsp;']","['    2,473 ', '&nbsp;']","['    1,127 ', '&nbsp;']","['    1,346 ', '&nbsp;']"
12274,r040,"All locations -> Manchester-Nashua, NH",All locations,"Manchester-Nashua, NH",2,"['31700', '&nbsp;']","['    2,382 ', '&nbsp;']","['    633 ', '&nbsp;']","['    1,749 ', '&nbsp;']"
