table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2022_actuala,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10429,r001,All functions conducting R&D,All functions conducting R&D,,1,45222,47089,48266,4.1,2.5
10429,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,2653,2919,2480,10.0,-15.0
10429,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,21844,22961,22959,5.1,0.05
10429,r004,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,5718,5627,5820,-1.6,3.4
10429,r005,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,11962,12535,13877,4.8,10.7
10429,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,170,208,193,22.4,-7.2
10429,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,149,141,128,-5.9,-8.9
10429,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,1417,1357,1369,-4.2,0.9
10429,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,0,0,0,-,-
10429,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,619,648,701,4.7,8.2
10429,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,270,282,309,4.4,9.6
10429,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,324,342,368,5.6,7.6
10429,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,88,68,60,-22.7,-11.8
10429,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,7,2,2,-71.4,0.0
10429,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0,0,0,-,-
10429,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0,0,0,-,-
10429,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0,0,0,-,-
