table_id,row_id,region_country_or_economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5913,r001,Total,2639,1348,950,1026,1410,1944,3505,4737,8749,5295,9100,15204,16156,21841,44393,78614,86305,127924,217060,226423,277025
5913,r002,United States,2105,1002,723,853,970,1397,2308,3124,5956,3197,5565,8255,9668,12201,23025,31791,34437,48889,88713,106480,129182
5913,r003,Canada,16,7,35,15,75,16,93,52,224,184,168,282,485,663,962,1005,1244,1621,2901,4384,3493
5913,r004,Rest of North America,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10,53,35,55,208,191,80,81,173,629,796
5913,r005,Europe,195,216,111,109,252,276,465,749,1123,983,1479,2882,2737,3728,6134,9572,11434,16260,23765,34592,41173
5913,r006,Central America,NA,NA,6,5,4,NA,1,NA,NA,15,NA,1,1,60,23,14,17,20,63,51,121
5913,r007,South America,NA,27,0,NA,1,0,NA,1,11,7,6,146,173,711,283,411,367,507,1678,3207,3024
5913,r008,China,18,7,5,4,22,120,338,351,776,481,1289,2224,1421,1541,7036,23065,30275,42566,74789,39821,60197
5913,r009,India ,115,5,6,14,28,59,87,168,151,148,236,571,561,938,4116,6677,2525,10177,6699,13858,12215
5913,r010,Rest of Asia,127,31,56,19,10,37,88,147,215,152,83,437,418,1109,1538,3827,3765,4831,13064,17174,19323
5913,r011,Africa,NA,NA,NA,NA,NA,2,NA,2,NA,11,15,62,74,45,209,878,157,496,485,860,649
5913,r012,Middle East,57,52,7,6,48,34,119,133,240,107,192,254,498,635,697,885,1528,1899,3252,3874,5107
5913,r013,Oceania,6,0,NA,0,0,3,7,11,51,7,58,38,85,155,162,298,478,578,1478,1494,1745
