table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
8817,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['466,162', '&nbsp;']","['258,088', '&nbsp;']","['47,548', '&nbsp;']","['20,710', '&nbsp;']","['7,555', '&nbsp;']","['27,379', '&nbsp;']","['7,799', '&nbsp;']","['18,558', '&nbsp;']","['3,476', '&nbsp;']","['12,415', '&nbsp;']","['62,634', '&nbsp;']"
8817,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['264,596', '&nbsp;']","['138,844', '&nbsp;']","['15,665', '&nbsp;']","['10,767', '&nbsp;']","['3,566', '&nbsp;']","['24,503', '&nbsp;']","['3,844', '&nbsp;']","['12,946', '&nbsp;']","['3,024', '&nbsp;']","['8,306', '&nbsp;']","['43,131', '&nbsp;']"
8817,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,985', '&nbsp;']","['3,018', '&nbsp;']","['36', '&nbsp;']","['192', '&nbsp;']","['16', '&nbsp;']","['695', '&nbsp;']","['69', '&nbsp;']","['235', '&nbsp;']","['15', '&nbsp;']","['146', '&nbsp;']","['563', '&nbsp;']"
8817,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,056', '&nbsp;']","['561', '&nbsp;']","['10', '&nbsp;']","['61', '&nbsp;']","['2', '&nbsp;']","['73', '&nbsp;']","['1', '&nbsp;']","['49', '&nbsp;']","['0', '&nbsp;']","['39', '&nbsp;']","['260', '&nbsp;']"
8817,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['812', '&nbsp;']","['631', '&nbsp;']","['18', '&nbsp;']","['16', '&nbsp;']","['15', '&nbsp;']","['63', '&nbsp;']","['5', '&nbsp;']","['15', '&nbsp;']","['3', '&nbsp;']","['11', '&nbsp;']","['36', '&nbsp;']"
8817,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['183', '&nbsp;']","['138', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['27', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['7', 'i']"
8817,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['927', '&nbsp;']","['479', '&nbsp;']","['*', 'i']","['6', '&nbsp;']","['17', 'i']","['314', '&nbsp;']","['6', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['7', '&nbsp;']","['92', '&nbsp;']"
8817,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['282', '&nbsp;']","['207', '&nbsp;']","['3', 'i']","['14', 'i']","['1', 'i']","['17', 'i']","['6', 'i']","['17', 'i']","['0', '&nbsp;']","['1', '&nbsp;']","['16', 'i']"
8817,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,222', '&nbsp;']","['597 - 673', '&nbsp;']","['0', '&nbsp;']","['12', '&nbsp;']","['1', '&nbsp;']","['29 - 54', '&nbsp;']","['6', '&nbsp;']","['57', '&nbsp;']","['*', '&nbsp;']","['232', '&nbsp;']","['201 - 266', '&nbsp;']"
8817,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['89,403', '&nbsp;']","['37,712', '&nbsp;']","['5,118', '&nbsp;']","['6,133', '&nbsp;']","['835', '&nbsp;']","['8,336', '&nbsp;']","['1,498', '&nbsp;']","['3,928', '&nbsp;']","['1,878', '&nbsp;']","['4,621', '&nbsp;']","['19,345', '&nbsp;']"
