table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_and_r_d_plant_expenditures,field_r_d_expendituresa,field_r_d_plant_expendituresb
12542,r001,United States<sup>c</sup>,United States<sup>c</sup>,,1,3068515424,3034601074,33914350
12542,r002,United States<sup>c</sup> -> Alabama,United States<sup>c</sup>,Alabama,2,83778649,83778649,0
12542,r003,United States<sup>c</sup> -> Alaska,United States<sup>c</sup>,Alaska,2,19451112,19451112,0
12542,r004,United States<sup>c</sup> -> Arizona,United States<sup>c</sup>,Arizona,2,14011612,14011612,0
12542,r005,United States<sup>c</sup> -> Arkansas,United States<sup>c</sup>,Arkansas,2,9521076,9521076,0
12542,r006,United States<sup>c</sup> -> California,United States<sup>c</sup>,California,2,594541351,594541351,0
12542,r007,United States<sup>c</sup> -> Colorado,United States<sup>c</sup>,Colorado,2,39665229,39665229,0
12542,r008,United States<sup>c</sup> -> Connecticut,United States<sup>c</sup>,Connecticut,2,55924506,55924506,0
12542,r009,United States<sup>c</sup> -> Delaware,United States<sup>c</sup>,Delaware,2,3584063,3584063,0
12542,r010,United States<sup>c</sup> -> District of Columbia,United States<sup>c</sup>,District of Columbia,2,10563918,10563918,0
12542,r011,United States<sup>c</sup> -> Florida,United States<sup>c</sup>,Florida,2,229599833,222882689,6717144
12542,r012,United States<sup>c</sup> -> Georgia,United States<sup>c</sup>,Georgia,2,20739193,20739193,0
12542,r013,United States<sup>c</sup> -> Hawaii,United States<sup>c</sup>,Hawaii,2,5280407,5280407,0
12542,r014,United States<sup>c</sup> -> Idaho,United States<sup>c</sup>,Idaho,2,19339867,18670602,669265
12542,r015,United States<sup>c</sup> -> Illinois,United States<sup>c</sup>,Illinois,2,46577558,45907372,670186
12542,r016,United States<sup>c</sup> -> Indiana,United States<sup>c</sup>,Indiana,2,24179311,24179311,0
12542,r017,United States<sup>c</sup> -> Iowa,United States<sup>c</sup>,Iowa,2,9809708,9809708,0
12542,r018,United States<sup>c</sup> -> Kansas,United States<sup>c</sup>,Kansas,2,10364853,10364853,0
12542,r019,United States<sup>c</sup> -> Kentucky,United States<sup>c</sup>,Kentucky,2,37765916,37765916,0
12542,r020,United States<sup>c</sup> -> Louisiana,United States<sup>c</sup>,Louisiana,2,31663714,31663714,0
12542,r021,United States<sup>c</sup> -> Maine,United States<sup>c</sup>,Maine,2,48207657,47576007,631650
12542,r022,United States<sup>c</sup> -> Maryland,United States<sup>c</sup>,Maryland,2,46489603,46489603,0
12542,r023,United States<sup>c</sup> -> Massachusetts,United States<sup>c</sup>,Massachusetts,2,53356349,48424086,4932263
12542,r024,United States<sup>c</sup> -> Michigan,United States<sup>c</sup>,Michigan,2,22654435,22654435,0
12542,r025,United States<sup>c</sup> -> Minnesota,United States<sup>c</sup>,Minnesota,2,22732170,22732170,0
12542,r026,United States<sup>c</sup> -> Mississippi,United States<sup>c</sup>,Mississippi,2,10030897,10030897,0
12542,r027,United States<sup>c</sup> -> Missouri,United States<sup>c</sup>,Missouri,2,17210400,17210400,0
12542,r028,United States<sup>c</sup> -> Montana,United States<sup>c</sup>,Montana,2,9956071,9956071,0
12542,r029,United States<sup>c</sup> -> Nebraska,United States<sup>c</sup>,Nebraska,2,29171378,29171378,0
12542,r030,United States<sup>c</sup> -> Nevada,United States<sup>c</sup>,Nevada,2,4072717,4072717,0
12542,r031,United States<sup>c</sup> -> New Hampshire,United States<sup>c</sup>,New Hampshire,2,2521016,2521016,0
12542,r032,United States<sup>c</sup> -> New Jersey,United States<sup>c</sup>,New Jersey,2,99832733,99832733,0
12542,r033,United States<sup>c</sup> -> New Mexico,United States<sup>c</sup>,New Mexico,2,2337788,2337788,0
12542,r034,United States<sup>c</sup> -> New York,United States<sup>c</sup>,New York,2,493826578,486576578,7250000
12542,r035,United States<sup>c</sup> -> North Carolina,United States<sup>c</sup>,North Carolina,2,37106613,36106613,1000000
12542,r036,United States<sup>c</sup> -> North Dakota,United States<sup>c</sup>,North Dakota,2,25822123,25822123,0
12542,r037,United States<sup>c</sup> -> Ohio,United States<sup>c</sup>,Ohio,2,117471257,117471257,0
12542,r038,United States<sup>c</sup> -> Oklahoma,United States<sup>c</sup>,Oklahoma,2,28885260,28885260,0
12542,r039,United States<sup>c</sup> -> Oregon,United States<sup>c</sup>,Oregon,2,40257488,40257488,0
12542,r040,United States<sup>c</sup> -> Pennsylvania,United States<sup>c</sup>,Pennsylvania,2,99487575,99487575,0
12542,r041,United States<sup>c</sup> -> Rhode Island,United States<sup>c</sup>,Rhode Island,2,4635868,4635868,0
12542,r042,United States<sup>c</sup> -> South Carolina,United States<sup>c</sup>,South Carolina,2,53419952,53419952,0
12542,r043,United States<sup>c</sup> -> South Dakota,United States<sup>c</sup>,South Dakota,2,5727211,5227211,500000
12542,r044,United States<sup>c</sup> -> Tennessee,United States<sup>c</sup>,Tennessee,2,67457255,67457255,0
12542,r045,United States<sup>c</sup> -> Texas,United States<sup>c</sup>,Texas,2,282261790,282261790,0
12542,r046,United States<sup>c</sup> -> Utah,United States<sup>c</sup>,Utah,2,10119476,10119476,0
12542,r047,United States<sup>c</sup> -> Vermont,United States<sup>c</sup>,Vermont,2,2833206,2833206,0
12542,r048,United States<sup>c</sup> -> Virginia,United States<sup>c</sup>,Virginia,2,67654247,57260560,10393687
12542,r049,United States<sup>c</sup> -> Washington,United States<sup>c</sup>,Washington,2,61630102,60479947,1150155
12542,r050,United States<sup>c</sup> -> West Virginia,United States<sup>c</sup>,West Virginia,2,8731717,8731717,0
12542,r051,United States<sup>c</sup> -> Wisconsin,United States<sup>c</sup>,Wisconsin,2,16366530,16366530,0
12542,r052,United States<sup>c</sup> -> Wyoming,United States<sup>c</sup>,Wyoming,2,9886086,9886086,0
12542,r053,Puerto Rico<sup>d</sup>,Puerto Rico<sup>d</sup>,,1,49491102,47543226,1947876
