table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_2018,field_2019,field_2020,field_2021,field_2022,field__change_2021_22
9325,r001,All FFRDCs,All FFRDCs,,,1,21171529,22737500,23514241,24921476,26524014,6.4
9325,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,6715338,6946262,7003132,6850276,7165067,4.6
9325,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,36858,33612,32844,34214,38520,12.6
9325,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,777246,810693,859658,856568,962973,12.4
9325,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,328419,334258,300002,319051,330294,3.5
9325,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory<sup>a</sup>,All FFRDCs,University-administered FFRDCs,Green Bank Observatory<sup>a</sup>,3,NA,NA,NA,8629,10752,24.6
9325,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,2733908,2709063,2638412,2388355,2417556,1.2
9325,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,832457,872237,916082,966972,1031716,6.7
9325,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,1013320,1103870,1115927,1136133,1142615,0.6
9325,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,158260,199476,188484,181010,188238,4.0
9325,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,100691,101901,100078,94202,92476,-1.8
9325,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,14733,15931,16892,17684,33849,91.4
9325,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,33874,38262,72686,75251,81505,8.3
9325,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,82435,91271,107662,115505,120347,4.2
9325,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,341615,368938,382264,396780,432078,8.9
9325,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,142891,140954,141291,120443,129316,7.4
9325,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,118631,125796,130850,139479,152832,9.6
9325,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,6617274,7511486,7913603,9079002,9171826,1.0
9325,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,1020827,1065989,1114741,1128241,1152833,2.2
9325,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,39738,37956,35248,38304,40856,6.7
