table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_united_states_and_u_s_territories_industry,field_extramural_united_states_and_u_s_territories_industry_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_universities_and_colleges,field_extramural_united_states_and_u_s_territories_university_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_other_nonprofits,field_extramural_united_states_and_u_s_territories_nonprofit_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_state_local_governments,field_extramural_foreign
3911,r001,All agencies,All agencies,,,,,1,61306422.5,21014509.4,33707091.8,2410913.0,1619492.9,469483.2,558717.5,990620.2,86075.9,449518.7
3911,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
3911,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,230147.0,209664.6,0.0,0.0,18562.6,0.0,1586.5,0.0,34.8,298.3
3911,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,3855.3,3855.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3911,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,129237.4,114741.8,0.0,0.0,12731.8,0.0,1430.6,0.0,34.8,298.3
3911,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,20663.8,15002.0,0.0,0.0,5661.8,0.0,0.0,0.0,0.0,0.0
3911,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,72184.4,72184.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3911,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,4206.1,3881.2,0.0,0.0,169.0,0.0,156.0,0.0,0.0,0.0
3911,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,252776.5,162867.5,152.5,0.0,80539.9,7433.3,687.1,296.8,797.3,2.0
3911,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,9383.1,4108.1,0.0,0.0,5275.0,0.0,0.0,0.0,0.0,0.0
3911,r011,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,177036.0,92402.0,152.5,0.0,75264.9,7433.3,687.1,296.8,797.3,2.0
3911,r012,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,66357.3,66357.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3911,r013,"All agencies -> Departments -> Department of Defense, total experimental development",All agencies,Departments,"Department of Defense, total experimental development",,,3,50511101.4,17710018.3,29428324.2,318416.3,1124355.7,361613.0,462249.1,648920.0,27929.5,429275.3
