table_id,row_id,field_of_highest_degree_father_s_education_and_mother_s_education_full_path,field_of_highest_degree_father_s_education_and_mother_s_education_level_1,field_of_highest_degree_father_s_education_and_mother_s_education_level_2,field_of_highest_degree_father_s_education_and_mother_s_education_level_3,field_of_highest_degree_father_s_education_and_mother_s_education_level_4,field_of_highest_degree_father_s_education_and_mother_s_education_hierarchy_depth,field_bachelor_s_total,field_bachelor_s_0,field_bachelor_s_1_10_000,field_bachelor_s_10_001_20_000,field_bachelor_s_20_001_30_000,field_bachelor_s_30_001_and_over,field_master_s_total,field_master_s_0,field_master_s_1_10_000,field_master_s_10_001_20_000,field_master_s_20_001_30_000,field_master_s_30_001_and_over,field_doctorate_total,field_doctorate_0,field_doctorate_1_10_000,field_doctorate_10_001_20_000,field_doctorate_20_001_30_000,field_doctorate_30_001_and_over,field_professional_total,field_professional_0,field_professional_1_10_000,field_professional_10_001_20_000,field_professional_20_001_30_000,field_professional_30_001_and_over
5591,r001,All fields,All fields,,,,1,41035000,18121000,5891000,4815000,4141000,8066000,17801000,7844000,2487000,1924000,1334000,2652000,2522000,1265000,370000,183000,115000,212000,3338000,1393000,437000,302000,219000,466000
5591,r002,All fields -> Father's education,All fields,Father's education,,,2,,,,,,,,,,,,,,,,,,,,,,,,
5591,r003,All fields -> Father's education -> Less than high school completed,All fields,Father's education,Less than high school completed,,3,4683000,2151000,981000,523000,370000,657000,2122000,869000,410000,214000,108000,241000,309000,111000,53000,15000,11000,S,303000,109000,44000,11000,14000,66000
5591,r004,All fields -> Father's education -> High school diploma or equivalent,All fields,Father's education,High school diploma or equivalent,,3,11042000,4280000,1733000,1416000,1214000,2399000,4075000,1583000,634000,453000,371000,684000,493000,207000,82000,39000,31000,53000,510000,153000,57000,65000,58000,77000
5591,r005,"All fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",,3,8155000,3092000,1214000,932000,1044000,1872000,3315000,1177000,482000,475000,338000,637000,370000,186000,67000,39000,13000,22000,537000,194000,113000,59000,35000,77000
5591,r006,"All fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",,3,9055000,4400000,1129000,1072000,812000,1642000,3906000,1941000,431000,424000,260000,520000,573000,313000,73000,43000,27000,42000,729000,286000,101000,78000,54000,101000
5591,r007,"All fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",,3,4277000,2073000,487000,480000,412000,824000,2320000,1162000,285000,201000,133000,336000,322000,165000,37000,25000,21000,32000,430000,189000,73000,27000,27000,68000
5591,r008,"All fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",,3,1547000,961000,128000,150000,85000,222000,875000,533000,99000,52000,56000,72000,206000,134000,24000,11000,3000,15000,507000,322000,29000,23000,S,33000
5591,r009,"All fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",,3,1325000,747000,97000,152000,116000,213000,872000,464000,113000,76000,49000,88000,223000,134000,32000,12000,8000,11000,251000,114000,19000,38000,19000,31000
5591,r010,All fields -> Father's education -> Not applicable,All fields,Father's education,Not applicable,,3,951000,417000,120000,89000,88000,236000,316000,115000,32000,28000,20000,73000,26000,14000,2000,,,S,69000,26000,S,,,13000
