table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_level_5,field_hierarchy_depth,field_certificates
5778,r001,All fields,All fields,,,,,1,756950
5778,r002,All fields -> S&E,All fields,S&E,,,,2,50363
5778,r003,All fields -> Non-S&E,All fields,Non-S&E,,,,2,706587
5778,r004,All fields -> Non-S&E -> S&E technologies,All fields,Non-S&E,S&E technologies,,,3,257782
5778,r005,All fields -> Non-S&E -> S&E technologies -> Engineering technologies,All fields,Non-S&E,S&E technologies,Engineering technologies,,4,65521
5778,r006,"All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Engineering technology, general",All fields,Non-S&E,S&E technologies,Engineering technologies,"Engineering technology, general",5,912
5778,r007,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Architectural engineering technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Architectural engineering technologies/ technicians,5,268
5778,r008,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Audiovisual communications technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Audiovisual communications technologies/ technicians,5,2641
5778,r009,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Civil engineering technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Civil engineering technologies/ technicians,5,154
5778,r010,"All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Communications technologies/ technicians and support services, other",All fields,Non-S&E,S&E technologies,Engineering technologies,"Communications technologies/ technicians and support services, other",5,21
5778,r011,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Communications technology/ technician,All fields,Non-S&E,S&E technologies,Engineering technologies,Communications technology/ technician,5,160
5778,r012,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Computer engineering technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Computer engineering technologies/ technicians,5,1262
5778,r013,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Construction engineering technologies,All fields,Non-S&E,S&E technologies,Engineering technologies,Construction engineering technologies,5,576
5778,r014,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Drafting/ design engineering technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Drafting/ design engineering technologies/ technicians,5,2811
5778,r015,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Electrical engineering technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Electrical engineering technologies/ technicians,5,3944
5778,r016,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Electromechanical instrumentation and maintenance technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Electromechanical instrumentation and maintenance technologies/ technicians,5,4841
5778,r017,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Engineering-related fields,All fields,Non-S&E,S&E technologies,Engineering technologies,Engineering-related fields,5,0
5778,r018,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Engineering-related technologies,All fields,Non-S&E,S&E technologies,Engineering technologies,Engineering-related technologies,5,311
5778,r019,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Environmental control technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Environmental control technologies/ technicians,5,5077
5778,r020,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Industrial production technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Industrial production technologies/ technicians,5,6753
5778,r021,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Mechanical engineering related technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Mechanical engineering related technologies/ technicians,5,2154
5778,r022,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Mining and petroleum technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Mining and petroleum technologies/ technicians,5,339
5778,r023,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Nanotechnology,All fields,Non-S&E,S&E technologies,Engineering technologies,Nanotechnology,5,16
5778,r024,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Nuclear engineering technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Nuclear engineering technologies/ technicians,5,17
5778,r025,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Precision metal working,All fields,Non-S&E,S&E technologies,Engineering technologies,Precision metal working,5,32373
