table_id,row_id,companies_or_deals_full_path,companies_or_deals_level_1,companies_or_deals_level_2,companies_or_deals_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018
1974,r001,Companies,Companies,,1,,,,,
1974,r002,Companies -> China,Companies,China,2,53,123,184,259,284
1974,r003,Companies -> United States,Companies,United States,2,575,726,1010,1387,1544
1974,r004,Deals,Deals,,1,,,,,
1974,r005,Deals -> China,Deals,China,2,68,148,210,306,335
1974,r006,Deals -> United States,Deals,United States,2,683,826,1238,1753,1955
