table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
8838,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['109,705', '&nbsp;']","['390', '&nbsp;']","['1,199', '&nbsp;']","['188', '&nbsp;']","['1,087', '&nbsp;']","['1,729', 'i']","['2,167', '&nbsp;']","['8,985', '&nbsp;']","['493', '&nbsp;']","['11,067', '&nbsp;']","['31', '&nbsp;']","['4,490', '&nbsp;']","['925', '&nbsp;']","['250', '&nbsp;']","['2,624', '&nbsp;']","['1,650', '&nbsp;']","['2,232', '&nbsp;']","['370', '&nbsp;']","['786', '&nbsp;']","['6,827', '&nbsp;']","['347', '&nbsp;']","['249', 'i']","['232', '&nbsp;']","['645', 'i']"
8838,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['66,243', '']","['152', '']","['825', '']","['115', '']","['828', '']","['1,541', 'i']","['1,114', '']","['6,544', '']","['241', '']","['5,329', '']","['3 - 27', '']","['2,899', '']","['897', '']","['87 - 140', '']","['1,765', '']","['1,225', '']","['1,401', '']","['233 - 312', '']","['554', '']","['4,399', '']","['212', '']","['81', '']","['184', '']","['489', 'i']"
8838,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,153 - 1,161', '']","['0 - 25', '']","['97', '']","['0 - 28', '']","['34', '']","['66', '']","['33', '']","['107', 'i']","['1', '']","['45', '']","['0 - 24', '']","['0 - 40', '']","['4', '']","['10', '']","['26', '']","['10', '']","['7', '']","['0 - 79', '']","['12', '']","['0 - 61', '']","['0 - 35', '']","['0 - 24', '']","['0 - 12', '']","['0 - 259', 'i']"
8838,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['759', '']","['0 - 25', '']","['0 - 32', '']","['0 - 28', '']","['27', '']","['0 - 43', '']","['5', '']","['48', '']","['0', '']","['10', '']","['0 - 24', '']","['29', '']","['0', '']","['0', '']","['19', '']","['0', '']","['0', '']","['0 - 75', '']","['0 - 16', '']","['0', '']","['0 - 35', '']","['3', '']","['0', '']","['0', '']"
8838,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['152', '']","['*', '']","['1', '']","['*', '']","['1', '']","['4', '']","['2', '']","['21', '']","['5', '']","['*', '']","['0', '']","['2', '']","['*', '']","['0 - 14', '']","['*', '']","['2', '']","['0 - 14', '']","['0', '']","['8', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']"
8838,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['8', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 7', 'i']"
8838,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['93', '']","['0 - 25', 'i']","['0 - 32', '']","['*', 'i']","['1', 'i']","['2', 'i']","['1', 'i']","['1', 'i']","['0', '']","['*', 'i']","['*', 'i']","['0', '']","['*', 'i']","['0', '']","['8', '']","['2', 'i']","['1', 'i']","['*', 'i']","['1', 'i']","['0 - 61', 'i']","['*', '']","['1', 'i']","['*', 'i']","['0 - 63', 'i']"
8838,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['10', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', 'i']"
8838,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['165', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0 - 94', '']","['0', '']","['1', '']","['0', '']","['0 - 40', '']","['0', '']","['0', '']","['1', '']","['*', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0 - 35', '']","['0', '']","['0', '']","['0 - 105', 'i']"
8838,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['19,362', '']","['114', '']","['296', '']","['75', '']","['139', '']","['221', '']","['292', '']","['1,462', '']","['104', '']","['558', 'i']","['0 - 25', '']","['1,324', '']","['33', '']","['0 - 38', '']","['313', '']","['182', '']","['113', '']","['28 - 66', '']","['97', '']","['282', '']","['116', '']","['47', '']","['40', '']","['0 - 42', 'i']"
