table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_4_year_educational_institutiona_number,field_4_year_educational_institutiona_se,field_other_educational_institutionb_number,field_other_educational_institutionb_se,field_private_for_profitc_number,field_private_for_profitc_se,field_private_nonprofit_number,field_private_nonprofit_se,field_federal_government_number,field_federal_government_se,field_state_or_local_government_number,field_state_or_local_government_se,field_self_employedd_number,field_self_employedd_se,field_othere_number,field_othere_se
3703,r001,Doctorate Recipient,Doctorate Recipient,,,,1,857200,1975,344350,2325,30900,900,306300,2500,55900,1125,50150,1025,18850,750,40750,1100,10050,550
3703,r002,Doctorate Recipient -> Sex,Doctorate Recipient,Sex,,,2,,,,,,,,,,,,,,,,,,
3703,r003,Doctorate Recipient -> Sex -> Male,Doctorate Recipient,Sex,Male,,3,546050,1750,211850,2075,14300,675,218700,2050,31100,925,31150,825,10950,550,21750,950,6250,450
3703,r004,Doctorate Recipient -> Sex -> Female,Doctorate Recipient,Sex,Female,,3,311200,1200,132500,1450,16600,575,87600,1225,24800,625,19000,650,7900,425,19000,575,3800,350
3703,r005,Doctorate Recipient -> Ethnicity,Doctorate Recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,
3703,r006,Doctorate Recipient -> Ethnicity -> Hispanic or Latino<sup>f</sup>,Doctorate Recipient,Ethnicity,Hispanic or Latino<sup>f</sup>,,3,37250,550,16350,400,1900,175,11150,400,2350,175,2500,175,900,125,1450,150,550,100
3703,r007,Doctorate Recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup>,Doctorate Recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,,3,,,,,,,,,,,,,,,,,,
3703,r008,Doctorate Recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> American Indian or Alaska Native,Doctorate Recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,American Indian or Alaska Native,4,1300,125,600,100,100,50,300,75,50,25,100,50,50,25,50,25,,
3703,r009,Doctorate Recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> Asian,Doctorate Recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,Asian,4,213350,1325,68950,1300,3150,400,109300,1525,11150,525,8550,525,3900,375,4400,375,3850,350
3703,r010,Doctorate Recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> Black or African American,Doctorate Recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,Black or African American,4,31100,400,13750,400,2450,200,7300,325,2400,275,2550,225,1450,175,800,100,400,75
3703,r011,Doctorate Recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> White,Doctorate Recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,White,4,562350,1750,240100,1850,22700,725,174200,1900,39050,1025,35450,825,12300,625,33450,975,5150,400
3703,r012,Doctorate Recipient -> Ethnicity -> Not Hispanic or Latino<sup>g</sup> -> Other race<sup>h</sup>,Doctorate Recipient,Ethnicity,Not Hispanic or Latino<sup>g</sup>,Other race<sup>h</sup>,4,11950,400,4600,250,550,100,4000,275,850,125,950,125,250,75,600,125,100,50
3703,r013,Doctorate Recipient -> Age,Doctorate Recipient,Age,,,2,,,,,,,,,,,,,,,,,,
3703,r014,Doctorate Recipient -> Age -> Under 35,Doctorate Recipient,Age,Under 35,,3,99050,1050,37250,900,1700,175,44850,925,6600,375,4950,300,1800,250,950,150,950,150
3703,r015,Doctorate Recipient -> Age -> 35&#8211;39,Doctorate Recipient,Age,35&#8211;39,,3,128800,1375,52050,925,3350,275,52300,1100,8700,450,6600,375,2650,250,1950,225,1200,200
3703,r016,Doctorate Recipient -> Age -> 40&#8211;44,Doctorate Recipient,Age,40&#8211;44,,3,117500,1325,47450,950,4000,300,44650,925,8000,450,7150,450,2100,250,2700,275,1450,250
3703,r017,Doctorate Recipient -> Age -> 45&#8211;49,Doctorate Recipient,Age,45&#8211;49,,3,108400,1450,45750,1100,4350,275,37400,900,7000,400,7100,475,2350,225,3100,300,1300,200
3703,r018,Doctorate Recipient -> Age -> 50&#8211;54,Doctorate Recipient,Age,50&#8211;54,,3,100900,1375,39200,1050,4750,375,37000,1050,6700,475,6250,375,2200,275,3600,300,1250,225
