table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_total_number,field_total_se,field_with_disability_number,field_with_disability_se,field_without_disability_number,field_without_disability_se
3664,r001,All fields,All fields,,,,,1,1008950,1450,95700,1450,913250,1675
3664,r002,All fields -> Science,All fields,Science,,,,2,761850,1425,75400,1225,686400,1525
3664,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,258550,850,23600,700,234950,1025
3664,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,21700,300,2250,175,19450,325
3664,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Agricultural sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Agricultural sciences,5,1400,50,150,50,1250,50
3664,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Animal sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Animal sciences,5,5300,150,500,100,4750,150
3664,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Food sciences and technology",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Food sciences and technology,5,4650,125,350,75,4350,150
3664,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Plant sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Plant sciences,5,7550,200,1000,125,6550,225
3664,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Soil sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Soil sciences,5,2800,100,200,50,2550,100
3664,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,,4,35350,375,2800,300,32550,475
3664,r011,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biochemistry",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biochemistry,5,29450,325,2250,300,27200,475
3664,r012,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biophysics,5,5900,150,550,100,5350,175
3664,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",,4,34850,325,3050,300,31850,425
3664,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,,4,27600,300,2150,250,25400,350
3664,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Immunology,5,9850,150,850,150,9000,175
3664,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Microbiological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Microbiological sciences,5,17700,250,1300,200,16400,300
3664,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,,4,10950,200,1350,150,9600,225
3664,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Fish, fisheries, wildlife and wildlands science and management",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Fish, fisheries, wildlife and wildlands science and management",5,2850,100,350,75,2450,100
3664,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Forestry",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Forestry,5,3250,100,400,100,2850,125
3664,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Natural resource conservation, research, management, and policy",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Natural resource conservation, research, management, and policy",5,4900,125,600,125,4300,150
3664,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,,4,9850,200,1200,125,8650,225
3664,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,,4,118200,550,10850,425,107400,700
3664,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biomathematics, bioinformatics, and computational biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biomathematics, bioinformatics, and computational biology",5,5550,100,450,75,5150,125
3664,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Botany and plant biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Botany and plant biology,5,8150,225,1100,150,7050,225
3664,r025,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Epidemiology, ecology, and population biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Epidemiology, ecology, and population biology",5,18400,225,1550,175,16850,275
3664,r026,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Genetics",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Genetics,5,9950,125,850,150,9100,200
3664,r027,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Neurobiology and neuroscience",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Neurobiology and neuroscience,5,17700,250,1200,175,16450,300
3664,r028,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Nutrition sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Nutrition sciences,5,5000,100,450,75,4550,125
3664,r029,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Pharmacology and toxicology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Pharmacology and toxicology,5,14850,175,1400,200,13450,250
3664,r030,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Physiology, pathology, and related sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Physiology, pathology, and related sciences",5,17950,250,1750,200,16250,275
3664,r031,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biological and biomedical sciences, general",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biological and biomedical sciences, general",5,14350,250,1300,200,13100,300
3664,r032,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biological and biomedical sciences, other",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biological and biomedical sciences, other",5,6250,100,800,125,5450,150
3664,r033,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,33650,375,2650,250,31000,425
3664,r034,All fields -> Science -> Computer and information sciences -> Computer science,All fields,Science,Computer and information sciences,Computer science,,4,28700,375,2100,250,26600,425
3664,r035,"All fields -> Science -> Computer and information sciences -> Information science, studies",All fields,Science,Computer and information sciences,"Information science, studies",,4,3050,75,400,75,2650,100
3664,r036,"All fields -> Science -> Computer and information sciences -> Computer and information sciences, other",All fields,Science,Computer and information sciences,"Computer and information sciences, other",,4,1900,50,150,50,1700,50
3664,r037,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,43800,375,4400,300,39400,450
3664,r038,All fields -> Science -> Mathematics and statistics -> Applied mathematics,All fields,Science,Mathematics and statistics,Applied mathematics,,4,9500,175,850,125,8650,200
