table_id,row_id,_b_survey_population_and_highest_degree_granted_b_full_path,_b_survey_population_and_highest_degree_granted_b_level_1,_b_survey_population_and_highest_degree_granted_b_level_2,_b_survey_population_and_highest_degree_granted_b_level_3,_b_survey_population_and_highest_degree_granted_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
10178,r001,All universities and colleges,All universities and colleges,,,1,97842057,87456,0.1
10178,r002,All universities and colleges -> Standard form institutions,All universities and colleges,Standard form institutions,,2,97680528,77556,0.1
10178,r003,All universities and colleges -> Standard form institutions -> Doctorate-granting institutions,All universities and colleges,Standard form institutions,Doctorate-granting institutions,3,96904532,7576,0.0
10178,r004,All universities and colleges -> Standard form institutions -> Nondoctorate-granting institutions,All universities and colleges,Standard form institutions,Nondoctorate-granting institutions,3,775996,69980,9.0
10178,r005,All universities and colleges -> Short form institutions,All universities and colleges,Short form institutions,,2,161529,9900,6.1
10178,r006,All universities and colleges -> Short form institutions -> Doctorate-granting institutions,All universities and colleges,Short form institutions,Doctorate-granting institutions,3,51070,3271,6.4
10178,r007,All universities and colleges -> Short form institutions -> Nondoctorate-granting institutions,All universities and colleges,Short form institutions,Nondoctorate-granting institutions,3,110459,6629,6.0
