table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_total_with_definite_plana,field_academe,field_industry_or_businessb,field_government,field_nonprofit_organization,field_other_or_unknownc
7568,r001,Doctorate recipients reporting annual salary,Doctorate recipients reporting annual salary,,,1,90000,68000,115000,88473,80000,73000
7568,r002,Doctorate recipients reporting annual salary -> Science and engineering,Doctorate recipients reporting annual salary,Science and engineering,,2,100000,70000,117000,88000,90000,66400
7568,r003,Doctorate recipients reporting annual salary -> Science and engineering -> Agricultural sciences and natural resources,Doctorate recipients reporting annual salary,Science and engineering,Agricultural sciences and natural resources,3,80000,68000,90000,74000,67000,60500
7568,r004,Doctorate recipients reporting annual salary -> Science and engineering -> Biological and biomedical sciences,Doctorate recipients reporting annual salary,Science and engineering,Biological and biomedical sciences,3,90000,60000,105250,80000,80000,50000
7568,r005,Doctorate recipients reporting annual salary -> Science and engineering -> Computer and information sciences,Doctorate recipients reporting annual salary,Science and engineering,Computer and information sciences,3,145000,95000,160000,115000,120000,120000
7568,r006,Doctorate recipients reporting annual salary -> Science and engineering -> Engineering,Doctorate recipients reporting annual salary,Science and engineering,Engineering,3,110000,87000,118000,95000,100104,102500
7568,r007,"Doctorate recipients reporting annual salary -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting annual salary,Science and engineering,"Geosciences, atmospheric, and ocean sciences",3,77000,55000,105000,75000,75000,55500
7568,r008,Doctorate recipients reporting annual salary -> Science and engineering -> Health sciences,Doctorate recipients reporting annual salary,Science and engineering,Health sciences,3,90000,80000,108000,91000,100000,74000
7568,r009,Doctorate recipients reporting annual salary -> Science and engineering -> Mathematics and statistics,Doctorate recipients reporting annual salary,Science and engineering,Mathematics and statistics,3,110000,65000,133000,103803,109000,50000
7568,r010,Doctorate recipients reporting annual salary -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting annual salary,Science and engineering,Multidisciplinary/ interdisciplinary sciences,3,113000,83000,134500,85000,97000,40000
7568,r011,Doctorate recipients reporting annual salary -> Science and engineering -> Physical sciences,Doctorate recipients reporting annual salary,Science and engineering,Physical sciences,3,100000,60000,110000,87000,90500,61634
7568,r012,Doctorate recipients reporting annual salary -> Science and engineering -> Psychology,Doctorate recipients reporting annual salary,Science and engineering,Psychology,3,70000,63000,90000,70000,70500,70000
7568,r013,Doctorate recipients reporting annual salary -> Science and engineering -> Social sciences,Doctorate recipients reporting annual salary,Science and engineering,Social sciences,3,80000,68500,120000,95087,84300,62775
7568,r014,Doctorate recipients reporting annual salary -> Non-science and engineering,Doctorate recipients reporting annual salary,Non-science and engineering,,2,69000,64000,85000,90000,70000,75000
7568,r015,Doctorate recipients reporting annual salary -> Non-science and engineering -> Business,Doctorate recipients reporting annual salary,Non-science and engineering,Business,3,125000,123000,130000,155000,77500,70000
7568,r016,Doctorate recipients reporting annual salary -> Non-science and engineering -> Education,Doctorate recipients reporting annual salary,Non-science and engineering,Education,3,70000,65000,82500,89000,79000,80000
7568,r017,Doctorate recipients reporting annual salary -> Non-science and engineering -> Humanities,Doctorate recipients reporting annual salary,Non-science and engineering,Humanities,3,55000,52259,57500,81000,60000,57375
7568,r018,Doctorate recipients reporting annual salary -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting annual salary,Non-science and engineering,Visual and performing arts,3,50000,50000,42500,49950,45000,56750
7568,r019,Doctorate recipients reporting annual salary -> Non-science and engineering -> Other non-science and engineering<sup>d</sup>,Doctorate recipients reporting annual salary,Non-science and engineering,Other non-science and engineering<sup>d</sup>,3,70000,65000,100000,89000,75000,60000
