table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_r_d_expenditures_passed_through_to_subrecipients_total,field_r_d_expenditures_passed_through_to_subrecipients_to_higher_education_subrecipients,field_r_d_expenditures_passed_through_to_subrecipients_to_businesses,field_r_d_expenditures_passed_through_to_subrecipients_to_nonprofit_organizations,field_r_d_expenditures_passed_through_to_subrecipients_to_other_subrecipients
3187,r001,"Total R&D, all institutions","Total R&D, all institutions",,,1,83496348,6708143,3728439,1207117,1182182,590405
3187,r002,"Total R&D, all institutions -> Doctorate","Total R&D, all institutions",Doctorate,,2,82812253,6679732,3711480,1204796,1176762,586694
3187,r003,"Total R&D, all institutions -> Nondoctorate","Total R&D, all institutions",Nondoctorate,,2,684095,28411,16959,2321,5420,3711
3187,r004,"Total R&D, all institutions -> Public","Total R&D, all institutions",Public,,2,54645841,4141323,2390845,793005,606316,351157
3187,r005,"Total R&D, all institutions -> Private","Total R&D, all institutions",Private,,2,28850507,2566820,1337594,414112,575866,239248
3187,r006,"Total R&D, all institutions -> Federally financed R&D, all institutions","Total R&D, all institutions","Federally financed R&D, all institutions",,2,44455265,5695008,3283593,960803,996237,454375
3187,r007,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Doctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Doctorate,3,44098197,5673506,3269144,959524,992370,452468
3187,r008,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Nondoctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Nondoctorate,3,357068,21502,14449,1279,3867,1907
3187,r009,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Public","Total R&D, all institutions","Federally financed R&D, all institutions",Public,3,27348977,3559992,2096863,671628,509221,282280
3187,r010,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Private","Total R&D, all institutions","Federally financed R&D, all institutions",Private,3,17106288,2135016,1186730,289175,487016,172095
