table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
7698,r001,United States<sup>a</sup>,United States<sup>a</sup>,,,1,673691209,298503344,339030831,5007428,12247549,15871174,3030883
7698,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,,2,17295499,2700032,14369750,138647,87070,0,0
7698,r003,"United States<sup>a</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>a</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,707371,524413,182958,0,0,0,0
7698,r004,"United States<sup>a</sup> -> Alabama -> Education, Department of",United States<sup>a</sup>,Alabama,"Education, Department of",3,12449000,225000,12224000,0,0,0,0
7698,r005,"United States<sup>a</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>a</sup>,Alabama,"Forensic Sciences, Department of",3,272635,0,272635,0,0,0,0
7698,r006,United States<sup>a</sup> -> Alabama -> Geological Survey,United States<sup>a</sup>,Alabama,Geological Survey,3,2690719,1060928,1504211,38510,87070,0,0
7698,r007,"United States<sup>a</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>a</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,1175774,889691,185946,100137,0,0,0
7698,r008,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,,2,13677498,6394346,5097774,2185378,0,0,0
7698,r009,"United States<sup>a</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>a</sup>,Alaska,"Environmental Conservation, Department of ",3,38918,13049,25869,0,0,0,0
7698,r010,"United States<sup>a</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>a</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,9086400,2149354,4751668,2185378,0,0,0
7698,r011,United States<sup>a</sup> -> Alaska -> Railroad Corporation,United States<sup>a</sup>,Alaska,Railroad Corporation,3,3999080,3789443,209637,0,0,0,0
7698,r012,"United States<sup>a</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>a</sup>,Alaska,"Transportation and Public Facilities, Department of",3,553100,442500,110600,0,0,0,0
7698,r013,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,,2,3522494,2549694,952253,0,20547,0,0
7698,r014,United States<sup>a</sup> -> Arizona -> Game and Fish Department,United States<sup>a</sup>,Arizona,Game and Fish Department,3,1205047,1184500,0,0,20547,0,0
7698,r015,"United States<sup>a</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>a</sup>,Arizona,"Juvenile Corrections, Department of ",3,610954,0,610954,0,0,0,0
7698,r016,"United States<sup>a</sup> -> Arizona -> Transportation, Department of",United States<sup>a</sup>,Arizona,"Transportation, Department of",3,1706493,1365194,341299,0,0,0,0
7698,r017,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,,2,170429,38919,131510,0,0,0,0
7698,r018,United States<sup>a</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>a</sup>,Arkansas,Natural Heritage Commission,3,145031,18601,126430,0,0,0,0
7698,r019,"United States<sup>a</sup> -> Arkansas -> Transportation, Department of",United States<sup>a</sup>,Arkansas,"Transportation, Department of",3,25398,20318,5080,0,0,0,0
7698,r020,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,,2,81309690,3696424,77406561,206705,0,0,0
7698,r021,United States<sup>a</sup> -> California -> Air Resources Board,United States<sup>a</sup>,California,Air Resources Board,3,9600011,0,9600011,0,0,0,0
7698,r022,"United States<sup>a</sup> -> California -> Conservation, Department of",United States<sup>a</sup>,California,"Conservation, Department of",3,502000,105000,397000,0,0,0,0
7698,r023,United States<sup>a</sup> -> California -> Energy Commission,United States<sup>a</sup>,California,Energy Commission,3,23000000,0,23000000,0,0,0,0
7698,r024,"United States<sup>a</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>a</sup>,California,"Environmental Health Hazard Assessment, Office of",3,16750976,0,16750976,0,0,0,0
7698,r025,"United States<sup>a</sup> -> California -> Motor Vehicles, Department of",United States<sup>a</sup>,California,"Motor Vehicles, Department of",3,1551423,0,1344718,206705,0,0,0
7698,r026,"United States<sup>a</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>a</sup>,California,"Pesticide Regulation, Department of ",3,9087241,0,9087241,0,0,0,0
7698,r027,"United States<sup>a</sup> -> California -> Public Health, Department of",United States<sup>a</sup>,California,"Public Health, Department of",3,337200,44000,293200,0,0,0,0
7698,r028,"United States<sup>a</sup> -> California -> Rehabilitation, Department of ",United States<sup>a</sup>,California,"Rehabilitation, Department of ",3,348771,348771,0,0,0,0,0
7698,r029,"United States<sup>a</sup> -> California -> Social Services, Department of ",United States<sup>a</sup>,California,"Social Services, Department of ",3,9498,0,9498,0,0,0,0
7698,r030,United States<sup>a</sup> -> California -> State Water Resources Control Board,United States<sup>a</sup>,California,State Water Resources Control Board,3,1106400,10000,1096400,0,0,0,0
7698,r031,"United States<sup>a</sup> -> California -> Toxic Substances Control, Department of",United States<sup>a</sup>,California,"Toxic Substances Control, Department of",3,1887600,0,1887600,0,0,0,0
7698,r032,"United States<sup>a</sup> -> California -> Transportation, Department of",United States<sup>a</sup>,California,"Transportation, Department of",3,15762848,3188048,12574800,0,0,0,0
7698,r033,"United States<sup>a</sup> -> California -> Water Resources, Department of",United States<sup>a</sup>,California,"Water Resources, Department of",3,1365722,605,1365117,0,0,0,0
7698,r034,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,,2,11957421,3646854,8260965,0,48004,1598,0
7698,r035,"United States<sup>a</sup> -> Colorado -> Agriculture, Department of",United States<sup>a</sup>,Colorado,"Agriculture, Department of",3,424585,418882,5703,0,0,0,0
7698,r036,"United States<sup>a</sup> -> Colorado -> Natural Resources, Department of",United States<sup>a</sup>,Colorado,"Natural Resources, Department of",3,7505755,2441788,5014365,0,48004,1598,0
7698,r037,"United States<sup>a</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>a</sup>,Colorado,"Public Health and Environment, Department of",3,2384904,43144,2341760,0,0,0,0
7698,r038,"United States<sup>a</sup> -> Colorado -> Public Safety, Department of; Division of Criminal Justice",United States<sup>a</sup>,Colorado,"Public Safety, Department of; Division of Criminal Justice",3,1020036,120899,899137,0,0,0,0
7698,r039,"United States<sup>a</sup> -> Colorado -> Transportation, Department of",United States<sup>a</sup>,Colorado,"Transportation, Department of",3,622141,622141,0,0,0,0,0
7698,r040,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,,2,27217883,11631280,15586603,0,0,0,0
7698,r041,United States<sup>a</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>a</sup>,Connecticut,Agricultural Experiment Station,3,13302928,5799104,7503824,0,0,0,0
7698,r042,"United States<sup>a</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>a</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,6638597,5089290,1549307,0,0,0,0
7698,r043,"United States<sup>a</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>a</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,6966358,536219,6430139,0,0,0,0
7698,r044,"United States<sup>a</sup> -> Connecticut -> Transportation, Department of",United States<sup>a</sup>,Connecticut,"Transportation, Department of",3,310000,206667,103333,0,0,0,0
