table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients
1211,r001,All institutions,All institutions,,,1,339
1211,r002,All institutions -> Foreign or unknown institutions,All institutions,Foreign or unknown institutions,,2,31
1211,r003,All institutions -> Top 7 U.S. institutions,All institutions,Top 7 U.S. institutions,,2,56
1211,r004,"All institutions -> Top 7 U.S. institutions -> U. Oklahoma, Norman",All institutions,Top 7 U.S. institutions,"U. Oklahoma, Norman",3,12
1211,r005,All institutions -> Top 7 U.S. institutions -> U. Arizona,All institutions,Top 7 U.S. institutions,U. Arizona,3,10
1211,r006,"All institutions -> Top 7 U.S. institutions -> Oklahoma State U., Stillwater",All institutions,Top 7 U.S. institutions,"Oklahoma State U., Stillwater",3,9
1211,r007,"All institutions -> Top 7 U.S. institutions -> U. New Mexico, Albuquerque",All institutions,Top 7 U.S. institutions,"U. New Mexico, Albuquerque",3,7
1211,r008,All institutions -> Top 7 U.S. institutions -> U. North Dakota,All institutions,Top 7 U.S. institutions,U. North Dakota,3,7
1211,r009,"All institutions -> Top 7 U.S. institutions -> U. Montana, Missoula",All institutions,Top 7 U.S. institutions,"U. Montana, Missoula",3,6
1211,r010,All institutions -> Top 7 U.S. institutions -> Northeastern State U.,All institutions,Top 7 U.S. institutions,Northeastern State U.,3,5
1211,r011,All institutions -> Other U.S. institutions,All institutions,Other U.S. institutions,,2,252
