table_id,row_id,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_both_sexes,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_both_sexes,field_bachelor_s_female,field_bachelor_s_male,field_master_s_both_sexes,field_master_s_female,field_master_s_male,field_doctorate_both_sexes,field_doctorate_female,field_doctorate_male
1266,r001,All occupations,All occupations,,,,,1,80000,66000,90000,70000,58000,80000,85000,70000,100000,100000,88000,108000
1266,r002,All occupations -> 29 and younger,All occupations,29 and younger,,,,2,51000,47000,59000,50000,44000,55000,56000,50000,65000,65000,62000,65000
1266,r003,All occupations -> 30&#8211;39,All occupations,30&#8211;39,,,,2,75000,66000,82000,66000,59000,75000,80000,70000,91000,84000,76000,87000
1266,r004,All occupations -> 40&#8211;49,All occupations,40&#8211;49,,,,2,90000,74000,105000,82000,67000,96000,94000,75000,115000,100000,95000,107000
1266,r005,All occupations -> 50&#8211;75,All occupations,50&#8211;75,,,,2,91000,75000,103000,80000,70000,93000,95000,75000,108000,115000,95000,125000
1266,r006,All occupations -> S&E occupations<sup>b</sup>,All occupations,S&E occupations<sup>b</sup>,,,,2,90000,78000,95000,85000,73000,90000,98000,81000,105000,99000,85000,103000
1266,r007,All occupations -> S&E occupations<sup>b</sup> -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,29 and younger,,,3,64000,58000,66000,61000,58000,64000,73000,68000,75000,59000,50000,65000
1266,r008,All occupations -> S&E occupations<sup>b</sup> -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,30&#8211;39,,,3,86000,75000,90000,84000,74000,88000,91000,80000,99000,80000,75000,85000
1266,r009,All occupations -> S&E occupations<sup>b</sup> -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,40&#8211;49,,,3,100000,90000,105000,99000,85000,100000,109000,94000,115000,100000,91000,104000
1266,r010,All occupations -> S&E occupations<sup>b</sup> -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,50&#8211;75,,,3,104000,86000,110000,100000,80000,103000,109000,90000,118000,115000,98000,120000
1266,r011,All occupations -> S&E occupations<sup>b</sup> -> Science occupations,All occupations,S&E occupations<sup>b</sup>,Science occupations,,,3,88000,75000,95000,82000,70000,90000,95000,80000,104000,95000,82000,100000
1266,r012,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,29 and younger,,4,60000,57000,62000,56000,54000,58000,72000,69000,75000,59000,49000,65000
1266,r013,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,30&#8211;39,,4,82000,70000,90000,80000,70000,88000,90000,74000,100000,75000,72000,79000
1266,r014,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,40&#8211;49,,4,100000,89000,103000,96000,85000,100000,107000,92000,115000,95000,91000,100000
1266,r015,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,50&#8211;75,,4,100000,82000,107000,94000,79000,100000,102000,85000,115000,110000,94000,116000
1266,r016,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,,4,60000,56000,61000,48000,45000,52000,60000,60000,64000,80000,78000,83000
1266,r017,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,29 and younger,5,38000,35000,43000,37000,34000,44000,34000,30000,39000,50000,49000,50000
1266,r018,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,30&#8211;39,5,55000,55000,55000,50000,49000,52000,54000,55000,48000,60000,59000,57000
1266,r019,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,40&#8211;49,5,88000,89000,87000,72000,73000,71000,84000,83000,85000,91000,91000,90000
1266,r020,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,50&#8211;75,5,95000,85000,95000,75000,87000,70000,84000,72000,89000,106000,96000,110000
1266,r021,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,4,96000,84000,100000,90000,80000,95000,107000,90000,113000,132000,109000,139000
1266,r022,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,29 and younger,5,75000,80000,75000,71000,75000,70000,84000,83000,84000,117000,,117000
1266,r023,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,30&#8211;39,5,95000,81000,97000,89000,75000,92000,102000,90000,105000,123000,102000,138000
1266,r024,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,40&#8211;49,5,105000,93000,109000,98000,86000,101000,120000,101000,120000,138000,109000,148000
1266,r025,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,50&#8211;75,5,100000,82000,110000,95000,80000,101000,113000,85000,120000,136000,117000,139000
1266,r026,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,4,73000,70000,81000,70000,60000,72000,79000,84000,75000,96000,79000,100000
1266,r027,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,29 and younger,5,58000,57000,62000,57000,54000,55000,68000,71000,63000,69000,,81000
1266,r028,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,30&#8211;39,5,71000,70000,71000,70000,S,70000,71000,89000,70000,87000,71000,99000
1266,r029,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,40&#8211;49,5,93000,70000,99000,107000,S,111000,80000,60000,96000,95000,78000,98000
1266,r030,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,50&#8211;75,5,98000,101000,97000,S,S,72000,99000,121000,91000,106000,85000,112000
1266,r031,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,4,75000,62000,80000,60000,58000,60000,73000,60000,77000,100000,80000,107000
1266,r032,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,29 and younger,5,36000,41000,33000,33000,33000,30000,41000,46000,33000,57000,S,59000
1266,r033,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,30&#8211;39,5,68000,70000,67000,60000,58000,60000,74000,75000,71000,84000,70000,86000
1266,r034,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,40&#8211;49,5,81000,76000,81000,80000,63000,80000,88000,91000,81000,99000,80000,100000
1266,r035,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,50&#8211;75,5,100000,72000,105000,76000,68000,79000,85000,S,94000,119000,103000,119000
1266,r036,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,4,72000,71000,79000,57000,55000,59000,70000,70000,65000,86000,78000,90000
1266,r037,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,29 and younger,5,39000,39000,S,36000,35000,S,30000,34000,S,57000,40000,
1266,r038,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,30&#8211;39,5,70000,70000,69000,55000,55000,,68000,70000,62000,73000,73000,73000
1266,r039,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,40&#8211;49,5,80000,80000,82000,65000,58000,,78000,79000,64000,90000,91000,87000
1266,r040,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,50&#8211;75,5,89000,83000,92000,,,,79000,80000,76000,99000,85000,103000
1266,r041,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,4,69000,66000,70000,40000,44000,S,77000,71000,94000,85000,80000,94000
1266,r042,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,29 and younger,5,S,38000,S,S,S,S,58000,61000,55000,0.05,,0.05
1266,r043,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,30&#8211;39,5,59000,57000,70000,41000,S,S,70000,55000,115000,71000,70000,72000
1266,r044,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,40&#8211;49,5,84000,81000,89000,74000,S,S,86000,84000,111000,86000,84000,89000
1266,r045,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,50&#8211;75,5,96000,84000,103000,66000,39000,104000,96000,92000,109000,102000,89000,114000
