table_id,row_id,employment_sector_and_field_of_study_full_path,employment_sector_and_field_of_study_level_1,employment_sector_and_field_of_study_level_2,employment_sector_and_field_of_study_level_3,employment_sector_and_field_of_study_level_4,employment_sector_and_field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_male_number,field_male_se,field_female_number,field_female_se
3678,r001,All sectors,All sectors,,,,1,857200,1975,546050,1750,311200,1200
3678,r002,All sectors -> Science,All sectors,Science,,,2,640300,1900,383900,1700,256400,1200
3678,r003,"All sectors -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Science,"Biological, agricultural, and environmental life sciences",,3,220700,1100,124550,1025,96200,900
3678,r004,All sectors -> Science -> Computer and information sciences,All sectors,Science,Computer and information sciences,,3,31100,400,25500,425,5600,300
3678,r005,All sectors -> Science -> Mathematics and statistics,All sectors,Science,Mathematics and statistics,,3,36650,450,27350,450,9300,325
3678,r006,"All sectors -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,133750,950,101300,925,32500,525
3678,r007,All sectors -> Science -> Psychology,All sectors,Science,Psychology,,3,115350,825,45600,800,69700,775
3678,r008,All sectors -> Science -> Social sciences,All sectors,Science,Social sciences,,3,102700,900,59600,825,43100,575
3678,r009,All sectors -> Engineering,All sectors,Engineering,,,2,176700,1175,147250,1200,29450,575
3678,r010,All sectors -> Health,All sectors,Health,,,2,40200,475,14900,325,25300,400
3678,r011,All sectors -> 4-year educational institution<sup>a</sup>,All sectors,4-year educational institution<sup>a</sup>,,,2,344350,2325,211850,2075,132500,1450
3678,r012,All sectors -> 4-year educational institution<sup>a</sup> -> Science,All sectors,4-year educational institution<sup>a</sup>,Science,,3,277850,1975,168250,1725,109600,1225
3678,r013,"All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,4-year educational institution<sup>a</sup>,Science,"Biological, agricultural, and environmental life sciences",4,96250,1175,55650,1025,40600,775
3678,r014,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Computer and information sciences,All sectors,4-year educational institution<sup>a</sup>,Science,Computer and information sciences,4,10750,475,8350,450,2400,225
3678,r015,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Mathematics and statistics,All sectors,4-year educational institution<sup>a</sup>,Science,Mathematics and statistics,4,20200,525,15050,475,5150,275
3678,r016,"All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,4-year educational institution<sup>a</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,47350,850,35650,775,11700,375
3678,r017,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Psychology,All sectors,4-year educational institution<sup>a</sup>,Science,Psychology,4,39150,775,15800,575,23300,650
3678,r018,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Social sciences,All sectors,4-year educational institution<sup>a</sup>,Science,Social sciences,4,64150,975,37750,800,26400,625
3678,r019,All sectors -> 4-year educational institution<sup>a</sup> -> Engineering,All sectors,4-year educational institution<sup>a</sup>,Engineering,,3,45250,925,36750,950,8550,400
3678,r020,All sectors -> 4-year educational institution<sup>a</sup> -> Health,All sectors,4-year educational institution<sup>a</sup>,Health,,3,21250,550,6850,325,14350,475
