table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_5_9a,field_company_size_domestic_employees_10_19,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
747,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['59,144', '&nbsp;']","['1,016', 'i']","['1,246', 'i']","['2,316', 'i']","['2,706', '&nbsp;']","['2,566', '&nbsp;']","['2,185', '&nbsp;']","['2,023', 'i']","['9,830', '&nbsp;']","['4,178', '&nbsp;']","['10,878', '&nbsp;']","['20,201', '&nbsp;']"
747,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['40,340', '&nbsp;']","['206', 'i']","['404', 'i']","['690', 'i']","['663', '&nbsp;']","['928', '&nbsp;']","['1,314', '&nbsp;']","['870', '&nbsp;']","['7,410', '&nbsp;']","['3,092', '&nbsp;']","['7,941', '&nbsp;']","['16,823', 'i']"
747,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['194', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['*', 'i']","['3', 'i']","['56', '&nbsp;']","['5', '&nbsp;']","['2', 'i']","['121', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['6', '&nbsp;']"
747,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['117', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['*', 'i']","['1', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
747,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['32', '&nbsp;']","['*', 'i']","['*', 'i']","['21', '&nbsp;']","['3', '&nbsp;']","['1', 'i']","['4', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
747,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['8', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['3', 'i']","['*', 'i']","['*', 'i']","['4', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
747,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['3', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['D', '&nbsp;']","['1', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
747,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['7', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['4', 'i']","['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
747,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['4', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
747,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,427', '&nbsp;']","['D', '&nbsp;']","['255', 'i']","['251', 'i']","['331', '&nbsp;']","['253', '&nbsp;']","['554', '&nbsp;']","['300', 'i']","['3,456', '&nbsp;']","['1,910', '&nbsp;']","['1,954', '&nbsp;']","['D', '&nbsp;']"
747,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['467', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['30', '&nbsp;']","['D', '&nbsp;']","['231', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']","['13', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
747,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, fibers, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, fibers, and artificial synthetic fibers and filaments",,4,3252,"['29', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']"
747,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemical",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemical",,4,3253,"['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
747,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['8,432', '&nbsp;']","['D', '&nbsp;']","['223', 'i']","['224', 'i']","['298', '&nbsp;']","['233', '&nbsp;']","['322', 'i']","['294', 'i']","['2,990', '&nbsp;']","['1,898', '&nbsp;']","['1,791', '&nbsp;']","['D', '&nbsp;']"
747,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['115', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
