table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_patenting_companies,field_patents_pending,field_patents_owned
2659,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    1,102,633 ', '&nbsp;']","['    32,598 ', '&nbsp;']","['    287,821 ', '&nbsp;']","['    930,410 ', '&nbsp;']"
2659,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    81,918 ', '&nbsp;']","['    12,467 ', '&nbsp;']","['    92,062 ', '&nbsp;']","['    423,895 ', '&nbsp;']"
2659,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    6,427 ', '&nbsp;']","['    420 ', '&nbsp;']","['    1,698 ', '&nbsp;']","['    6,361 ', '&nbsp;']"
2659,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    2,069 ', '&nbsp;']","['    83 ', '&nbsp;']","['    139 ', '&nbsp;']","['    1,661 ', '&nbsp;']"
2659,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    3,117 ', '&nbsp;']","['    391 ', '&nbsp;']","['    1,617 ', '&nbsp;']","['    3,286 ', '&nbsp;']"
2659,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    4,587 ', '&nbsp;']","['    225 ', '&nbsp;']","['    369 ', '&nbsp;']","['    2,204 ', '&nbsp;']"
2659,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    1,414 ', '&nbsp;']","['    163 ', '&nbsp;']","['    2,588 ', '&nbsp;']","['    8,632 ', '&nbsp;']"
2659,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    5,338 ', '&nbsp;']","['    194 ', '&nbsp;']","['    304 ', '&nbsp;']","['    6,343 ', '&nbsp;']"
2659,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    288 ', '&nbsp;']","['    63 ', '&nbsp;']","['    325 ', '&nbsp;']","['    1,507 ', '&nbsp;']"
2659,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    3,396 ', '&nbsp;']","['    941 ', '&nbsp;']","['    7,499 ', '&nbsp;']","['    42,426 ', '&nbsp;']"
2659,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['    199 ', '&nbsp;']","['    52 ', '&nbsp;']","['    645 ', 'r']","['    1,688 ', 'i']"
2659,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['    594 ', '&nbsp;']","['    205 ', '&nbsp;']","['    1,381 ', '&nbsp;']","['    6,201 ', '&nbsp;']"
2659,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['    617 ', '&nbsp;']","['    117 ', '&nbsp;']","['    937 ', '&nbsp;']","['    2,549 ', '&nbsp;']"
2659,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['    1,986 ', '&nbsp;']","['    566 ', '&nbsp;']","['    4,536 ', '&nbsp;']","['    31,989 ', '&nbsp;']"
2659,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    4,164 ', '&nbsp;']","['    964 ', '&nbsp;']","['    3,931 ', '&nbsp;']","['    19,246 ', '&nbsp;']"
2659,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    3,502 ', '&nbsp;']","['    287 ', '&nbsp;']","['    1,715 ', '&nbsp;']","['    9,730 ', '&nbsp;']"
