table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10832,r001,All agencies,All agencies,,,,,1,96614768,50128755,4248099,37525513,3109857,1338144,62184,202216
10832,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
10832,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,275287,241717,0,0,30473,2477,9,610
10832,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,165057,139188,0,0,23030,2220,9,610
10832,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,21194,14039,0,0,7155,0,0,0
10832,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,83850,83850,0,0,0,0,0,0
10832,r007,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,4944,4639,0,0,47,257,0,0
10832,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,241,0,0,0,241,0,0,0
10832,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,321077,161317,1230,49155,94591,14150,630,3
10832,r010,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,51488,51488,0,0,0,0,0,0
10832,r011,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,82083,12175,0,32557,24248,13104,0,0
10832,r012,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,187505,97654,1230,16599,70343,1047,630,3
10832,r013,"All agencies -> Departments -> Department of Defense, total experimental development",All agencies,Departments,"Department of Defense, total experimental development",,,3,62185981,22902790,2156475,33631063,2143238,1166514,8210,177691
10832,r014,"All agencies -> Departments -> Department of Defense, total experimental development -> Defense Advanced Research Projects Agency",All agencies,Departments,"Department of Defense, total experimental development",Defense Advanced Research Projects Agency,,4,1810599,200809,55533,1432017,107476,10547,0,4217
10832,r015,"All agencies -> Departments -> Department of Defense, total experimental development -> Defense Health Agency",All agencies,Departments,"Department of Defense, total experimental development",Defense Health Agency,,4,1990983,124413,7660,405137,831735,564703,0,57335
10832,r016,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of the Air Force",All agencies,Departments,"Department of Defense, total experimental development",Department of the Air Force,,4,10972525,5097039,516803,5069548,178763,110372,0,0
10832,r017,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of the Army",All agencies,Departments,"Department of Defense, total experimental development",Department of the Army,,4,10255864,3924076,114529,5708750,188654,287555,2,32299
10832,r018,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of the Navy",All agencies,Departments,"Department of Defense, total experimental development",Department of the Navy,,4,15749004,6885212,191531,8061065,459451,132304,195,19248
10832,r019,"All agencies -> Departments -> Department of Defense, total experimental development -> Space Force",All agencies,Departments,"Department of Defense, total experimental development",Space Force,,4,4775577,308800,263868,4151493,30799,14508,6107,0
10832,r020,"All agencies -> Departments -> Department of Defense, total experimental development -> Other defense agencies",All agencies,Departments,"Department of Defense, total experimental development",Other defense agencies,,4,16631430,6362442,1006551,8803053,346359,46526,1906,64592
10832,r021,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",,4,10138394,3427616,591558,3873681,1302518,807159,1879,133984
10832,r022,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Defense Advanced Research Projects Agency",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Defense Advanced Research Projects Agency,5,1574470,127900,55533,1269296,107464,10060,0,4217
10832,r023,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Defense Health Agency",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Defense Health Agency,5,1723906,95918,6795,212453,818090,533315,0,57335
10832,r024,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Department of the Air Force",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Department of the Air Force,5,951735,814298,1730,60243,30046,45419,0,0
10832,r025,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Department of the Army",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Department of the Army,5,1821172,669549,19739,920985,103332,97884,0,9681
10832,r026,"All agencies -> Departments -> Department of Defense, total experimental development -> Department of Defense, advanced technology -> Department of the Navy",All agencies,Departments,"Department of Defense, total experimental development","Department of Defense, advanced technology",Department of the Navy,5,903941,310742,8529,394735,100771,88082,0,1083
