table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
6395,r001,All agencies surveyed,All agencies surveyed,,,,,1,3377909.6,123050.8,14567.6,228631.9,9796.7,242088.6,99032.7,264222.2,2396519.1
6395,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,,2,,,,,,,,,
6395,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,,3,94688.3,0.0,0.0,65.0,0.0,0.0,0.0,0.0,94623.3
6395,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,,4,1268.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.4
6395,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,,4,1522.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,1457.0
6395,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,91897.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91897.8
6395,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,,3,620464.2,95079.3,8006.0,11524.7,4019.9,107412.0,21372.8,71679.4,301370.0
6395,r008,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,73401.5,10401.1,115.1,991.2,0.0,12781.8,0.0,4372.5,44739.7
6395,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,,4,285261.3,57260.6,7021.5,5838.4,0.0,38387.5,5101.9,6428.9,165222.5
6395,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,,4,16507.9,0.0,0.0,0.0,0.0,5664.6,5137.8,5705.5,0.0
6395,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,,4,203477.7,23088.3,0.0,730.9,0.0,39115.8,2986.7,48599.9,88956.1
6395,r012,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,,4,41815.9,4329.3,869.4,3964.3,4019.9,11462.2,8146.4,6572.7,2451.7
6395,r013,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,,3,532700.7,0.0,0.0,140110.8,1001.7,13593.8,9507.0,14616.5,353870.9
6395,r014,All agencies surveyed -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies surveyed,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,44852.1,0.0,0.0,16503.0,0.0,4301.3,9507.0,14516.5,24.4
6395,r015,All agencies surveyed -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies surveyed,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,9292.5,0.0,0.0,0.0,0.0,9292.5,0.0,0.0,0.0
6395,r016,All agencies surveyed -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies surveyed,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,310154.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310154.7
6395,r017,All agencies surveyed -> Departments -> Department of Energy -> Fossil Energy,All agencies surveyed,Departments,Department of Energy,Fossil Energy,,4,124609.5,0.0,0.0,123607.8,1001.7,0.0,0.0,0.0,0.0
6395,r018,All agencies surveyed -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies surveyed,Departments,Department of Energy,National Nuclear Security Administration,,4,275.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,175.0
