table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_all_r_d_expenditures,field_r_d_field_agricultural_sciences_and_natural_resources_and_conservation,field_r_d_field_biological_biomedical_and_health_sciences,field_r_d_field_computer_and_information_sciences,field_r_d_field_geosciences_atmospheric_sciences_and_ocean_sciences,field_r_d_field_mathematics_and_statistics,field_r_d_field_physical_sciences,field_r_d_field_psychology,field_r_d_field_social_sciences,field_r_d_field_engineering,field_r_d_field_other_fields
12490,r001,All agencies,All agencies,,1,"['34,497', '']","['1,076', 'i']","['6,705', '']","['1,562', '']","['1,799', '']","['247', '']","['2,435', '']","['24', '']","['273', '']","['17,624', '']","['2,753', 'i']"
12490,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,"['1,685', '']","['875', 'i']","['476', 'i']","['12', '']","['5', 'i']","['5', '']","['87', 'i']","['0', '']","['85', '']","['12', 'i']","['129', 'i']"
12490,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,"['1,374', '']","['0', '']","['29', '']","['201', '']","['558', '']","['16', '']","['229', '']","['0', '']","['91', '']","['231', '']","['19', '']"
12490,r004,All agencies -> Department of Defense,All agencies,Department of Defense,2,"['20,864', '']","['61', '']","['823', '']","['1,304', '']","['124', '']","['211', '']","['917', '']","['13', '']","['40', '']","['14,852', '']","['2,520', 'i']"
12490,r005,All agencies -> Department of Energy<sup>a</sup>,All agencies,Department of Energy<sup>a</sup>,2,"['100', '']","['0', '']","['0', 'i']","['0', 'i']","['10', 'i']","['0', '']","['16', 'i']","['0', '']","['0', 'i']","['75', 'i']","['0', '']"
12490,r006,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,"['3,360', '']","['63', '']","['3,192', '']","['33', '']","['0', '']","['5', '']","['9', '']","['2', '']","['11', '']","['41', '']","['4', '']"
12490,r007,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,"['39', '']","['2', '']","['0', '']","['1', 'i']","['0', '']","['4', '']","['6', '']","['1', '']","['0', '']","['26', '']","['0', '']"
12490,r008,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,"['1,171', '']","['33', '']","['387', '']","['2', '']","['712', '']","['0', '']","['2', '']","['0', '']","['21', '']","['13', '']","['1', '']"
12490,r009,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,"['130', '']","['0', '']","['16', '']","['5', '']","['11', '']","['4', '']","['0', '']","['8', '']","['0', '']","['75', '']","['10', '']"
12490,r010,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,"['1,529', '']","['0', '']","['1,529', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12490,r011,All agencies -> Environmental Protection Agency,All agencies,Environmental Protection Agency,2,"['292', '']","['33', '']","['83', '']","['4', '']","['121', '']","['2', '']","['7', '']","['0', '']","['2', '']","['41', '']","['0', '']"
12490,r012,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,"['3,765', '']","['0', '']","['119', '']","['0', '']","['240', '']","['0', '']","['1,126', '']","['0', '']","['0', '']","['2,221', '']","['59', '']"
12490,r013,All agencies -> Other agencies,All agencies,Other agencies,2,"['188', 'i']","['10', 'i']","['50', 'i']","['0', 'i']","['20', 'i']","['0', 'i']","['34', 'i']","['0', 'i']","['22', 'i']","['38', 'i']","['11', 'i']"
