table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
12537,r001,United States<sup>a</sup>,United States<sup>a</sup>,,,1,741613066,330196996,374463127,7611901,9340269,16180534,3820239
12537,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,,2,8885851,5362860,2983621,3570,49726,0,486074
12537,r003,"United States<sup>a</sup> -> Alabama -> Education, Department of",United States<sup>a</sup>,Alabama,"Education, Department of",3,989326,793288,196038,0,0,0,0
12537,r004,"United States<sup>a</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>a</sup>,Alabama,"Forensic Sciences, Department of",3,231757,0,231757,0,0,0,0
12537,r005,United States<sup>a</sup> -> Alabama -> Geological Survey,United States<sup>a</sup>,Alabama,Geological Survey,3,2971380,1142154,1775930,3570,49726,0,0
12537,r006,"United States<sup>a</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>a</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3913492,3427418,0,0,0,0,486074
12537,r007,"United States<sup>a</sup> -> Alabama -> Transportation, Department of",United States<sup>a</sup>,Alabama,"Transportation, Department of",3,779896,0,779896,0,0,0,0
12537,r008,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,,2,14118929,4446385,6611844,3060700,0,0,0
12537,r009,"United States<sup>a</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>a</sup>,Alaska,"Environmental Conservation, Department of ",3,137502,72383,65119,0,0,0,0
12537,r010,"United States<sup>a</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>a</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,12212300,2727100,6424500,3060700,0,0,0
12537,r011,United States<sup>a</sup> -> Alaska -> Railroad Corporation,United States<sup>a</sup>,Alaska,Railroad Corporation,3,1221457,1208766,12691,0,0,0,0
12537,r012,"United States<sup>a</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>a</sup>,Alaska,"Transportation and Public Facilities, Department of",3,547670,438136,109534,0,0,0,0
12537,r013,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,,2,2901013,1833935,1067078,0,0,0,0
12537,r014,United States<sup>a</sup> -> Arizona -> Game and Fish Department,United States<sup>a</sup>,Arizona,Game and Fish Department,3,1299872,1033022,266850,0,0,0,0
12537,r015,"United States<sup>a</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>a</sup>,Arizona,"Juvenile Corrections, Department of ",3,600000,0,600000,0,0,0,0
12537,r016,"United States<sup>a</sup> -> Arizona -> Transportation, Department of",United States<sup>a</sup>,Arizona,"Transportation, Department of",3,1001141,800913,200228,0,0,0,0
12537,r017,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,,2,391998,155472,236526,0,0,0,0
12537,r018,United States<sup>a</sup> -> Arkansas -> Game and Fish Commission,United States<sup>a</sup>,Arkansas,Game and Fish Commission,3,248065,105574,142491,0,0,0,0
12537,r019,United States<sup>a</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>a</sup>,Arkansas,Natural Heritage Commission,3,102653,16874,85779,0,0,0,0
12537,r020,"United States<sup>a</sup> -> Arkansas -> Transportation, Department of",United States<sup>a</sup>,Arkansas,"Transportation, Department of",3,41280,33024,8256,0,0,0,0
12537,r021,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,,2,97801248,6452601,91230650,117997,0,0,0
12537,r022,United States<sup>a</sup> -> California -> Air Resources Board,United States<sup>a</sup>,California,Air Resources Board,3,10629196,0,10629196,0,0,0,0
12537,r023,"United States<sup>a</sup> -> California -> Conservation, Department of",United States<sup>a</sup>,California,"Conservation, Department of",3,1166321,459600,706721,0,0,0,0
12537,r024,United States<sup>a</sup> -> California -> Emergency Services Governor's Office,United States<sup>a</sup>,California,Emergency Services Governor's Office,3,120000,0,120000,0,0,0,0
12537,r025,United States<sup>a</sup> -> California -> Energy Commission,United States<sup>a</sup>,California,Energy Commission,3,36001202,0,36001202,0,0,0,0
12537,r026,"United States<sup>a</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>a</sup>,California,"Environmental Health Hazard Assessment, Office of",3,18194997,0,18194997,0,0,0,0
12537,r027,"United States<sup>a</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>a</sup>,California,"Forestry and Fire Protection, Department of",3,2600000,0,2600000,0,0,0,0
12537,r028,"United States<sup>a</sup> -> California -> Housing and Community Development, Department of",United States<sup>a</sup>,California,"Housing and Community Development, Department of",3,79000,0,79000,0,0,0,0
12537,r029,"United States<sup>a</sup> -> California -> Motor Vehicles, Department of",United States<sup>a</sup>,California,"Motor Vehicles, Department of",3,1696942,0,1578945,117997,0,0,0
12537,r030,"United States<sup>a</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>a</sup>,California,"Pesticide Regulation, Department of ",3,13757992,0,13757992,0,0,0,0
12537,r031,"United States<sup>a</sup> -> California -> Toxic Substances Control, Department of",United States<sup>a</sup>,California,"Toxic Substances Control, Department of",3,221058,0,221058,0,0,0,0
12537,r032,"United States<sup>a</sup> -> California -> Transportation, Department of",United States<sup>a</sup>,California,"Transportation, Department of",3,13234540,5993001,7241539,0,0,0,0
12537,r033,"United States<sup>a</sup> -> California -> Water Resources, Department of",United States<sup>a</sup>,California,"Water Resources, Department of",3,100000,0,100000,0,0,0,0
12537,r034,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,,2,10548105,2677246,7856742,0,0,14117,0
12537,r035,"United States<sup>a</sup> -> Colorado -> Agriculture, Department of",United States<sup>a</sup>,Colorado,"Agriculture, Department of",3,337677,337677,0,0,0,0,0
12537,r036,"United States<sup>a</sup> -> Colorado -> Natural Resources, Department of",United States<sup>a</sup>,Colorado,"Natural Resources, Department of",3,6826610,1598311,5214182,0,0,14117,0
12537,r037,"United States<sup>a</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>a</sup>,Colorado,"Public Health and Environment, Department of",3,2642560,0,2642560,0,0,0,0
12537,r038,"United States<sup>a</sup> -> Colorado -> Transportation, Department of",United States<sup>a</sup>,Colorado,"Transportation, Department of",3,741258,741258,0,0,0,0,0
12537,r039,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,,2,29335244,12815756,16519488,0,0,0,0
12537,r040,United States<sup>a</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>a</sup>,Connecticut,Agricultural Experiment Station,3,14165952,6197219,7968733,0,0,0,0
12537,r041,"United States<sup>a</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>a</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,7188455,5632585,1555870,0,0,0,0
12537,r042,"United States<sup>a</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>a</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,7079816,578179,6501637,0,0,0,0
12537,r043,"United States<sup>a</sup> -> Connecticut -> Social Services, Department of",United States<sup>a</sup>,Connecticut,"Social Services, Department of",3,391305,0,391305,0,0,0,0
12537,r044,"United States<sup>a</sup> -> Connecticut -> Transportation, Department of",United States<sup>a</sup>,Connecticut,"Transportation, Department of",3,509716,407773,101943,0,0,0,0
12537,r045,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,,2,1600464,482103,1118361,0,0,0,0
12537,r046,United States<sup>a</sup> -> Delaware -> Geological Survey,United States<sup>a</sup>,Delaware,Geological Survey,3,1600464,482103,1118361,0,0,0,0
12537,r047,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,,2,7041016,5922231,1118785,0,0,0,0
