table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent
8314,r001,All graduate students,All graduate students,,,,1,543823,82588,15.2,212869,39.1,19015,3.5,3581,0.7,225770,41.5
8314,r002,All graduate students -> Science,All graduate students,Science,,,2,366207,52801,14.4,153947,42.0,10877,3.0,1811,0.5,146771,40.1
8314,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,7754,1755,22.6,3744,48.3,791,10.2,64,0.8,1400,18.1
8314,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,82218,20832,25.3,36255,44.1,3519,4.3,375,0.5,21237,25.8
8314,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,75637,6180,8.2,19540,25.8,1510,2.0,356,0.5,48051,63.5
8314,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,9863,2651,26.9,5270,53.4,503,5.1,98,1.0,1341,13.6
8314,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,26522,1605,6.1,12787,48.2,338,1.3,105,0.4,11687,44.1
8314,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,9650,760,7.9,3224,33.4,228,2.4,37,0.4,5401,56.0
8314,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,9476,1531,16.2,3850,40.6,458,4.8,57,0.6,3580,37.8
8314,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,38847,11216,28.9,22660,58.3,1540,4.0,245,0.6,3186,8.2
8314,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,47699,3033,6.4,15047,31.5,696,1.5,63,0.1,28860,60.5
8314,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,58541,3238,5.5,31570,53.9,1294,2.2,411,0.7,22028,37.6
8314,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,122853,25302,20.6,44890,36.5,6841,5.6,1483,1.2,44337,36.1
8314,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,5161,1291,25.0,1812,35.1,287,5.6,122,2.4,1649,32.0
8314,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,12066,3281,27.2,4977,41.2,599,5.0,63,0.5,3146,26.1
8314,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,9416,2589,27.5,4149,44.1,939,10.0,148,1.6,1591,16.9
8314,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,14218,2350,16.5,6113,43.0,754,5.3,224,1.6,4777,33.6
8314,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,33744,5987,17.7,10498,31.1,1537,4.6,327,1.0,15395,45.6
8314,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,9338,1206,12.9,2805,30.0,320,3.4,83,0.9,4924,52.7
8314,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,20236,4255,21.0,7806,38.6,1115,5.5,315,1.6,6745,33.3
8314,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,6171,1884,30.5,2384,38.6,446,7.2,110,1.8,1347,21.8
8314,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,12503,2459,19.7,4346,34.8,844,6.8,91,0.7,4763,38.1
8314,r023,All graduate students -> Health,All graduate students,Health,,,2,54763,4485,8.2,14032,25.6,1297,2.4,287,0.5,34662,63.3
8314,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,23888,1918,8.0,5416,22.7,647,2.7,66,0.3,15841,66.3
8314,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,30875,2567,8.3,8616,27.9,650,2.1,221,0.7,18821,61.0
8314,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,286954,14918,5.2,63468,22.1,4908,1.7,1001,0.3,202659,70.6
8314,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,184719,8608,4.7,41725,22.6,2704,1.5,534,0.3,131148,71.0
8314,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,4034,766,19.0,1723,42.7,400,9.9,28,0.7,1117,27.7
8314,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,27949,1577,5.6,6707,24.0,459,1.6,68,0.2,19138,68.5
8314,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,58913,1602,2.7,10378,17.6,484,0.8,128,0.2,46321,78.6
8314,r031,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,3731,704,18.9,1891,50.7,119,3.2,28,0.8,989,26.5
8314,r032,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,14157,220,1.6,2888,20.4,119,0.8,24,0.2,10906,77.0
8314,r033,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary studies,4,6602,271,4.1,1290,19.5,110,1.7,19,0.3,4912,74.4
8314,r034,All graduate students -> Master's students -> Science -> Natural resources and conservation,All graduate students,Master's students,Science,Natural resources and conservation,4,6343,749,11.8,2104,33.2,253,4.0,28,0.4,3209,50.6
8314,r035,All graduate students -> Master's students -> Science -> Physical sciences,All graduate students,Master's students,Science,Physical sciences,4,3834,336,8.8,1608,41.9,95,2.5,29,0.8,1766,46.1
8314,r036,All graduate students -> Master's students -> Science -> Psychology,All graduate students,Master's students,Science,Psychology,4,30052,994,3.3,4380,14.6,153,0.5,14,0.05,24511,81.6
8314,r037,All graduate students -> Master's students -> Science -> Social sciences,All graduate students,Master's students,Science,Social sciences,4,29104,1389,4.8,8756,30.1,512,1.8,168,0.6,18279,62.8
8314,r038,All graduate students -> Master's students -> Engineering,All graduate students,Master's students,Engineering,,3,58790,4044,6.9,13313,22.6,1567,2.7,324,0.6,39542,67.3
8314,r039,"All graduate students -> Master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,2755,412,15.0,753,27.3,115,4.2,20,0.7,1455,52.8
8314,r040,"All graduate students -> Master's students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Master's students,Engineering,"Biological, biomedical, and biosystems engineering",4,3900,194,5.0,912,23.4,80,2.1,6,0.2,2708,69.4
8314,r041,"All graduate students -> Master's students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Master's students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,2053,95,4.6,534,26.0,124,6.0,24,1.2,1276,62.2
