table_id,row_id,type_of_support_full_path,type_of_support_level_1,type_of_support_level_2,type_of_support_hierarchy_depth,field_fy_2021_millions_,field_fy_2022_millions_,field_year_to_year_change,field_fy_2022_of_total
11193,r001,All S&E support,All S&E support,,1,43223,44628,3.3,100.0
11193,r002,All S&E support -> R&D,All S&E support,R&D,2,39504,41304,4.6,92.6
11193,r003,All S&E support -> R&D plant,All S&E support,R&D plant,2,419,513,22.5,1.1
11193,r004,All S&E support -> Facilities and equipment for S&E instruction,All S&E support,Facilities and equipment for S&E instruction,2,11,18,58.0,0.0
11193,r005,All S&E support -> FTTGs,All S&E support,FTTGs,2,1751,1943,11.0,4.4
11193,r006,All S&E support -> Other general support for S&E<sup>a</sup>,All S&E support,Other general support for S&E<sup>a</sup>,2,1538,851,-44.7,1.9
