table_id,row_id,sex_level_of_highest_degree_and_occupation_full_path,sex_level_of_highest_degree_and_occupation_level_1,sex_level_of_highest_degree_and_occupation_level_2,sex_level_of_highest_degree_and_occupation_level_3,sex_level_of_highest_degree_and_occupation_level_4,sex_level_of_highest_degree_and_occupation_level_5,sex_level_of_highest_degree_and_occupation_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
7786,r001,Both sexes,Both sexes,,,,,1,32574000,40623000,43839000,45941000,48223000,50524000,51764000
7786,r002,Both sexes -> S&E occupations,Both sexes,S&E occupations,,,,2,4588000,5374000,5766000,6407000,6769000,7466000,7894000
7786,r003,"Both sexes -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,421000,602000,638000,631000,610000,698000,794000
7786,r004,Both sexes -> S&E occupations -> Computer and mathematical scientists,Both sexes,S&E occupations,Computer and mathematical scientists,,,3,1930000,2396000,2653000,3156000,3419000,3774000,4031000
7786,r005,Both sexes -> S&E occupations -> Physical and related scientists,Both sexes,S&E occupations,Physical and related scientists,,,3,298000,327000,324000,331000,366000,409000,408000
7786,r006,Both sexes -> S&E occupations -> Social and related scientists,Both sexes,S&E occupations,Social and related scientists,,,3,477000,518000,596000,570000,646000,663000,712000
7786,r007,Both sexes -> S&E occupations -> Engineers,Both sexes,S&E occupations,Engineers,,,3,1463000,1531000,1554000,1719000,1728000,1921000,1949000
7786,r008,Both sexes -> S&E-related occupations,Both sexes,S&E-related occupations,,,,2,5155000,6966000,7508000,7867000,8271000,8893000,9522000
7786,r009,Both sexes -> Non-S&E occupations,Both sexes,Non-S&E occupations,,,,2,22831000,28282000,30566000,31667000,33183000,34165000,34349000
7786,r010,Both sexes -> Bachelor's,Both sexes,Bachelor's,,,,2,20365000,25354000,27802000,28509000,30131000,31373000,31688000
7786,r011,Both sexes -> Bachelor's -> S&E occupations,Both sexes,Bachelor's,S&E occupations,,,3,2529000,2980000,3288000,3518000,3846000,4176000,4438000
7786,r012,"Both sexes -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",,4,146000,233000,264000,241000,230000,277000,295000
7786,r013,Both sexes -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Bachelor's,S&E occupations,Computer and mathematical scientists,,4,1243000,1564000,1785000,1978000,2219000,2403000,2574000
7786,r014,Both sexes -> Bachelor's -> S&E occupations -> Physical and related scientists,Both sexes,Bachelor's,S&E occupations,Physical and related scientists,,4,119000,126000,128000,126000,164000,189000,177000
7786,r015,Both sexes -> Bachelor's -> S&E occupations -> Social and related scientists,Both sexes,Bachelor's,S&E occupations,Social and related scientists,,4,101000,96000,124000,90000,172000,147000,170000
7786,r016,Both sexes -> Bachelor's -> S&E occupations -> Engineers,Both sexes,Bachelor's,S&E occupations,Engineers,,4,920000,960000,988000,1083000,1061000,1158000,1222000
7786,r017,Both sexes -> Bachelor's -> S&E-related occupations,Both sexes,Bachelor's,S&E-related occupations,,,3,2779000,3784000,4065000,4222000,4338000,4794000,5031000
7786,r018,Both sexes -> Bachelor's -> Non-S&E occupations,Both sexes,Bachelor's,Non-S&E occupations,,,3,15057000,18589000,20449000,20769000,21946000,22403000,22219000
7786,r019,Both sexes -> Master's,Both sexes,Master's,,,,2,8677000,11118000,11728000,12888000,13260000,14158000,14688000
7786,r020,Both sexes -> Master's -> S&E occupations,Both sexes,Master's,S&E occupations,,,3,1406000,1644000,1689000,2076000,2069000,2286000,2411000
7786,r021,"Both sexes -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Master's,S&E occupations,"Biological, agricultural, and other life scientists",,4,94000,152000,158000,169000,149000,152000,188000
7786,r022,Both sexes -> Master's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Master's,S&E occupations,Computer and mathematical scientists,,4,581000,717000,744000,1048000,1039000,1168000,1251000
7786,r023,Both sexes -> Master's -> S&E occupations -> Physical and related scientists,Both sexes,Master's,S&E occupations,Physical and related scientists,,4,82000,87000,83000,85000,98000,97000,105000
7786,r024,Both sexes -> Master's -> S&E occupations -> Social and related scientists,Both sexes,Master's,S&E occupations,Social and related scientists,,4,205000,218000,249000,249000,235000,249000,283000
7786,r025,Both sexes -> Master's -> S&E occupations -> Engineers,Both sexes,Master's,S&E occupations,Engineers,,4,443000,472000,456000,525000,548000,619000,584000
7786,r026,Both sexes -> Master's -> S&E-related occupations,Both sexes,Master's,S&E-related occupations,,,3,1208000,1765000,1945000,2064000,2262000,2332000,2578000
7786,r027,Both sexes -> Master's -> Non-S&E occupations,Both sexes,Master's,Non-S&E occupations,,,3,6063000,7709000,8093000,8749000,8929000,9540000,9699000
7786,r028,Both sexes -> Doctorate,Both sexes,Doctorate,,,,2,1271000,1500000,1551000,1641000,1796000,2090000,2141000
7786,r029,Both sexes -> Doctorate -> S&E occupations,Both sexes,Doctorate,S&E occupations,,,3,605000,692000,724000,751000,786000,938000,962000
7786,r030,"Both sexes -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",,4,164000,199000,202000,207000,217000,254000,291000
7786,r031,Both sexes -> Doctorate -> S&E occupations -> Computer and mathematical scientists,Both sexes,Doctorate,S&E occupations,Computer and mathematical scientists,,4,95000,108000,112000,117000,150000,189000,185000
7786,r032,Both sexes -> Doctorate -> S&E occupations -> Physical and related scientists,Both sexes,Doctorate,S&E occupations,Physical and related scientists,,4,94000,114000,112000,119000,101000,121000,125000
7786,r033,Both sexes -> Doctorate -> S&E occupations -> Social and related scientists,Both sexes,Doctorate,S&E occupations,Social and related scientists,,4,154000,173000,190000,201000,201000,235000,221000
7786,r034,Both sexes -> Doctorate -> S&E occupations -> Engineers,Both sexes,Doctorate,S&E occupations,Engineers,,4,97000,97000,108000,107000,116000,139000,141000
7786,r035,Both sexes -> Doctorate -> S&E-related occupations,Both sexes,Doctorate,S&E-related occupations,,,3,123000,224000,236000,229000,267000,387000,374000
7786,r036,Both sexes -> Doctorate -> Non-S&E occupations,Both sexes,Doctorate,Non-S&E occupations,,,3,543000,584000,590000,662000,743000,765000,805000
7786,r037,Both sexes -> Professional,Both sexes,Professional,,,,2,2261000,2651000,2758000,2903000,3036000,2903000,3246000
7786,r038,Both sexes -> Professional -> S&E occupations,Both sexes,Professional,S&E occupations,,,3,49000,58000,64000,63000,67000,67000,82000
7786,r039,"Both sexes -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Professional,S&E occupations,"Biological, agricultural, and other life scientists",,4,17000,17000,14000,14000,15000,14000,20000
7786,r040,Both sexes -> Professional -> S&E occupations -> Computer and mathematical scientists,Both sexes,Professional,S&E occupations,Computer and mathematical scientists,,4,11000,7000,11000,13000,11000,14000,22000
7786,r041,Both sexes -> Professional -> S&E occupations -> Physical and related scientists,Both sexes,Professional,S&E occupations,Physical and related scientists,,4,2000,0.05,1000,0.05,2000,2000,1000
7786,r042,Both sexes -> Professional -> S&E occupations -> Social and related scientists,Both sexes,Professional,S&E occupations,Social and related scientists,,4,17000,31000,35000,30000,37000,32000,38000
7786,r043,Both sexes -> Professional -> S&E occupations -> Engineers,Both sexes,Professional,S&E occupations,Engineers,,4,2000,1000,2000,5000,2000,5000,S
7786,r044,Both sexes -> Professional -> S&E-related occupations,Both sexes,Professional,S&E-related occupations,,,3,1045000,1193000,1262000,1353000,1404000,1380000,1538000
7786,r045,Both sexes -> Professional -> Non-S&E occupations,Both sexes,Professional,Non-S&E occupations,,,3,1167000,1399000,1433000,1487000,1565000,1456000,1626000
7786,r046,Both sexes -> Female,Both sexes,Female,,,,2,15111000,19978000,22052000,23218000,24900000,26341000,26493000
7786,r047,Both sexes -> Female -> S&E occupations,Both sexes,Female,S&E occupations,,,3,1203000,1486000,1681000,1818000,1966000,2193000,2300000
7786,r048,"Both sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",,4,164000,292000,311000,302000,292000,337000,367000
7786,r049,Both sexes -> Female -> S&E occupations -> Computer and mathematical scientists,Both sexes,Female,S&E occupations,Computer and mathematical scientists,,4,552000,602000,673000,833000,919000,975000,1053000
7786,r050,Both sexes -> Female -> S&E occupations -> Physical and related scientists,Both sexes,Female,S&E occupations,Physical and related scientists,,4,83000,98000,100000,92000,107000,142000,135000
7786,r051,Both sexes -> Female -> S&E occupations -> Social and related scientists,Both sexes,Female,S&E occupations,Social and related scientists,,4,251000,295000,363000,341000,379000,428000,433000
7786,r052,Both sexes -> Female -> S&E occupations -> Engineers,Both sexes,Female,S&E occupations,Engineers,,4,154000,200000,235000,250000,269000,310000,312000
7786,r053,Both sexes -> Female -> S&E-related occupations,Both sexes,Female,S&E-related occupations,,,3,2814000,3877000,4223000,4558000,4764000,5109000,5494000
7786,r054,Both sexes -> Female -> Non-S&E occupations,Both sexes,Female,Non-S&E occupations,,,3,11094000,14615000,16147000,16842000,18170000,19040000,18699000
7786,r055,Both sexes -> Female -> Bachelor's,Both sexes,Female,Bachelor's,,,3,9522000,12592000,13904000,14206000,15524000,16021000,15827000
7786,r056,Both sexes -> Female -> Bachelor's -> S&E occupations,Both sexes,Female,Bachelor's,S&E occupations,,4,605000,720000,832000,818000,979000,1034000,1099000
7786,r057,"Both sexes -> Female -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Female,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",5,62000,136000,139000,127000,119000,129000,140000
