table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed
12592,r001,R&D and R&D plant,R&D and R&D plant,,,1,100.0,100.0,100.0
12592,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,51.4,52.1,49.3
12592,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,24.7,23.9,25.5
12592,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,7.9,7.6,8.2
12592,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,5.5,5.4,5.5
12592,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,3.2,4.3,4.4
12592,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,1.9,1.8,1.8
12592,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,1.7,1.3,1.4
12592,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1.5,1.5,1.4
12592,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,0.8,0.8,1.0
12592,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,0.7,0.7,0.7
12592,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,0.3,0.4,0.4
12592,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,0.3,0.3,0.3
12592,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,0.1,0.1,0.1
12592,r015,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,0.1,0.05,0.05
12592,r016,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,0.05,0.05,0.05
12592,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,0.05,0.0,0.0
12592,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,100.0,100.0,100.0
12592,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,52.3,53.4,50.6
12592,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,24.6,23.9,25.6
12592,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,7.1,6.7,7.3
12592,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,5.6,5.6,5.6
12592,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,3.3,3.8,4.0
12592,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,1.7,1.7,1.7
12592,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,1.6,1.3,1.2
12592,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1.4,1.3,1.4
12592,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,0.9,0.8,1.0
12592,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,0.7,0.7,0.8
12592,r029,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,0.3,0.4,0.4
12592,r030,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,0.3,0.3,0.3
12592,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,0.1,0.1,0.1
12592,r032,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,0.1,0.05,0.05
12592,r033,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,0.05,0.05,0.05
12592,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,0.05,0.0,0.0
12592,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,100.0,100.0,100.0
12592,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,25.4,24.5,23.1
12592,r037,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,2.0,17.4,15.9
12592,r038,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,21.3,10.0,15.0
12592,r039,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,5.4,5.1,3.0
12592,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,6.3,5.4,4.6
12592,r041,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,33.9,33.3,31.3
12592,r042,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,1.3,0.5,0.8
12592,r043,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,0.6,0.5,0.6
12592,r044,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0.9,0.5,0.5
12592,r045,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,2.7,2.6,5.1
12592,r046,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,0.05,0.05,0.05
12592,r047,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0.0,0.3,0.1
12592,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0.0,0.0,0.0
12592,r049,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0.0,0.0,0.0
12592,r050,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0.0,0.0,0.0
12592,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0.0,0.0,0.0
