table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_all_graduate_students_total_number,field_all_graduate_students_total_percent,field_all_graduate_students_full_time_all_full_time_number,field_all_graduate_students_full_time_all_full_time_percent,field_all_graduate_students_full_time_first_time_full_time_number,field_all_graduate_students_full_time_first_time_full_time_percent,field_all_graduate_students_part_time_number,field_all_graduate_students_part_time_percent,field_master_s_students_total_number,field_master_s_students_total_percent,field_master_s_students_full_time_all_full_time_number,field_master_s_students_full_time_all_full_time_percent,field_master_s_students_full_time_first_time_full_time_number,field_master_s_students_full_time_first_time_full_time_percent,field_master_s_students_part_time_number,field_master_s_students_part_time_percent,field_doctoral_students_total_number,field_doctoral_students_total_percent,field_doctoral_students_full_time_all_full_time_number,field_doctoral_students_full_time_all_full_time_percent,field_doctoral_students_full_time_first_time_full_time_number,field_doctoral_students_full_time_first_time_full_time_percent,field_doctoral_students_part_time_number,field_doctoral_students_part_time_percent
8322,r001,All detailed fields,All detailed fields,,,,1,760156,100.0,543823,100.0,193936,100.0,216333,100.0,466613,100.0,286954,100.0,147266,100.0,179659,100.0,293543,100.0,256869,100.0,46670,100.0,36674,100.0
8322,r002,All detailed fields -> Science,All detailed fields,Science,,,2,509784,67.1,366207,67.3,128906,66.5,143577,66.4,305796,65.5,184719,64.4,95492,64.8,121077,67.4,203988,69.5,181488,70.7,33414,71.6,22500,61.4
8322,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,11244,1.5,7754,1.4,2105,1.1,3490,1.6,6801,1.5,4034,1.4,1521,1.0,2767,1.5,4443,1.5,3720,1.4,584,1.3,723,2.0
8322,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9696,1.3,6830,1.3,1831,0.9,2866,1.3,5790,1.2,3581,1.2,1322,0.9,2209,1.2,3906,1.3,3249,1.3,509,1.1,657,1.8
8322,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1548,0.2,924,0.2,274,0.1,624,0.3,1011,0.2,453,0.2,199,0.1,558,0.3,537,0.2,471,0.2,75,0.2,66,0.2
8322,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,100883,13.3,82218,15.1,25276,13.0,18665,8.6,42728,9.2,27949,9.7,15242,10.3,14779,8.2,58155,19.8,54269,21.1,10034,21.5,3886,10.6
8322,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5833,0.8,5208,1.0,1184,0.6,625,0.3,1005,0.2,694,0.2,412,0.3,311,0.2,4828,1.6,4514,1.8,772,1.7,314,0.9
8322,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15694,2.1,11289,2.1,3195,1.6,4405,2.0,8294,1.8,4479,1.6,1951,1.3,3815,2.1,7400,2.5,6810,2.7,1244,2.7,590,1.6
8322,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10620,1.4,9494,1.7,4463,2.3,1126,0.5,5794,1.2,4922,1.7,3240,2.2,872,0.5,4826,1.6,4572,1.8,1223,2.6,254,0.7
8322,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,979,0.1,964,0.2,157,0.1,15,0.05,6,0.05,5,0.05,4,0.05,1,0.05,973,0.3,959,0.4,153,0.3,14,0.05
