table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_total_sales_thousands_,field_all_companies_r_d_as_percentage_of_sales,field_1_4_employees_total_sales_thousands_,field_1_4_employees_r_d_as_percentage_of_sales,field_5_9_employees_total_sales_thousands_,field_5_9_employees_r_d_as_percentage_of_sales
12472,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['13,457,203', '&nbsp;']","['42', '&nbsp;']","['6,158,829', '&nbsp;']","['41', '&nbsp;']","['7,298,374', '&nbsp;']","['44', '&nbsp;']"
12472,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,778,853', '&nbsp;']","['39', '&nbsp;']","['669,257', '&nbsp;']","['33', '&nbsp;']","['1,109,595', '&nbsp;']","['42', '&nbsp;']"
12472,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['43,398', 'r']","['40', 'r']","['8,985', '&nbsp;']","['77', 'r']","['34,413', 'r']","['31', 'r']"
12472,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['1,262', 'r']","['735', 'r']","['1,262', 'r']","['100', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
12472,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12472,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['1,033', 'r']","['87', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['1,033', 'r']","['87', 'r']"
12472,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12472,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['254', '&nbsp;']","['63', '&nbsp;']","['254', '&nbsp;']","['63', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12472,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['254,888', '&nbsp;']","['66', '&nbsp;']","['88,378', '&nbsp;']","['81', '&nbsp;']","['166,509', '&nbsp;']","['58', '&nbsp;']"
12472,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['101,394', '&nbsp;']","['124', '&nbsp;']","['21,279', '&nbsp;']","['244', 'r']","['80,116', '&nbsp;']","['92', 'r']"
12472,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['153,493', '&nbsp;']","['28', '&nbsp;']","['67,099', '&nbsp;']","['30', '&nbsp;']","['86,394', '&nbsp;']","['27', 'r']"
12472,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['160,154', 'r']","['9', 'r']","['136,703', 'r']","['5', 'r']","['23,451', '&nbsp;']","['35', 'r']"
12472,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['7,008', 'r']","['51', 'r']","['182', '&nbsp;']","['101', '&nbsp;']","['6,827', 'r']","['50', 'r']"
12472,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['7,572', '&nbsp;']","['42', 'r']","['5,433', '&nbsp;']","['41', 'r']","['2,139', '&nbsp;']","['45', '&nbsp;']"
12472,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['60,271', 'r']","['74', 'r']","['32,746', 'r']","['31', 'r']","['27,525', 'r']","['127', 'r']"
12472,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['97,566', '&nbsp;']","['45', 'r']","['66,158', '&nbsp;']","['25', 'r']","['31,409', '&nbsp;']","['89', 'r']"
12472,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['736,513', '&nbsp;']","['23', '&nbsp;']","['255,560', '&nbsp;']","['24', '&nbsp;']","['480,953', '&nbsp;']","['23', '&nbsp;']"
12472,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['161,473', '&nbsp;']","['29', 'r']","['60,794', '&nbsp;']","['34', 'r']","['100,679', '&nbsp;']","['25', 'r']"
12472,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['446,621', '&nbsp;']","['21', '&nbsp;']","['123,512', '&nbsp;']","['24', '&nbsp;']","['323,109', '&nbsp;']","['20', 'r']"
12472,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['128,419', '&nbsp;']","['24', '&nbsp;']","['71,254', '&nbsp;']","['14', '&nbsp;']","['57,165', '&nbsp;']","['36', 'r']"
12472,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['72,558', '&nbsp;']","['20', '&nbsp;']","['25,428', '&nbsp;']","['21', 'r']","['47,130', '&nbsp;']","['20', '&nbsp;']"
12472,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['70,317', '&nbsp;']","['52', '&nbsp;']","['14,955', '&nbsp;']","['65', '&nbsp;']","['55,362', '&nbsp;']","['49', '&nbsp;']"
12472,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['36,764', '&nbsp;']","['54', '&nbsp;']","['7,812', 'r']","['75', 'r']","['28,952', '&nbsp;']","['49', 'r']"
12472,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['33,553', '&nbsp;']","['50', '&nbsp;']","['7,143', 'r']","['56', '&nbsp;']","['26,410', '&nbsp;']","['49', 'r']"
12472,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['1,944', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,944', '&nbsp;']","['11', '&nbsp;']"
12472,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['264,117', '&nbsp;']","['62', 'r']","['33,215', '&nbsp;']","['98', '&nbsp;']","['230,901', '&nbsp;']","['57', 'r']"
12472,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['11,678,351', '&nbsp;']","['43', '&nbsp;']","['5,489,572', '&nbsp;']","['42', '&nbsp;']","['6,188,779', '&nbsp;']","['44', '&nbsp;']"
12472,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['1,025,414', '&nbsp;']","['30', 'r']","['485,588', 'r']","['31', 'r']","['539,826', '&nbsp;']","['29', 'r']"
12472,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['1,901,767', '&nbsp;']","['34', '&nbsp;']","['875,290', '&nbsp;']","['31', '&nbsp;']","['1,026,477', '&nbsp;']","['37', '&nbsp;']"
12472,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,265,726', '&nbsp;']","['38', '&nbsp;']","['542,483', '&nbsp;']","['33', '&nbsp;']","['723,243', '&nbsp;']","['42', '&nbsp;']"
12472,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['636,041', '&nbsp;']","['28', '&nbsp;']","['332,807', '&nbsp;']","['28', '&nbsp;']","['303,234', '&nbsp;']","['27', 'r']"
12472,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,104,971', '&nbsp;']","['35', '&nbsp;']","['657,966', '&nbsp;']","['26', '&nbsp;']","['447,005', '&nbsp;']","['48', '&nbsp;']"
12472,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,445,668', '&nbsp;']","['26', '&nbsp;']","['2,436,868', '&nbsp;']","['28', '&nbsp;']","['3,008,799', '&nbsp;']","['25', '&nbsp;']"
12472,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['2,200,531', '&nbsp;']","['102', '&nbsp;']","['1,033,859', '&nbsp;']","['100', '&nbsp;']","['1,166,672', '&nbsp;']","['105', '&nbsp;']"
12472,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['146,178', '&nbsp;']","['94', '&nbsp;']","['61,858', '&nbsp;']","['97', '&nbsp;']","['84,319', '&nbsp;']","['92', '&nbsp;']"
12472,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['653,428', '&nbsp;']","['155', '&nbsp;']","['340,191', '&nbsp;']","['142', '&nbsp;']","['313,238', '&nbsp;']","['168', '&nbsp;']"
12472,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['1,360,356', '&nbsp;']","['80', '&nbsp;']","['616,435', '&nbsp;']","['78', '&nbsp;']","['743,922', '&nbsp;']","['81', '&nbsp;']"
12472,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['40,569', '&nbsp;']","['49', '&nbsp;']","['15,376', '&nbsp;']","['67', '&nbsp;']","['25,193', '&nbsp;']","['38', '&nbsp;']"
