table_id,row_id,_b_type_of_r_d_b_full_path,_b_type_of_r_d_b_level_1,_b_type_of_r_d_b_level_2,_b_type_of_r_d_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
10184,r001,All types of R&D,All types of R&D,,1,97680528,77556,0.1,53971468,37219,0.1
10184,r002,All types of R&D -> Basic research,All types of R&D,Basic research,2,61698057,7913176,12.8,34673895,5304554,15.3
10184,r003,All types of R&D -> Applied research,All types of R&D,Applied research,2,26722947,3525216,13.2,14880303,2144953,14.4
10184,r004,All types of R&D -> Experimental development,All types of R&D,Experimental development,2,9259524,1128430,12.2,4417270,583179,13.2
