table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_r_d_total,field_r_d_industry_administered_ffrdcs,field_r_d_university_administered_ffrdcs,field_r_d_nonprofit_administered_ffrdcs,field_r_d_plant_total,field_r_d_plant_industry_administered_ffrdcs,field_r_d_plant_university_administered_ffrdcs,field_r_d_plant_nonprofit_administered_ffrdcs
10811,r001,All agencies,All agencies,,,,,1,15380951,4328059,6688760,4364133,3436961,686135,1499111,1251715
10811,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
10811,r003,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,19845,0,6787,13058,0,0,0,0
10811,r004,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,13058,0,0,13058,0,0,0,0
10811,r005,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,6787,0,6787,0,0,0,0,0
10811,r006,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,3022562,348347,1373140,1301075,50538,0,50538,0
10811,r007,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,155578,64227,52026,39325,0,0,0,0
10811,r008,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,9467,3114,0,6354,0,0,0,0
10811,r009,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,564128,98819,50857,414452,0,0,0,0
10811,r010,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,123092,22170,22614,78308,0,0,0,0
10811,r011,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,211036,64805,46973,99259,0,0,0,0
10811,r012,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,275166,4776,38712,231678,0,0,0,0
10811,r013,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,1684093,90437,1161958,431699,50538,0,50538,0
10811,r014,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,8705607,3251486,2688746,2765374,3368327,686135,1440572,1241619
10811,r015,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,49299,15227,12393,21679,0,0,0,0
10811,r016,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,81910,20080,4801,57028,0,0,0,0
10811,r017,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,996961,134240,197676,665045,48601,0,0,48601
10811,r018,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,29095,25805,895,2395,0,0,0,0
10811,r019,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,85349,38834,13484,33032,0,0,0,0
10811,r020,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,2533161,2323398,21622,188141,351146,337776,38,13332
10811,r021,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2211281,2122591,443,88247,336211,333041,38,3132
10811,r022,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,1650,1560,0,90,0,0,0,0
10811,r023,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,320231,199247,21180,99804,14935,4735,0,10200
10811,r024,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,549485,422428,40152,86905,367962,348208,0,19754
10811,r025,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,15787,7477,0,8310,0,0,0,0
10811,r026,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,4364560,263997,2397724,1702840,2600618,151,1440535,1159932
10811,r027,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,719159,654612,25502,39045,0,0,0,0
10811,r028,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,719159,654612,25502,39045,0,0,0,0
10811,r029,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,59466,31181,2750,25535,10096,0,0,10096
10811,r030,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,20601,12550,2750,5301,0,0,0,0
10811,r031,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,38866,18631,0,20234,10096,0,0,10096
10811,r032,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,0.05,0,0,0.05,0,0,0,0
10811,r033,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,49,0,49,0,0,0,0,0
10811,r034,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,49,0,49,0,0,0,0,0
10811,r035,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,80267,0,1670,78597,0,0,0,0
10811,r036,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,76319,0,0,76319,0,0,0,0
