table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_atmospheric_sciences,field_geological_sciences,field_oceanography,field_other_environmental_sciences
6369,r001,All agencies,All agencies,,,,,1,3166938.1,562676.7,261839.1,470224.2,1872198.1
6369,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,
6369,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,11243.0,9439.9,71.2,0.0,1732.0
6369,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,3131.8,3060.6,71.2,0.0,0.0
6369,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,4563.9,2831.9,0.0,0.0,1732.0
6369,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,3547.4,3547.4,0.0,0.0,0.0
6369,r007,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,122200.1,26089.8,2180.6,84082.3,9847.4
6369,r008,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1395.5,0.0,0.0,0.0,1395.5
6369,r009,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,400.0,0.0,0.0,0.0,400.0
6369,r010,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,2579.3,1172.9,11.7,0.0,1394.8
6369,r011,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,4948.7,0.0,763.6,0.0,4185.0
6369,r012,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,104149.3,22621.3,0.0,79809.0,1719.0
6369,r013,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,8727.3,2295.6,1405.3,4273.3,753.1
6369,r014,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,359332.3,252681.4,23584.3,0.0,83066.7
6369,r015,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,2281.0,300.0,1981.0,0.0,0.0
6369,r016,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,2281.0,300.0,1981.0,0.0,0.0
6369,r017,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,357051.3,252381.4,21603.3,0.0,83066.7
6369,r018,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,244744.2,0.0,0.0,0.0,244744.2
6369,r019,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,39584.9,0.0,0.0,0.0,39584.9
6369,r020,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,205159.3,0.0,0.0,0.0,205159.3
6369,r021,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,7699.0,0.0,0.0,4451.4,3247.6
6369,r022,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,7699.0,0.0,0.0,4451.4,3247.6
6369,r023,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,70508.3,0.0,3440.0,0.0,67068.3
6369,r024,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,469.3,0.0,0.0,0.0,469.3
6369,r025,All agencies -> Departments -> Department of the Interior -> U.S. Geological Survey,All agencies,Departments,Department of the Interior,U.S. Geological Survey,,4,70039.0,0.0,3440.0,0.0,66599.0
6369,r026,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,
6369,r027,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,1391042.1,0.0,0.0,0.0,1391042.1
6369,r028,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,938341.6,274465.7,211481.0,380945.0,71449.9
6369,r029,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,21827.6,0.0,21082.0,745.6,0.0
