table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences,field_mathematics,field_other_computer_sciences_and_mathematics
3944,r001,All agencies surveyed,All agencies surveyed,,,,1,385120.2,341579.0,28648.7,14892.5
3944,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,
3944,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,633.6,290.2,343.4,0.0
3944,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,66.2,66.2,0.0,0.0
3944,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,314.0,224.0,90.0,0.0
3944,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies surveyed,Departments,Department of Agriculture,National Agricultural Statistics Service,4,253.4,0.0,253.4,0.0
3944,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,222186.8,205526.2,1871.2,14789.4
3944,r008,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,177188.4,165568.0,0.0,11620.4
3944,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,8880.2,5989.5,235.0,2655.7
3944,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,35.9,35.9,0.0,0.0
3944,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,31803.8,30040.9,1636.2,126.6
3944,r012,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,4278.5,3891.8,0.0,386.7
3944,r013,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,8886.3,8886.3,0.0,0.0
3944,r014,All agencies surveyed -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies surveyed,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,4,8886.3,8886.3,0.0,0.0
3944,r015,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,27970.9,1827.9,26143.0,0.0
3944,r016,All agencies surveyed -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies surveyed,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,4,1827.9,1827.9,0.0,0.0
3944,r017,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,26143.0,0.0,26143.0,0.0
3944,r018,All agencies surveyed -> Departments -> Department of Homeland Security,All agencies surveyed,Departments,Department of Homeland Security,,3,1667.7,1564.6,0.0,103.2
3944,r019,All agencies surveyed -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies surveyed,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,4,1173.8,1173.8,0.0,0.0
3944,r020,All agencies surveyed -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies surveyed,Departments,Department of Homeland Security,Science and Technology Directorate,4,390.8,390.8,0.0,0.0
3944,r021,All agencies surveyed -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies surveyed,Departments,Department of Homeland Security,U.S. Coast Guard,4,103.2,0.0,0.0,103.2
3944,r022,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,
3944,r023,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,123774.9,123483.8,291.1,0.0
