table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4345,r001,All consortia,All consortia,,1,388726.3,304393.0,82258.8,0.0,1962.0,0.0,112.5
4345,r002,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,84.7,84.7,0.0,na,na,na,na
4345,r003,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,465.6,465.6,0.0,0.0,0.0,0.0,0.0
4345,r004,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,2507.7,2507.7,0.0,na,na,na,na
4345,r005,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,250589.6,168324.1,82158.8,0.0,106.6,0.0,0.0
4345,r006,All consortia -> Clinical Data Interchange Standards Consortium Inc.,All consortia,Clinical Data Interchange Standards Consortium Inc.,2,299.0,299.0,0.0,na,na,na,na
4345,r007,All consortia -> Conservation X Labs Inc.,All consortia,Conservation X Labs Inc.,2,480.0,480.0,0.0,na,na,na,na
4345,r008,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,1368.2,1255.9,0.0,0.0,112.3,0.0,0.0
4345,r009,All consortia -> Consortium of Universities for the Advancement of Hydrologic Science Inc.,All consortia,Consortium of Universities for the Advancement of Hydrologic Science Inc.,2,2743.9,2679.4,0.0,0.0,64.5,0.0,0.0
4345,r010,All consortia -> Consortium of Universities of the Washington Metropolitan Area,All consortia,Consortium of Universities of the Washington Metropolitan Area,2,1105.8,1105.8,0.0,0.0,0.0,0.0,0.0
4345,r011,All consortia -> Institute for Public Policy and Economic Development,All consortia,Institute for Public Policy and Economic Development,2,93.6,93.6,0.0,0.0,0.0,0.0,0.0
4345,r012,All consortia -> Lake Michigan Air Directors Consortium,All consortia,Lake Michigan Air Directors Consortium,2,934.7,934.7,0.0,na,na,na,na
4345,r013,All consortia -> Louisiana Universities Marine Consortium,All consortia,Louisiana Universities Marine Consortium,2,1049.6,1009.6,0.0,0.0,40.0,0.0,0.0
4345,r014,All consortia -> Marine Environmental Sciences Consortium,All consortia,Marine Environmental Sciences Consortium,2,1315.0,1315.0,0.0,0.0,0.0,0.0,0.0
4345,r015,All consortia -> Minority Serving Institutions STEM Research and Development Consortium,All consortia,Minority Serving Institutions STEM Research and Development Consortium,2,472.6,472.6,0.0,0.0,0.0,0.0,0.0
4345,r016,All consortia -> National Consortium for Graduate Degrees for Minorities in Engineering and Science,All consortia,National Consortium for Graduate Degrees for Minorities in Engineering and Science,2,4156.3,4156.3,0.0,0.0,0.0,0.0,0.0
4345,r017,All consortia -> National Physical Science Consortium,All consortia,National Physical Science Consortium,2,430.1,317.6,0.0,0.0,0.0,0.0,112.5
4345,r018,All consortia -> New Jersey Sea Grant Consortium Inc.,All consortia,New Jersey Sea Grant Consortium Inc.,2,2318.4,2318.4,0.0,0.0,0.0,0.0,0.0
4345,r019,All consortia -> New Mexico Consortium,All consortia,New Mexico Consortium,2,828.5,828.5,0.0,0.0,0.0,0.0,0.0
4345,r020,All consortia -> New York Structural Biology Center,All consortia,New York Structural Biology Center,2,17328.5,17266.9,0.0,0.0,61.6,0.0,0.0
4345,r021,All consortia -> Northeast Radio Observatory Corp.,All consortia,Northeast Radio Observatory Corp.,2,100.0,0.0,100.0,0.0,0.0,0.0,0.0
4345,r022,All consortia -> Oak Ridge Associated Universities,All consortia,Oak Ridge Associated Universities,2,25408.4,25408.4,0.0,0.0,0.0,0.0,0.0
4345,r023,All consortia -> South Carolina Sea Grant Consortium,All consortia,South Carolina Sea Grant Consortium,2,1556.7,1556.7,0.0,0.0,0.0,0.0,0.0
4345,r024,All consortia -> Southwestern Ohio Council for Higher Education,All consortia,Southwestern Ohio Council for Higher Education,2,1719.6,1719.6,0.0,0.0,0.0,0.0,0.0
4345,r025,All consortia -> U. Corp. for Atmospheric Research,All consortia,U. Corp. for Atmospheric Research,2,62302.5,60764.9,0.0,0.0,1537.6,0.0,0.0
4345,r026,All consortia -> UNAVCO Inc.,All consortia,UNAVCO Inc.,2,8579.1,8539.8,0.0,0.0,39.3,0.0,0.0
4345,r027,All consortia -> Universities Research Association,All consortia,Universities Research Association,2,90.1,90.1,0.0,0.0,0.0,0.0,0.0
4345,r028,All consortia -> West Virginia High Technology Consortium Foundation,All consortia,West Virginia High Technology Consortium Foundation,2,169.6,169.6,0.0,na,na,na,na
4345,r029,All consortia -> Wild Fish Conservancy,All consortia,Wild Fish Conservancy,2,228.5,228.5,0.0,na,na,na,na
