table_id,row_id,industry_and_naics_code_full_path,industry_and_naics_code_level_1,industry_and_naics_code_level_2,industry_and_naics_code_level_3,industry_and_naics_code_level_4,industry_and_naics_code_hierarchy_depth,field_domestic_net_sales_us_millions_a,field_r_d_intensity_b,field_domestic_employment_thousands_c_total,field_domestic_employment_thousands_c_r_dd
1880,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,9682692,4.1,19893,1609
1880,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,5423997,4.7,9919,916
1880,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,901859,8.3,1234,174
1880,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,466391,14.2,518,127
1880,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,435468,2.0,716,47
1880,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,323082,4.1,839,85
1880,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,697118,11.3,1200,258
1880,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Electrical equipment, appliances, and components, 335","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Electrical equipment, appliances, and components, 335",,3,113434,3.8,291,29
1880,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,1173095,4.5,1771,172
1880,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Automobiles, trailers, and parts, 3361&#8211;63","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Automobiles, trailers, and parts, 3361&#8211;63",4,756472,3.2,852,92
1880,r011,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Aerospace products and parts, 3364","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Aerospace products and parts, 3364",4,350201,7.5,710,67
1880,r012,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Other 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",Other 336,4,66422,4.6,209,13
1880,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,2215409,1.5,4584,198
1880,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,4258695,3.4,9974,693
1880,r015,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,1192143,6.7,1945,305
1880,r016,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,230197,14.9,572,134
1880,r017,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Other 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",Other 51,4,961946,4.8,1373,171
1880,r018,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Finance and insurance, 52","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Finance and insurance, 52",,3,736468,1.0,1211,36
1880,r019,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,400375,9.2,1330,235
1880,r020,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Computer systems design and related services, 5415",4,152271,8.8,456,78
1880,r021,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Scientific R&D services, 5417","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Scientific R&D services, 5417",4,69134,25.1,283,86
1880,r022,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Other 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",Other 54,4,178970,3.5,591,71
