table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_united_states_and_u_s_territories_industry,field_extramural_united_states_and_u_s_territories_industry_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_universities_and_colleges,field_extramural_united_states_and_u_s_territories_university_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_other_nonprofits,field_extramural_united_states_and_u_s_territories_nonprofit_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_state_local_governments,field_extramural_foreign
3901,r001,All agencies,All agencies,,,,,1,41100526.5,11057883.9,7102283.8,3110922.2,13754525.4,462695.6,4166897.2,792779.4,414375.0,238164.1
3901,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
3901,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1350427.2,736540.7,29441.9,0.0,558674.3,0.0,19655.4,0.0,4822.0,1292.9
3901,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,3855.3,3855.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,516949.7,458967.2,0.0,0.0,50927.4,0.0,5722.4,0.0,139.4,1193.4
3901,r006,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85626.4,73922.6,5724.1,0.0,3680.9,0.0,2236.5,0.0,8.8,53.5
3901,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,170325.6,147919.5,416.3,0.0,15163.2,0.0,2266.2,0.0,4514.4,46.0
3901,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,5263.0,4775.7,0.0,0.0,253.4,0.0,233.9,0.0,0.0,0.0
3901,r009,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,564494.8,47100.5,23301.5,0.0,487536.9,0.0,6396.5,0.0,159.5,0.0
3901,r010,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,3912.5,0.0,0.0,0.0,1112.5,0.0,2800.0,0.0,0.0,0.0
3901,r011,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1028763.0,703005.7,32427.6,0.0,246922.4,2495.2,22188.1,18680.9,1955.9,1087.2
3901,r012,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,449790.2,361935.1,28994.8,0.0,37378.3,0.0,1609.9,18680.9,108.0,1083.2
3901,r013,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,541827.6,303925.4,3432.8,0.0,209544.1,2495.2,20578.3,0.0,1847.9,4.0
3901,r014,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7900.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3901,r015,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,29245.2,29245.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
