table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
8802,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,717', 'i ']","['1', '  ']","['0 - 134', 'i ']","['31', '  ']",117,,"['0 - 205', '  ']","['107', '  ']","['172', '  ']","['288', '  ']","['0', '  ']","['660 - 1,005', 'i ']"
8802,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['815', '  ']","['0', '  ']","['107', '  ']","['52', '  ']",64,,"['28', '  ']","['36', '  ']","['285', '  ']","['223', '  ']","['21', '  ']","['0', '  ']"
8802,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,396', '  ']","['201', '  ']","['421', '  ']","['518', '  ']",702,,"['297', '  ']","['298', '  ']","['699', '  ']","['145', '  ']","['116', '  ']","['0', '  ']"
8802,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,223', '  ']","['97', '  ']","['571', '  ']","['875', '  ']",1047,,"['676', '  ']","['654', '  ']","['2,522', '  ']","['3,552', '  ']","['3,481', '  ']","['2,748', '  ']"
8802,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,769 - 1,811', '  ']","['1', '  ']","['22', '  ']","['0 - 698', '  ']",48,,"['0 - 583', '  ']","['57', '  ']","['141', '  ']","['433', '  ']","['0', '  ']","['0 - 1,112', '  ']"
8802,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,807', '  ']","['5', '  ']","['19', '  ']","['58', '  ']",41,,"['42', '  ']","['173', 'i ']","['1,380', '  ']","['1,258', '  ']","['1,829', '  ']","['0', '  ']"
8802,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,645', '  ']","['0', '  ']","['18', '  ']","['36', '  ']",59,,"['46', '  ']","['68', '  ']","['51', 'i ']","['1,367', '  ']","['0', '  ']","['0', '  ']"
8802,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7,959 - 8,001', '  ']","['91', '  ']","['511', '  ']","['84 - 783', '  ']",898,,"['6 - 589', '  ']","['356', '  ']","['950', '  ']","['494', '  ']","['1,651', 'i ']","['1,635 - 2,749', '  ']"
8802,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['99,535', '  ']","['204', '  ']","['1,004', '  ']","['1,052', '  ']",1704,,"['3,082', '  ']","['3,161', '  ']","['14,871', '  ']","['9,415', '  ']","['15,051', '  ']","['49,992', '  ']"
8802,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['12,103', '  ']","['24', '  ']","['9 - 445', '  ']","['0 - 244', '  ']",0 - 369,,"['530', '  ']","['0 - 1,148', '  ']","['2,700', '  ']","['1,802', '  ']","['0', '  ']","['4,839 - 7,040', '  ']"
8802,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['43,181', '  ']","['67', '  ']","['13 - 448', '  ']","['349', '  ']",681,,"['1,945', '  ']","['1,344', '  ']","['6,059', '  ']","['3,855', 'i ']","['13,729', '  ']","['14,702 - 15,139', '  ']"
8802,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['18,505', '  ']","['26 - 115', '  ']","['547', '  ']","['460', '  ']",656,,"['497', '  ']","['670', '  ']","['3,947', '  ']","['1,386', '  ']","['504 - 601', '  ']","['9,719', 'i ']"
8802,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['2,858', '  ']","['12', '  ']","['169', '  ']","['176', '  ']",270,,"['180', '  ']","['346', '  ']","['1,477', '  ']","['0', '  ']","['227', '  ']","['0', '  ']"
8802,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['10,586', '  ']","['15', '  ']","['35', '  ']","['96', '  ']",154,,"['122', '  ']","['0 - 248', '  ']","['183', '  ']","['815 - 1,071', '  ']","['0', '  ']","['8,914', 'i ']"
8802,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['5,061', '  ']","['0 - 89', '  ']","['343', 'i ']","['188', '  ']",232,,"['195', '  ']","['76 - 325', '  ']","['2,288', '  ']","['314 - 572', '  ']","['276 - 375', '  ']","['805', '  ']"
8802,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['25,747', '  ']","['0 - 89', '  ']","['0 - 354', '  ']","['0 - 245', '  ']",0 - 369,,"['110', '  ']","['0 - 1,148', '  ']","['2,165', '  ']","['2,371', '  ']","['720 - 819', 'i ']","['18,093 - 20,382', '  ']"
8802,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,998', '  ']","['55', '  ']","['220', '  ']","['157', '  ']",305,,"['254', '  ']","['849', '  ']","['1,791', '  ']","['164', '  ']","['873', '  ']","['331', '  ']"
8802,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['48,796', '  ']","['50', '  ']","['161', '  ']","['243', '  ']",514,,"['763', '  ']","['1,706', '  ']","['5,327', '  ']","['3,367', '  ']","['7,516', '  ']","['29,148', '  ']"
8802,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['23,121', '  ']","['0 - 40', '  ']","['43 - 52', '  ']","['14 - 41', '  ']",227,,"['368', '  ']","['889', '  ']","['3,434', '  ']","['2,360', 'i ']","['4,189 - 4,851', '  ']","['10,857 - 11,570', '  ']"
8802,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['22,914', 'i ']","['11 - 36', '  ']","['98', '  ']","['118', '  ']",237,,"['337', '  ']","['650', 'i ']","['1,476', '  ']","['719 - 743', '  ']","['2,666', '  ']","['16,578', 'i ']"
