table_id,row_id,reason_the_non_innovative_activity_was_not_innovative,overall,innovative,non_innovative
5524,r001,Product or process is not new,69,66,72
5524,r002,Homemade version of commercially available product,70,69,71
5524,r003,Product or process was made but not used,65,70,59
5524,r004,Product or process was produced at work,61,78,40
