table_id,row_id,time_period,total_level_1,total_level_2,total_level_3,total_hierarchy_depth,value
2783,r001,2001,Total,All R&D expenditures,,2,10071
2783,r002,2001,Total,Basic research,Amount,3,3875
2783,r003,2001,Total,Basic research,Percent,3,38.5
2783,r004,2001,Total,Applied research,Amount,3,na
2783,r005,2001,Total,Applied research,Percent,3,na
2783,r006,2001,Total,Experimental development,Amount,3,na
2783,r007,2001,Total,Experimental development,Percent,3,na
2783,r008,2001,Federally financed,All R&D expenditures,,2,9709
2783,r009,2001,Federally financed,Basic research,Amount,3,3726
2783,r010,2001,Federally financed,Basic research,Percent,3,38.4
2783,r011,2001,Federally financed,Applied research,Amount,3,na
2783,r012,2001,Federally financed,Applied research,Percent,3,na
2783,r013,2001,Federally financed,Experimental development,Amount,3,na
2783,r014,2001,Federally financed,Experimental development,Percent,3,na
2783,r015,2002,Total,All R&D expenditures,,2,11536
2783,r016,2002,Total,Basic research,Amount,3,4744
2783,r017,2002,Total,Basic research,Percent,3,41.1
2783,r018,2002,Total,Applied research,Amount,3,na
2783,r019,2002,Total,Applied research,Percent,3,na
2783,r020,2002,Total,Experimental development,Amount,3,na
2783,r021,2002,Total,Experimental development,Percent,3,na
2783,r022,2002,Federally financed,All R&D expenditures,,2,11095
2783,r023,2002,Federally financed,Basic research,Amount,3,4523
2783,r024,2002,Federally financed,Basic research,Percent,3,40.8
2783,r025,2002,Federally financed,Applied research,Amount,3,na
2783,r026,2002,Federally financed,Applied research,Percent,3,na
2783,r027,2002,Federally financed,Experimental development,Amount,3,na
2783,r028,2002,Federally financed,Experimental development,Percent,3,na
2783,r029,2003,Total,All R&D expenditures,,2,12127
2783,r030,2003,Total,Basic research,Amount,3,5122
2783,r031,2003,Total,Basic research,Percent,3,42.2
2783,r032,2003,Total,Applied research,Amount,3,na
2783,r033,2003,Total,Applied research,Percent,3,na
2783,r034,2003,Total,Experimental development,Amount,3,na
2783,r035,2003,Total,Experimental development,Percent,3,na
2783,r036,2003,Federally financed,All R&D expenditures,,2,11681
2783,r037,2003,Federally financed,Basic research,Amount,3,4880
2783,r038,2003,Federally financed,Basic research,Percent,3,41.8
2783,r039,2003,Federally financed,Applied research,Amount,3,na
2783,r040,2003,Federally financed,Applied research,Percent,3,na
2783,r041,2003,Federally financed,Experimental development,Amount,3,na
2783,r042,2003,Federally financed,Experimental development,Percent,3,na
2783,r043,2004,Total,All R&D expenditures,,2,12632
2783,r044,2004,Total,Basic research,Amount,3,4931
