table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposedb,field_2018_19_change_,field_2019_20_change_
1696,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,10552,10128,10686,-4.0,5.5
1696,r002,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup> ,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,,,,2,,,,,
1696,r003,"R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Safety, security, and mission services",R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,"Safety, security, and mission services",,,3,273,272,242,-0.4,-11.0
1696,r004,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Deep Space Exploration Systems,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Deep Space Exploration Systems,,,3,1870,1288,1883,-31.1,46.3
1696,r005,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Deep Space Exploration Systems -> Exploration R&D,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Deep Space Exploration Systems,Exploration R&D,,4,370,766,723,107.0,-5.6
1696,r006,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Deep Space Exploration Systems -> Exploration systems development,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Deep Space Exploration Systems,Exploration systems development,,4,1500,522,1160,-65.2,122.3
1696,r007,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Science,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Science,,,3,5490,6145,5954,11.9,-3.1
1696,r008,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Astrophysics<sup>d</sup>,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Science,Astrophysics<sup>d</sup>,,4,641,964,1152,50.5,19.4
1696,r009,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Earth science,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Science,Earth science,,4,1711,1919,1761,12.1,-8.3
1696,r010,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Heliophysics,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Science,Heliophysics,,4,586,681,705,16.2,3.5
1696,r011,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> James Webb Space Telescope<sup>d</sup>,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Science,James Webb Space Telescope<sup>d</sup>,,4,510,375,na,-26.5,--
