table_id,row_id,_b_federal_agency_b_full_path,_b_federal_agency_b_level_1,_b_federal_agency_b_level_2,_b_federal_agency_b_hierarchy_depth,field_r_d_expenditures
9271,r001,All federal agencies,All federal agencies,,1,25962005
9271,r002,All federal agencies -> Administrative Office of the U.S. Courts,All federal agencies,Administrative Office of the U.S. Courts,2,532
9271,r003,All federal agencies -> Agency for International Development,All federal agencies,Agency for International Development,2,15938
9271,r004,All federal agencies -> Architect of the Capitol,All federal agencies,Architect of the Capitol,2,272
9271,r005,All federal agencies -> Central Intelligence Agency,All federal agencies,Central Intelligence Agency,2,2145
9271,r006,All federal agencies -> Consumer Product Safety Commission,All federal agencies,Consumer Product Safety Commission,2,346
9271,r007,All federal agencies -> Department of Agriculture,All federal agencies,Department of Agriculture,2,4639
9271,r008,All federal agencies -> Department of Commerce,All federal agencies,Department of Commerce,2,77958
9271,r009,All federal agencies -> Department of Defense,All federal agencies,Department of Defense,2,5407751
9271,r010,All federal agencies -> Department of Energy,All federal agencies,Department of Energy,2,14479448
9271,r011,All federal agencies -> Department of Health and Human Services,All federal agencies,Department of Health and Human Services,2,1279292
9271,r012,All federal agencies -> Department of Homeland Security,All federal agencies,Department of Homeland Security,2,610137
9271,r013,All federal agencies -> Department of Justice,All federal agencies,Department of Justice,2,24627
9271,r014,All federal agencies -> Department of State,All federal agencies,Department of State,2,51329
9271,r015,All federal agencies -> Department of the Interior,All federal agencies,Department of the Interior,2,14397
9271,r016,All federal agencies -> Department of the Treasury,All federal agencies,Department of the Treasury,2,148412
9271,r017,All federal agencies -> Department of Transportation,All federal agencies,Department of Transportation,2,209850
9271,r018,All federal agencies -> Department of Veterans Affairs,All federal agencies,Department of Veterans Affairs,2,107063
9271,r019,All federal agencies -> Environmental Protection Agency,All federal agencies,Environmental Protection Agency,2,6108
9271,r020,All federal agencies -> Executive Office of the President,All federal agencies,Executive Office of the President,2,1270
9271,r021,All federal agencies -> Federal Deposit Insurance Corporation,All federal agencies,Federal Deposit Insurance Corporation,2,108
9271,r022,All federal agencies -> General Services Administration,All federal agencies,General Services Administration,2,956
9271,r023,All federal agencies -> National Aeronautics and Space Administration,All federal agencies,National Aeronautics and Space Administration,2,2661826
9271,r024,All federal agencies -> National Credit Union Administration,All federal agencies,National Credit Union Administration,2,253
9271,r025,All federal agencies -> National Science Foundation,All federal agencies,National Science Foundation,2,345218
9271,r026,All federal agencies -> Nuclear Regulatory Commission,All federal agencies,Nuclear Regulatory Commission,2,38089
9271,r027,All federal agencies -> Office of the Director of National Intelligence,All federal agencies,Office of the Director of National Intelligence,2,8609
9271,r028,All federal agencies -> U.S. Postal Service,All federal agencies,U.S. Postal Service,2,50
9271,r029,All federal agencies -> Other agencies not listed<sup>a</sup>,All federal agencies,Other agencies not listed<sup>a</sup>,2,465382
