table_id,row_id,_b_federal_agency_b_full_path,_b_federal_agency_b_level_1,_b_federal_agency_b_level_2,_b_federal_agency_b_hierarchy_depth,field_r_d_expenditures
4577,r001,All federal agencies,All federal agencies,,1,23133501
4577,r002,All federal agencies -> Administrative Office of the U.S. Courts,All federal agencies,Administrative Office of the U.S. Courts,2,6708
4577,r003,All federal agencies -> Agency for International Development,All federal agencies,Agency for International Development,2,7737
4577,r004,All federal agencies -> Central Intelligence Agency,All federal agencies,Central Intelligence Agency,2,2146
4577,r005,All federal agencies -> Consumer Financial Protection Bureau,All federal agencies,Consumer Financial Protection Bureau,2,156
4577,r006,All federal agencies -> Consumer Product Safety Commission,All federal agencies,Consumer Product Safety Commission,2,440
4577,r007,All federal agencies -> Department of Agriculture,All federal agencies,Department of Agriculture,2,4002
4577,r008,All federal agencies -> Department of Commerce,All federal agencies,Department of Commerce,2,69597
4577,r009,All federal agencies -> Department of Defense,All federal agencies,Department of Defense,2,5136824
4577,r010,All federal agencies -> Department of Energy,All federal agencies,Department of Energy,2,12148340
4577,r011,All federal agencies -> Department of Health and Human Services,All federal agencies,Department of Health and Human Services,2,1058779
4577,r012,All federal agencies -> Department of Homeland Security,All federal agencies,Department of Homeland Security,2,509718
4577,r013,All federal agencies -> Department of Justice,All federal agencies,Department of Justice,2,29733
4577,r014,All federal agencies -> Department of State,All federal agencies,Department of State,2,53587
4577,r015,All federal agencies -> Department of the Interior,All federal agencies,Department of the Interior,2,11159
4577,r016,All federal agencies -> Department of the Treasury,All federal agencies,Department of the Treasury,2,124270
4577,r017,All federal agencies -> Department of Transportation,All federal agencies,Department of Transportation,2,208744
4577,r018,All federal agencies -> Department of Veterans Affairs,All federal agencies,Department of Veterans Affairs,2,85451
4577,r019,All federal agencies -> Environmental Protection Agency,All federal agencies,Environmental Protection Agency,2,6811
4577,r020,All federal agencies -> Executive Office of the President,All federal agencies,Executive Office of the President,2,528
4577,r021,All federal agencies -> Federal Deposit Insurance Corporation,All federal agencies,Federal Deposit Insurance Corporation,2,508
4577,r022,All federal agencies -> Federal Retirement Thrift Investment Board,All federal agencies,Federal Retirement Thrift Investment Board,2,251
4577,r023,All federal agencies -> General Services Administration,All federal agencies,General Services Administration,2,1188
4577,r024,All federal agencies -> National Aeronautics and Space Administration,All federal agencies,National Aeronautics and Space Administration,2,2846866
4577,r025,All federal agencies -> National Science Foundation,All federal agencies,National Science Foundation,2,319755
4577,r026,All federal agencies -> Nuclear Regulatory Commission,All federal agencies,Nuclear Regulatory Commission,2,47634
4577,r027,All federal agencies -> Office of the Director of National Intelligence,All federal agencies,Office of the Director of National Intelligence,2,9244
4577,r028,All federal agencies -> Smithsonian Institution,All federal agencies,Smithsonian Institution,2,9
4577,r029,All federal agencies -> U.S. Postal Service,All federal agencies,U.S. Postal Service,2,1832
4577,r030,All federal agencies -> Other agencies not listed<sup>a</sup>,All federal agencies,Other agencies not listed<sup>a</sup>,2,441484
