table_id,row_id,highest_degree_field_full_path,highest_degree_field_level_1,highest_degree_field_level_2,highest_degree_field_level_3,highest_degree_field_level_4,highest_degree_field_hierarchy_depth,field_total,field_asian_number,field_asian_percent,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_percent,field_black_or_african_american_number,field_black_or_african_american_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_white_number,field_white_percent,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_percent,field_more_than_one_race_number,field_more_than_one_race_percent
1632,r001,All S&E degrees,All S&E degrees,,,,1,14501000,2282000,15.7,47000,0.3,967000,6.7,1246000,8.6,9631000,66.4,40000,0.3,286000,2.0
1632,r002,All S&E degrees -> Computer and mathematical sciences,All S&E degrees,Computer and mathematical sciences,,,2,2567000,598000,23.3,4000,0.2,209000,8.1,148000,5.8,1553000,60.5,8000,0.3,49000,1.9
1632,r003,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,,3,2017000,485000,24.0,3000,0.1,176000,8.7,111000,5.5,1192000,59.1,7000,0.3,42000,2.1
1632,r004,"All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Computer and information sciences, general",All S&E degrees,Computer and mathematical sciences,Computer and information sciences,"Computer and information sciences, general",4,362000,88000,24.3,s,s,44000,12.2,24000,6.6,191000,52.8,s,s,14000,3.9
1632,r005,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Computer sciences,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Computer sciences,4,1065000,315000,29.6,s,s,67000,6.3,48000,4.5,617000,57.9,s,s,14000,1.3
1632,r006,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Computer systems analysis,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Computer systems analysis,4,50000,12000,24.0,s,s,3000,6.0,3000,6.0,32000,64.0,s,s,s,s
1632,r007,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Information services and systems,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Information services and systems,4,418000,54000,12.9,s,s,45000,10.8,32000,7.7,270000,64.6,5000,1.2,11000,2.6
1632,r008,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Other computer and information sciences,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Other computer and information sciences,4,122000,15000,12.3,s,s,16000,13.1,5000,4.1,82000,67.2,s,s,3000,2.5
1632,r009,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,,3,550000,113000,20.5,s,s,32000,5.8,36000,6.5,361000,65.6,1000,0.2,7000,1.3
1632,r010,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Applied mathematics,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,Applied mathematics,4,58000,12000,20.7,s,s,5000,8.6,3000,5.2,35000,60.3,s,s,s,s
1632,r011,"All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Mathematics, general",All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,"Mathematics, general",4,371000,64000,17.3,s,s,21000,5.7,19000,5.1,262000,70.6,s,s,4000,1.1
1632,r012,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Operations research,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,Operations research,4,34000,10000,29.4,s,s,s,s,2000,5.9,21000,61.8,s,s,s,s
1632,r013,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Statistics,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,Statistics,4,64000,25000,39.1,s,s,s,s,3000,4.7,31000,48.4,s,s,s,s
