table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_hierarchy_depth,field_naics_code,field_all_companies,field_any_cooperation_partner,field_parent_affiliated_or_subsidiary_business,field_suppliers,field_other_businesses,field_federal_state_or_local_government,field_customers,field_consultants_or_commercial_laboratories,field_universities_colleges_or_other_institutions_of_higher_education,field_nonprofit_organizations,field_households_or_individuals
8033,r011,All companies -> Small businesses -> 10&#8211;19,All companies,Small businesses,10&#8211;19,3,na,"['    75,348 ', '&nbsp;']","['70.1', '&nbsp;']","['12.4', '&nbsp;']","['44.3', '&nbsp;']","['29.7', '&nbsp;']","['7.1', '&nbsp;']","['38.3', '&nbsp;']","['12.0', '&nbsp;']","['5.4', '&nbsp;']","['5.4', '&nbsp;']","['16.4', '&nbsp;']"
8033,r012,All companies -> Small businesses -> 20&#8211;49,All companies,Small businesses,20&#8211;49,3,na,"['    45,233 ', '&nbsp;']","['74.1', '&nbsp;']","['14.9', '&nbsp;']","['48.5', '&nbsp;']","['32.6', '&nbsp;']","['9.0', '&nbsp;']","['43.1', '&nbsp;']","['15.6', '&nbsp;']","['7.0', '&nbsp;']","['7.5', '&nbsp;']","['16.1', '&nbsp;']"
8033,r013,All companies -> Medium businesses,All companies,Medium businesses,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8033,r014,All companies -> Medium businesses -> 50&#8211;99,All companies,Medium businesses,50&#8211;99,3,na,"['    14,269 ', '&nbsp;']","['75.3', '&nbsp;']","['18.9', '&nbsp;']","['46.9', '&nbsp;']","['35.2', '&nbsp;']","['8.2', '&nbsp;']","['45.3', '&nbsp;']","['17.1', '&nbsp;']","['7.8', '&nbsp;']","['7.2', '&nbsp;']","['16.9', '&nbsp;']"
8033,r015,All companies -> Medium businesses -> 100&#8211;249,All companies,Medium businesses,100&#8211;249,3,na,"['    7,734 ', '&nbsp;']","['71.2', '&nbsp;']","['23.2', '&nbsp;']","['49.5', '&nbsp;']","['28.2', '&nbsp;']","['10.4', '&nbsp;']","['33.0', '&nbsp;']","['15.5', '&nbsp;']","['7.2', '&nbsp;']","['5.3', '&nbsp;']","['10.3', '&nbsp;']"
8033,r016,All companies -> Large businesses,All companies,Large businesses,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8033,r017,All companies -> Large businesses -> 250&#8211;499,All companies,Large businesses,250&#8211;499,3,na,"['    2,732 ', '&nbsp;']","['83.8', '&nbsp;']","['41.5', '&nbsp;']","['57.5', '&nbsp;']","['41.2', '&nbsp;']","['7.1', 'r']","['48.1', '&nbsp;']","['25.5', '&nbsp;']","['6.6', '&nbsp;']","['5.6', 'r']","['8.1', '&nbsp;']"
8033,r018,All companies -> Large businesses -> 500&#8211;999,All companies,Large businesses,500&#8211;999,3,na,"['    1,156 ', '&nbsp;']","['77.9', '&nbsp;']","['34.9', '&nbsp;']","['54.0', '&nbsp;']","['24.7', '&nbsp;']","['10.6', 'r']","['44.7', 'r']","['26.7', 'r']","['6.0', '&nbsp;']","['2.8', '&nbsp;']","['12.1', 'r']"
8033,r019,"All companies -> Large businesses -> 1,000&#8211;4,999",All companies,Large businesses,"1,000&#8211;4,999",3,na,"['    1,152 ', '&nbsp;']","['80.2', 'r']","['48.9', '&nbsp;']","['49.4', 'r']","['40.5', 'r']","['18.0', 'r']","['43.9', 'r']","['26.2', '&nbsp;']","['17.4', 'r']","['13.5', 'r']","['10.6', 'r']"
8033,r020,"All companies -> Large businesses -> 5,000&#8211;9,999",All companies,Large businesses,"5,000&#8211;9,999",3,na,"['    196 ', '&nbsp;']","['89.3', '&nbsp;']","['65.3', '&nbsp;']","['55.6', '&nbsp;']","['37.8', '&nbsp;']","['18.9', '&nbsp;']","['46.9', '&nbsp;']","['40.3', '&nbsp;']","['20.4', '&nbsp;']","['8.2', '&nbsp;']","['9.2', '&nbsp;']"
8033,r021,"All companies -> Large businesses -> 10,000&#8211;24,999",All companies,Large businesses,"10,000&#8211;24,999",3,na,"['    145 ', '&nbsp;']","['90.3', '&nbsp;']","['77.2', '&nbsp;']","['64.1', '&nbsp;']","['56.6', '&nbsp;']","['20.7', '&nbsp;']","['55.9', '&nbsp;']","['42.8', '&nbsp;']","['25.5', '&nbsp;']","['13.1', '&nbsp;']","['13.1', '&nbsp;']"
8033,r022,"All companies -> Large businesses -> 25,000 or more",All companies,Large businesses,"25,000 or more",3,na,"['    108 ', '&nbsp;']","['87.0', '&nbsp;']","['72.2', '&nbsp;']","['63.9', '&nbsp;']","['62.0', '&nbsp;']","['22.2', '&nbsp;']","['54.6', '&nbsp;']","['54.6', '&nbsp;']","['22.2', '&nbsp;']","['10.2', '&nbsp;']","['16.7', '&nbsp;']"
