table_id,row_id,_b_origin_of_doctoral_degree_b_full_path,_b_origin_of_doctoral_degree_b_level_1,_b_origin_of_doctoral_degree_b_level_2,_b_origin_of_doctoral_degree_b_hierarchy_depth,field_imputation_rate_,field_number_imputed
10642,r001,All postdoctoral appointees,All postdoctoral appointees,,1,0.7,468
10642,r002,All postdoctoral appointees -> United States,All postdoctoral appointees,United States,2,7.2,1701
10642,r003,All postdoctoral appointees -> Foreign country,All postdoctoral appointees,Foreign country,2,5.2,1067
10642,r004,All postdoctoral appointees -> Unknown origin,All postdoctoral appointees,Unknown origin,2,15.4,2867
